"排名","代號","名稱","成交","漲跌價","漲跌幅","更新日期","當日增減張數","2日增減張數","3日增減張數","5日增減張數","10日增減張數","1個月增減張數","3個月增減張數","半年增減張數","1年增減張數","今年增減張數"
"179","6944","兆聯實業","717","+5","+0.7","08/31","+27","+93","+208","+271","+548","+1,018","+1,929","+2,363","","+2,386"
"180","3028","增你強","64.7","+0.3","+0.47","08/31","+60","+253","+259","+266","+539","+871","+2,025","+744","+6,263","+3,149"
"181","5351","鈺創","118","+2","+1.72","08/31","+140","+156","-202","+258","+824","-9,393","-3,175","-2,828","-14,775","-9,500"
"182","5522","遠雄","61.7","-1.1","-1.75","08/31","+150","+193","+248","+258","+791","+1,322","-457","+3,149","-6,345","-2,105"
"183","3481","群創","49.85","+1.25","+2.57","08/31","-206","+1,204","+216","+254","+1,488","-4","+29,205","+54,976","+492,373","+392,497"
"184","2211","長榮鋼","82.6","-0.5","-0.6","08/31","+70","+111","+153","+241","-108","-447","-248","+5,061","+8,756","+2,953"
"185","3264","欣銓","228","-7","-2.98","08/31","+29","+24","+24","+237","-386","+18","-4,780","-291","-2,590","-1,537"
"186","3479","安勤","126.5","-2.5","-1.94","08/31","+41","+99","+115","+236","+308","+377","+1,071","+1,553","+2,314","+2,114"
"187","3624","光頡","88.3","-3.5","-3.81","08/31","-92","+409","+374","+236","+778","+1,295","+836","-490","+1,404","-1,402"
"188","3406","玉晶光","1005","+88","+9.6","08/31","-36","-160","-235","+232","+801","+1,727","+1,924","+993","+1,098","+331"
"189","6023","元大期","87.1","+5.1","+6.22","08/31","+172","+125","+134","+231","+219","+411","+512","+501","+88","+428"
"190","00670L","富邦NASDAQ正2","198.95","-1.85","-0.92","08/31","+56","+97","+222","+228","+223","+92","-2,215","-2,407","+3,600","+672"
"191","6719","力智","188","-6.5","-3.34","08/31","+97","+117","+157","+222","+376","+272","+247","+2,613","+2,863","+3,136"
"192","2023","燁輝","14.15","+0.5","+3.66","08/31","+77","+174","+232","+220","+264","+1,357","+2,395","+24,227","+30,677","+30,728"
"193","4967","十銓","276","+2.5","+0.91","08/31","+12","+66","+257","+220","+498","-1,782","-2,058","+1,418","+817","+1,604"
"194","4916","事欣科","99.9","-2.6","-2.54","08/31","+13","+100","+43","+212","+614","+2,491","+2,880","+109","+835","-1,674"
"195","1103","嘉泥","13.2","+0.05","+0.38","08/31","+35","+64","+108","+209","+29","+46","-5","-66","-781","-115"
"196","6834","天二科技","89.9","-4.3","-4.56","08/31","+84","+160","+237","+208","+293","+422","+921","+613","+878","+519"
"197","00985B","群益ESG投等債0-5","10.19","+0.02","+0.2","08/31","+206","+206","+206","+206","+1,775","+2,065","+1,823","+2,554","","+7,032"
"198","8105","凌巨","16.1","-0.55","-3.3","08/31","+204","+206","+206","+206","-9,619","-9,998","-4,556","-7,540","-2,783","-3,518"
"199","4764","雙鍵","241","-8.5","-3.41","08/31","+55","+231","+350","+198","+202","-8","+354","+105","+792","+313"
"200","00950B","凱基A級公司債","13.69","-0.01","-0.07","08/31","+193","+193","+193","+193","+193","+3,718","-6,137","-4,881","-5,176","-8,298"
"201","1708","東鹼","50.6","-0.4","-0.78","08/31","+20","+130","+101","+190","+1,135","+591","+10,418","+11,930","+10,522","+11,279"
"202","5490","同亨","27.6","-0.55","-1.95","08/31","+55","+74","+126","+190","+221","+553","+214","+327","-692","-254"
"203","3715","定穎投控","120.5","-4.5","-3.6","08/31","+521","+751","+872","+189","-1,393","+690","+2,872","+694","+16,757","+5,090"
