排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
153,3537,堡達,76.1,-1.7,-2.19,07/02,0.59,-2.45,-10.6,-14.4,-0.17,42.7,7.0,-14.7,131.0,-14.7
154,3034,聯詠,541.0,3.0,0.56,07/02,-1.05,-1.15,-10.7,-14.4,-21.2,-20.7,-27.4,-23.0,31.1,-23.0
155,2404,漢唐,1385.0,85.0,6.54,07/02,-0.66,-0.74,-1.22,-14.4,-31.2,-57.4,-50.3,27.8,74.5,27.8
156,2926,誠品生活,33.3,-0.7,-2.06,07/02,-4.0,-7.69,-7.69,-14.3,-27.3,-17.2,4.35,4.35,9.09,4.35
157,3035,智原,224.0,12.0,5.66,07/02,0.04,-2.64,-5.98,-14.2,-23.0,-31.5,-37.8,-38.2,67.2,-38.2
158,8438,昶昕,101.5,0.0,0.0,07/02,-5.57,-5.57,-5.42,-14.1,-24.8,-27.1,-12.3,293.0,150.0,293.0
159,3680,家登,555.0,-3.0,-0.54,07/02,-6.1,-9.17,-15.5,-14.0,-6.56,-46.6,-67.3,-76.7,-70.0,-76.7
160,5347,世界,198.0,-6.5,-3.18,07/02,-3.14,-2.67,-5.02,-14.0,-7.92,-45.9,-27.2,-40.0,2.71,-40.0
161,6698,旭暉應材,41.85,-0.5,-1.18,07/02,2.54,1.68,3.85,-13.9,-14.1,-13.5,37.0,117.0,93.7,117.0
162,6173,信昌電,319.0,-22.5,-6.59,07/02,0.56,0.56,-13.8,-13.8,-17.6,-1.04,-53.1,-73.7,2.27,-73.7
163,1730,花仙子,53.3,-0.3,-0.56,07/02,7.53,13.6,-3.85,-13.8,-2.91,-1.96,12.4,72.4,63.9,72.4
164,2455,全新,348.0,-10.5,-2.93,07/02,0.0,-4.1,-6.57,-13.7,-27.0,-32.1,-52.8,-6.14,-53.4,-6.14
165,2405,輔信,17.4,0.25,1.46,07/02,-2.12,-1.98,-11.1,-13.5,-31.7,-26.3,-27.7,27.3,-22.3,27.3
166,6202,盛群,69.9,5.5,8.54,07/02,-2.52,-7.7,-11.7,-13.4,-30.5,-21.8,-39.2,-34.6,5.95,-34.6
167,3048,益登,64.3,-1.4,-2.13,07/02,-5.23,-6.1,-18.1,-13.3,-42.1,7.82,-58.8,-70.3,-9.41,-70.3
168,2014,中鴻,17.2,0.1,0.58,07/02,-2.04,-2.04,-5.1,-13.1,-18.3,-35.6,-64.1,-58.8,-46.1,-58.8
169,00994A,主動第一金台股優,18.19,0.02,0.11,07/02,-11.5,-11.7,-11.7,-13.0,-25.4,-34.0,149.0,,,
170,8070,長華*,56.5,3.1,5.81,07/02,-0.58,-7.53,-10.9,-12.9,-73.2,-75.2,-73.8,-87.9,-88.2,-87.9
171,2027,大成鋼,40.65,-0.85,-2.05,07/02,0.18,0.51,-12.7,-12.9,-42.6,-66.3,-79.9,-46.7,146.0,-46.7
172,6683,雍智科技,1775.0,-45.0,-2.47,07/02,-3.35,-6.61,-10.1,-12.9,41.0,29.9,27.0,73.4,1.84,73.4
173,2029,盛餘,20.65,-0.05,-0.24,07/02,-0.29,-13.3,-13.0,-12.8,-12.6,-36.1,-38.1,-28.9,-44.1,-28.9
174,00983A,主動中信ARK創新,12.44,0.09,0.73,07/02,0.0,0.0,-9.41,-12.8,-12.8,-41.3,-64.0,-47.8,14817.0,-47.8
175,8110,華東,54.1,0.0,0.0,07/02,-7.41,-6.48,-7.45,-12.7,-17.2,-12.8,12.4,13.0,52.8,13.0
176,3705,永信,53.6,-0.1,-0.19,07/02,-0.26,0.13,-3.76,-12.7,-27.5,-28.8,-38.8,-50.5,47.9,-50.5
177,1725,元禎,33.65,0.3,0.9,07/02,-7.09,-8.53,-10.6,-12.6,-46.6,-64.6,-44.1,-15.1,-18.6,-15.1
178,4119,旭富,45.1,1.1,2.5,07/02,-3.39,-12.0,-11.9,-12.5,-16.1,-1.27,39.9,12.0,6.57,12.0
