排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 賣出 佔 成交,2日 賣出 佔 成交,3日 賣出 佔 成交,5日 賣出 佔 成交,10日 賣出 佔 成交,1個月 賣出 佔 成交,3個月 賣出 佔 成交,半年 賣出 佔 成交,1年 賣出 佔 成交,3年 賣出 佔 成交,10年 賣出 佔 成交,今年 賣出 佔 成交
214,1402,遠東新,29.1,0.7,2.46,07/03,21.9,29.4,39.8,48.6,57.1,59.7,59.5,57.1,57.2,54.4,47.5,57.1
215,5514,三豐,13.65,-0.15,-1.09,07/03,40.2,39.8,39.8,39.5,45.4,44.1,39.1,27.8,29.3,13.0,5.18,28.5
216,4915,致伸,66.4,-0.5,-0.75,07/03,33.7,37.6,39.8,39.8,48.0,51.4,51.9,54.9,52.8,44.9,33.9,55.1
217,8358,金居,590.0,20.0,3.51,07/03,35.5,39.3,39.7,38.3,39.6,36.7,27.8,19.3,7.37,3.99,1.43,19.0
218,2498,宏達電,44.45,0.95,2.18,07/03,25.6,32.9,39.6,37.2,31.6,29.1,27.8,28.7,23.9,25.2,19.6,28.6
219,2329,華泰,53.0,-0.1,-0.19,07/03,43.4,45.7,39.5,42.2,36.6,37.4,30.5,29.2,27.9,23.9,21.2,29.1
220,2727,王品,245.0,-3.5,-1.41,07/03,54.5,47.1,39.5,41.4,36.0,29.5,32.2,31.0,36.1,35.3,24.0,31.0
221,6581,鋼聯,106.5,0.0,0.0,07/03,31.2,43.9,39.5,26.4,27.9,22.8,19.5,21.0,18.9,16.8,,21.0
222,3189,景碩,833.0,3.0,0.36,07/03,23.2,45.2,39.5,38.8,33.7,31.8,29.6,29.5,29.3,30.0,26.5,29.5
223,1203,味王,43.35,0.25,0.58,07/03,45.2,55.2,39.4,32.6,30.6,33.0,24.5,27.7,24.3,32.7,13.0,27.6
224,6695,芯鼎,58.1,-0.6,-1.02,07/03,54.6,37.4,39.4,41.1,24.4,25.7,23.7,24.5,23.6,17.7,,24.5
225,5706,鳳凰,47.95,1.1,2.35,07/03,24.9,33.7,39.3,38.2,39.1,27.9,25.6,25.3,27.4,24.6,17.6,25.2
226,3138,耀登,119.5,2.0,1.7,07/03,50.1,38.0,39.2,39.8,30.6,30.8,26.2,24.0,23.6,23.7,,24.0
