排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
141,2455,全新,329.0,-1.5,-0.45,07/13,6.31,-9.46,-7.96,21.7,4.11,-13.1,-56.2,-39.1,-41.6,11.5
142,8112,至上,87.5,2.5,2.94,07/13,0.71,6.2,20.7,21.7,62.5,63.3,276.0,40.2,174.0,8.22
143,2428,興勤,295.5,-29.5,-9.08,07/13,5.49,4.41,-0.49,21.5,12.7,-27.9,-52.1,-75.7,58.1,-76.8
144,00984D,主動聯博全球非投,10.15,-0.01,-0.1,07/13,25.4,33.8,33.8,21.3,69.2,57.8,372.0,,,
145,6538,倉和,149.5,13.5,9.93,07/13,0.95,2.51,4.54,21.3,48.9,24.4,15.7,24.4,-33.8,20.2
146,1423,利華,36.9,0.0,0.0,07/13,18.8,18.8,21.2,21.2,53.8,96.7,53.8,96.7,62.2,87.5
147,8088,品安,53.6,-2.6,-4.63,07/13,-1.38,0.2,2.51,21.2,20.5,-5.7,21.4,-12.7,-21.7,-25.8
148,6138,茂達,348.0,-28.0,-7.45,07/13,0.81,7.82,7.31,21.2,196.0,193.0,157.0,223.0,95.9,234.0
149,6419,京晨科,146.0,0.0,0.0,07/13,6.92,9.45,13.9,20.9,41.8,111.0,111.0,184.0,,190.0
150,1108,幸福,13.65,0.0,0.0,07/13,3.36,19.4,19.4,20.8,33.2,40.5,105.0,104.0,-6.11,104.0
151,2375,凱美,185.0,-3.5,-1.86,07/13,2.6,-7.12,-1.77,20.8,6.3,101.0,75.4,-7.75,127.0,-24.0
152,6906,現觀科,80.3,-1.7,-2.07,07/13,5.49,9.09,27.2,20.8,-20.0,-20.0,-20.3,-23.8,-28.9,-24.7
153,6498,久禾光,88.9,-2.9,-3.16,07/13,3.25,5.54,11.3,20.7,31.2,59.8,-11.7,-28.9,93.2,-29.9
154,8032,光菱,39.7,-2.1,-5.02,07/13,18.3,18.3,19.4,20.6,8.85,-58.3,-55.8,-65.1,-58.9,-65.5
155,8028,昇陽半導體,303.0,-9.5,-3.04,07/13,2.91,2.45,10.3,20.6,6.02,-12.3,-54.7,-69.7,-62.3,-77.6
156,8163,達方,36.1,-1.05,-2.83,07/13,0.37,0.37,-2.36,20.5,25.7,-14.2,-31.2,-30.4,73.0,-20.6
157,4564,元翎,21.0,1.7,8.81,07/13,4.86,11.5,12.7,20.5,26.6,19.9,20.0,-7.29,90.8,-11.0
158,00733,富邦臺灣中小,74.05,0.85,1.16,07/13,0.46,0.43,10.9,20.4,28.4,25.8,12.8,7.1,-32.7,9.04
159,6530,創威,79.1,-3.9,-4.7,07/13,-0.69,0.61,3.41,20.4,8.78,16.5,8.99,-29.1,3.23,-36.0
160,4924,欣厚-KY,11.4,-1.2,-9.52,07/13,7.14,15.4,20.0,20.0,42.9,500.0,,,,
161,5312,寶島科,88.0,-0.7,-0.79,07/13,4.11,9.09,13.4,20.0,38.2,18.1,31.8,60.6,54.1,60.6
162,5469,瀚宇博,80.1,-0.5,-0.62,07/13,0.29,2.18,5.35,19.9,40.8,40.8,165.0,68.7,892.0,54.3
163,2412,中華電,133.5,0.0,0.0,07/13,2.03,3.15,7.37,19.8,65.1,69.0,180.0,168.0,241.0,180.0
164,4912,聯德控股-KY,87.2,0.7,0.81,07/13,2.82,9.12,13.1,19.6,22.9,30.3,-15.1,358.0,90.8,289.0
165,2451,創見,252.5,-1.0,-0.39,07/13,0.91,7.23,16.8,19.5,42.6,51.5,220.0,211.0,99.9,234.0
166,5464,霖宏,87.0,-7.5,-7.94,07/13,2.89,9.97,17.2,19.4,12.7,29.0,230.0,144.0,104.0,144.0
167,3078,僑威,55.3,-0.9,-1.6,07/13,4.71,9.96,12.9,19.3,21.9,19.5,68.7,54.3,148.0,13.0
168,6121,新普,399.5,-21.0,-4.99,07/13,-0.16,12.9,16.4,19.3,13.7,9.12,36.6,125.0,55.8,63.4
169,8464,億豐,368.0,8.0,2.22,07/13,1.98,4.49,6.22,18.6,77.8,251.0,67.1,-55.3,702.0,-50.5
170,4440,宜新實業,17.25,-0.8,-4.43,07/13,2.4,4.07,4.49,18.5,18.5,19.1,71.8,131.0,178.0,133.0
171,7792,安葆,240.5,5.0,2.12,07/13,6.67,10.3,10.3,18.5,68.4,106.0,1500.0,,,
172,1233,天仁,28.1,0.2,0.72,07/13,1.12,9.76,9.76,18.4,-14.3,-21.1,20.0,120.0,55.2,114.0
173,3715,定穎投控,144.0,-7.0,-4.64,07/13,6.88,5.72,15.0,18.0,24.0,-5.33,36.4,35.6,6.46,15.4
174,6123,上奇,41.7,-0.3,-0.71,07/13,8.52,7.55,15.2,18.0,55.1,116.0,17.3,32.0,80.5,44.7
175,5353,台林,28.05,-1.45,-4.92,07/13,1.86,3.14,10.1,18.0,3.14,-25.8,11.6,34.4,46.4,39.0
176,3489,森寶,20.45,-0.75,-3.54,07/13,-0.79,-0.79,17.9,17.9,14.7,-6.02,27.6,40.4,-69.5,35.9
177,9944,新麗,17.75,0.0,0.0,07/13,0.0,11.3,11.3,17.9,17.9,-2.47,-16.0,68.1,-21.0,68.1
178,6170,統振,47.05,-0.2,-0.42,07/13,13.1,9.79,10.8,17.8,-25.3,-40.2,-37.3,-8.19,-23.6,1.09
179,8436,大江,112.0,-3.0,-2.61,07/13,2.96,4.01,6.37,17.8,45.0,40.8,80.6,89.1,101.0,56.0
180,2332,友訊,25.95,1.9,7.9,07/13,16.2,13.3,18.7,17.7,18.3,52.8,16.0,27.9,-37.7,27.8
