排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 月份,非獨 董監 持股 (萬張),非獨 董監 增減 張數,非獨 董監 持股 (%),非獨 董監 質押 (萬張),非獨 董監 質押 (%),獨立 董監 持股 (萬張),獨立 董監 增減 張數,獨立 董監 持股 (%),獨立 董監 質押 (萬張),獨立 董監 質押 (%),全體 董監 持股 (萬張),全體 董監 增減 張數,全體 董監 持股 (%),全體 董監 質押 (萬張),全體 董監 質押 (%)
1761,6982,大井泵浦,48.7,0.65,1.35,26M06,1.71,0.0,42.0,0,0,0.0,0.0,0.0,0,0,1.71,0.0,42.0,0,0
1762,6983,華洋精機,298.5,-5.5,-1.81,26M06,0.4,0.0,22.1,0,0,0.0,0.0,0.0,0,0,0.4,0.0,22.1,0,0
1763,6986,和迅,44.1,0.55,1.26,26M06,0.81,-100.0,17.6,0,0,0.0,0.0,0.0,0,0,0.81,-100.0,17.6,0,0
1764,6988,威力暘-創,12.65,0.0,0.0,26M06,0.47,113.0,9.78,0,0,0.0,0.0,0.0,0,0,0.47,113.0,9.78,0,0
1765,6996,力領科技,185.0,-1.0,-0.54,26M06,2.34,0.0,55.8,0,0,0.0,0.0,0.0,0,0,2.34,0.0,55.8,0,0
1766,6997,博弘,70.9,0.0,0.0,26M06,1.72,0.0,77.7,0,0,0.0,0.0,0.0,0,0,1.72,0.0,77.7,0,0
1767,7547,碩網,54.3,4.9,9.92,26M06,1.05,0.0,31.2,0,0,0.0,0.0,0.0,0,0,1.05,0.0,31.2,0,0
1768,7556,意德士,223.0,0.0,0.0,26M06,1.05,0.0,38.6,0,0,0.0,0.0,0.0,0,0,1.05,0.0,38.6,0,0
1769,7610,聯友金屬-創,1850.0,100.0,5.71,26M06,1.34,-69.0,27.5,0,0,0.0,0.0,0.0,0,0,1.34,-69.0,27.5,0,0
1770,7631,聚賢研發-創,131.5,-0.5,-0.38,26M06,0.89,-12.0,44.1,0,0,0.0,0.0,0.0,0,0,0.89,-12.0,44.1,0,0
1771,7642,昶瑞機電,80.1,2.9,3.76,26M06,1.56,0.0,51.8,0,0,0.0,0.0,0.0,0,0,1.56,0.0,51.8,0,0
1772,7689,大鵬科CLMX,164.0,0.0,0.0,26M06,4.23,0.0,79.6,0,0,0.0,0.0,0.0,0,0,4.23,0.0,79.6,0,0
1773,7704,明遠精密,65.4,-0.4,-0.61,26M06,1.17,-1000.0,34.7,0,0,0.0,0.0,0.0,0,0,1.17,-1000.0,34.7,0,0
1774,7705,三商餐飲,30.9,-0.65,-2.06,26M06,3.98,0.0,60.3,0,0,0.0,0.0,0.0,0,0,3.98,0.0,60.3,0,0
1775,7708,全家餐飲,93.4,0.4,0.43,26M06,1.58,0.0,62.0,0,0,0.0,0.0,0.0,0,0,1.58,0.0,62.0,0,0
1776,7709,榮田,71.3,-2.3,-3.12,26M06,2.52,0.0,64.4,0,0,0.0,0.0,0.0,0,0,2.52,0.0,64.4,0,0
1777,7711,永擎,375.0,13.5,3.73,26M06,3.52,10.0,49.0,0,0,0.0,0.0,0.0,0,0,3.52,10.0,49.0,0,0
1778,7712,博盛半導體,141.0,-1.0,-0.7,26M06,0.5,0.0,15.3,0,0,0.0,0.0,0.0,0,0,0.5,0.0,15.3,0,0
1779,7713,威力德生醫,68.9,-0.2,-0.29,26M06,1.02,42.0,22.5,0,0,0.0,0.0,0.0,0,0,1.02,42.0,22.5,0,0
1780,7714,創泓科技,153.0,-0.5,-0.33,26M06,0.87,0.0,41.6,0,0,0.0,0.0,0.01,0,0,0.87,0.0,41.6,0,0
1781,7715,裕山,35.15,-0.85,-2.36,26M06,1.3,0.0,38.5,0,0,0.0,0.0,0.0,0,0,1.3,0.0,38.5,0,0
1782,7716,昱臺國際,23.95,-0.85,-3.43,26M06,1.35,0.0,60.1,0,0,0.0,0.0,0.0,0,0,1.35,0.0,60.1,0,0
1783,7717,萊德光電-KY,419.0,-8.0,-1.87,26M06,0.76,-170.0,30.6,0,0,0.0,0.0,0.0,0,0,0.76,-170.0,30.6,0,0
1784,7718,友鋮,47.25,0.0,0.0,26M06,0.56,6.0,12.2,0,0,0.0,0.0,0.0,0,0,0.56,6.0,12.2,0,0
1785,7722,LINEPAY,301.5,27.0,9.84,26M06,5.12,0.0,75.3,0,0,0.0,0.0,0.0,0,0,5.12,0.0,75.3,0,0
1786,7730,暉盛-創,153.0,-7.0,-4.38,26M06,1.3,0.0,35.4,0,0,0.0,0.0,0.0,0,0,1.3,0.0,35.4,0,0
1787,7734,印能科技,3375.0,-15.0,-0.44,26M06,0.52,210.0,18.7,0,0,0.0,0.0,0.0,0,0,0.52,210.0,18.7,0,0
1788,7736,虎山,69.9,0.0,0.0,26M06,2.58,0.0,33.9,0,0,0.0,0.0,0.0,0,0,2.58,0.0,33.9,0,0
1789,7738,東聯互動,166.5,0.5,0.3,26M06,0.28,0.0,10.4,0,0,0.0,0.0,0.0,0,0,0.28,0.0,10.4,0,0
1790,7740,熙特爾-創,161.0,6.0,3.87,26M06,0.72,0.0,13.6,0,0,0.0,0.0,0.0,0,0,0.72,0.0,13.6,0,0
1791,7743,金利食安,21.2,0.6,2.91,26M06,0.63,0.0,17.3,0,0,0.01,0.0,0.14,0,0,0.64,0.0,17.4,0,0
1792,7747,昕奇雲端,116.0,0.0,0.0,26M06,1.69,0.0,61.8,0,0,0.0,0.0,0.05,0,0,1.7,0.0,61.8,0,0
1793,7749,意騰-KY,344.0,-3.5,-1.01,26M06,0.85,0.0,18.3,0,0,0.0,0.0,0.0,0,0,0.85,0.0,18.3,0,0
1794,7750,新代,2330.0,-35.0,-1.48,26M06,1.35,0.0,18.8,0,0,0.0,0.0,0.0,0,0,1.35,0.0,18.8,0,0
1795,7751,竑騰,1385.0,-20.0,-1.42,26M06,0.5,0.0,18.6,0,0,0.0,0.0,0.0,0,0,0.5,0.0,18.6,0,0
1796,7753,星亞,37.6,-0.45,-1.18,26M06,1.64,0.0,65.4,0,0,0.0,0.0,0.0,0,0,1.64,0.0,65.4,0,0
1797,7760,享溫馨,33.1,-0.55,-1.63,26M06,1.45,378.0,21.9,0,0,0.0,0.0,0.0,0,0,1.45,378.0,21.9,0,0
1798,7765,中華資安,226.5,4.5,2.03,26M06,2.31,0.0,56.7,0,0,0.0,0.0,0.0,0,0,2.31,0.0,56.7,0,0
1799,7767,仁大資訊,46.8,-0.7,-1.47,26M06,0.63,7.0,20.8,0,0,0.0,0.0,0.0,0,0,0.63,7.0,20.8,0,0
1800,7768,頌勝科技,257.0,-6.5,-2.47,26M06,1.3,0.0,18.5,0,0,0.0,0.0,0.0,0,0,1.3,0.0,18.5,0,0
