排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 (萬元),2日 增減 (萬元),3日 增減 (萬元),5日 增減 (萬元),10日 增減 (萬元),1個月 增減 (萬元),3個月 增減 (萬元),半年 增減 (萬元),1年 增減 (萬元),今年 增減 (萬元)
81,2353,宏碁,30.85,-0.35,-1.12,08/28,-329.0,-4310.0,-11678.0,-13906,-37465.0,-14970.0,-143518.0,-142806.0,184623.0,179651.0
82,9904,寶成,24.35,-0.45,-1.81,08/28,6091.0,5486.0,-8831.0,-13553,-32870.0,-11597.0,17516.0,357321.0,308155.0,329806.0
83,2458,義隆,138.5,-1.0,-0.72,08/28,5687.0,5378.0,-4681.0,-13265,32633.0,106617.0,205397.0,87832.0,179237.0,81188.0
84,5269,祥碩,1450.0,-15.0,-1.02,08/28,-9915.0,-20328.0,-17726.0,-12252,-59348.0,-88487.0,-114641.0,165605.0,459437.0,454391.0
85,2481,強茂,154.0,7.5,5.12,08/28,-9610.0,-7636.0,-8616.0,-11577,45389.0,71064.0,8479.0,-13904.0,-64213.0,-226478.0
86,2313,華通,241.0,-3.0,-1.23,08/28,24509.0,25167.0,12549.0,-11507,-20281.0,88671.0,777982.0,845915.0,830717.0,754979.0
87,1736,喬山,125.5,-2.5,-1.95,08/28,-3499.0,-4139.0,-10410.0,-11239,-16378.0,-18258.0,-4969.0,10531.0,-8390.0,-608.0
88,8081,致新,260.0,-1.5,-0.57,08/28,-2240.0,-1952.0,-11782.0,-11056,-14938.0,-18024.0,43909.0,80874.0,91851.0,70915.0
89,8271,宇瞻,232.5,-1.5,-0.64,08/28,3148.0,4625.0,-3664.0,-11016,-1920.0,-4962.0,39365.0,5860.0,27534.0,-19557.0
90,6547,高端疫苗,65.0,1.9,3.01,08/28,-3174.0,-6083.0,-9524.0,-10942,-15915.0,-16985.0,-7062.0,-2051.0,-4338.0,19064.0
91,5469,瀚宇博,74.8,1.8,2.47,08/28,-6407.0,-8904.0,-10326.0,-10885,-17506.0,-32091.0,41823.0,101865.0,151712.0,47837.0
92,1795,美時,193.0,-1.0,-0.52,08/28,1371.0,3517.0,4006.0,-10687,-31427.0,-65652.0,-43974.0,246727.0,179535.0,180315.0
93,3045,台灣大,115.5,0.0,0.0,08/28,-69.0,-24676.0,-27208.0,-10488,31865.0,38603.0,-338859.0,-517850.0,18447.0,-419483.0
94,1215,卜蜂,108.5,0.0,0.0,08/28,-931.0,-2708.0,-8752.0,-10460,-14485.0,-11785.0,-79371.0,132677.0,179759.0,136292.0
95,1319,東陽,82.1,0.4,0.49,08/28,830.0,1141.0,-10178.0,-10401,-39468.0,-88944.0,-140327.0,44841.0,116820.0,26523.0
96,1229,聯華,42.15,0.0,0.0,08/28,-2051.0,-3080.0,-4257.0,-10202,-29341.0,-26666.0,35221.0,125420.0,111169.0,149852.0
97,2354,鴻準,63.9,-0.5,-0.78,08/28,8249.0,6105.0,-3053.0,-10141,-59503.0,-162361.0,-193539.0,27113.0,142838.0,56520.0
98,6269,台郡,75.0,2.1,2.88,08/28,112.0,1281.0,-9314.0,-9967,-10781.0,-31018.0,40558.0,70417.0,55345.0,63188.0
99,3033,威健,45.05,-0.15,-0.33,08/28,-105.0,-1093.0,-1152.0,-9956,-1149.0,-5303.0,-14584.0,-75344.0,-57106.0,-56797.0
100,00919,群益台灣精選高息,31.44,0.13,0.42,08/28,-9414.0,-9414.0,-9414.0,-9414,-11782.0,-25141.0,-142640.0,-487.0,-126960.0,-205851.0
101,3680,家登,500.0,9.5,1.94,08/28,-6390.0,-8155.0,-9551.0,-9226,-8263.0,-2468.0,-64633.0,-202214.0,-218805.0,-217933.0
102,2201,裕隆,28.4,-0.25,-0.87,08/28,-317.0,-5482.0,-7812.0,-9195,-14664.0,-12361.0,-29146.0,-367.0,58881.0,16743.0
103,6491,晶碩,377.0,2.0,0.53,08/28,-112.0,-1472.0,-10214.0,-9185,-2722.0,973.0,-3280.0,-20255.0,-73773.0,-19420.0
104,2049,上銀,354.0,-5.5,-1.53,08/28,-1238.0,-6170.0,-4211.0,-8985,39111.0,-8019.0,-148277.0,-378961.0,-481402.0,-467937.0
105,8422,可寧衛*,27.1,0.1,0.37,08/28,-2.71,-2246.0,-7771.0,-8932,-16241.0,-57524.0,-6907.0,-17446.0,144762.0,-12614.0
106,3498,陽程,189.5,-14.0,-6.88,08/28,0.0,0.0,0.0,-8848,-17033.0,-18284.0,-6589.0,-14533.0,-16245.0,-13195.0
107,2467,志聖,610.0,25.0,4.27,08/28,-4161.0,-7008.0,-9182.0,-8664,-13452.0,-11178.0,-23680.0,-72887.0,-220862.0,-100412.0
108,2915,潤泰全,57.3,-1.3,-2.22,08/28,709.0,-4999.0,-9237.0,-8545,-45605.0,-58011.0,-91260.0,-28501.0,16239.0,-13945.0
109,1503,士電,205.5,-7.0,-3.29,08/28,-1686.0,-2354.0,-3276.0,-7980,-29408.0,-8904.0,129067.0,329198.0,247032.0,191175.0
110,3673,TPK-KY,67.6,0.1,0.15,08/28,-2776.0,-4188.0,-11056.0,-7744,-11098.0,-18258.0,47210.0,100201.0,105137.0,104356.0
111,2597,潤弘,172.0,0.5,0.29,08/28,-823.0,-2080.0,-5425.0,-7690,-11592.0,-18012.0,32299.0,128862.0,118909.0,128150.0
112,5009,榮剛,33.3,-0.3,-0.89,08/28,107.0,246.0,-2056.0,-7620,-18772.0,-21972.0,-42419.0,-36880.0,828.0,-33780.0
113,6197,佳必琪,309.5,1.5,0.49,08/28,655.0,3590.0,-8054.0,-7618,-14623.0,-4755.0,64348.0,57046.0,125322.0,54182.0
114,1608,華榮,37.85,-0.35,-0.92,08/28,-2707.0,-2661.0,-6588.0,-7601,-19837.0,-42607.0,-17298.0,-15766.0,-29130.0,-33429.0
115,6217,中探針,175.0,-2.5,-1.41,08/28,3269.0,5303.0,-4370.0,-7564,-2209.0,-989.0,134115.0,137933.0,125588.0,119732.0
116,3707,漢磊,63.8,0.2,0.31,08/28,-1159.0,-2089.0,-7192.0,-7523,-18097.0,-18006.0,63970.0,23588.0,-15362.0,23389.0
117,00929,復華台灣科技優息,29.13,0.08,0.28,08/28,-5.84,-4609.0,-7497.0,-7514,6681.0,-23212.0,47524.0,38010.0,85550.0,50603.0
118,6683,雍智科技,1200.0,-45.0,-3.61,08/28,718.0,-242.0,-1706.0,-7482,-9047.0,-14875.0,21201.0,21609.0,-20203.0,14062.0
119,4961,天鈺,161.0,-4.0,-2.42,08/28,130.0,-150.0,-3292.0,-7478,-15584.0,-33790.0,-50834.0,-19471.0,13257.0,-12154.0
120,6213,聯茂,582.0,19.0,3.37,08/28,-12830.0,-6087.0,-3958.0,-7463,-68671.0,-77403.0,-172236.0,-28673.0,-66262.0,-112292.0
121,6104,創惟,99.3,-3.2,-3.12,08/28,-1300.0,-1300.0,-5326.0,-7415,-9235.0,-13056.0,-16728.0,-42419.0,980.0,-25538.0
122,2892,第一金,34.4,1.05,3.15,08/28,4968.0,-6145.0,-7938.0,-7259,-48550.0,-39392.0,-58882.0,15034.0,13035.0,9603.0
123,3029,零壹,111.5,-0.5,-0.45,08/28,-146.0,-1024.0,-4827.0,-7211,-8710.0,-26827.0,-73007.0,-50610.0,9091.0,-17131.0
124,6510,精測,2680.0,-60.0,-2.19,08/28,0.0,-1093.0,4717.0,-7085,-8932.0,14642.0,-1655.0,-254677.0,-221608.0,-263417.0
125,3714,富采,62.6,-0.9,-1.42,08/28,591.0,2963.0,6867.0,-6881,-14166.0,-27265.0,-38307.0,108968.0,125953.0,122992.0
126,2356,英業達,64.9,-0.7,-1.07,08/28,8297.0,17568.0,15025.0,-6827,-92004.0,-328596.0,-169595.0,-527958.0,-464332.0,-409874.0
127,2637,慧洋-KY,92.1,-2.5,-2.64,08/28,-6868.0,-12410.0,-12217.0,-6769,6114.0,4308.0,-35205.0,-40808.0,-231339.0,-99224.0
128,1605,華新,39.0,0.1,0.26,08/28,871.0,-2477.0,-2668.0,-6736,-141317.0,-280826.0,-162997.0,-336659.0,-229069.0,-592964.0
129,5289,宜鼎,1470.0,-20.0,-1.34,08/28,2534.0,-8752.0,-18383.0,-6708,16978.0,27546.0,-301778.0,141293.0,92302.0,71924.0
130,2206,三陽工業,63.1,-0.4,-0.63,08/28,-1835.0,-1866.0,-4006.0,-6584,-12132.0,-33410.0,-41016.0,22266.0,11754.0,36853.0
131,00900,富邦特選高股息30,19.03,-0.01,-0.05,08/28,-763.0,-1527.0,-5587.0,-6543,-13378.0,-26726.0,-44067.0,-34983.0,-50526.0,-65593.0
132,2504,國產,31.7,-0.25,-0.78,08/28,196.0,906.0,-1224.0,-6391,-4945.0,-1604.0,60083.0,184918.0,141289.0,160812.0
133,2367,燿華,44.8,-0.75,-1.65,08/28,6241.0,10147.0,-9171.0,-6342,-34823.0,-48933.0,-74275.0,-14892.0,36692.0,-19446.0
134,4919,新唐,122.5,0.5,0.41,08/28,-1310.0,-5046.0,-8932.0,-6178,-19472.0,-33900.0,-205791.0,-75458.0,-43649.0,-64728.0
135,5274,信驊,15630.0,325.0,2.12,08/28,0.0,3080.0,-1573.0,-6096,-21708.0,-70217.0,-260273.0,-620691.0,-593542.0,-831104.0
136,3035,智原,180.5,4.0,2.27,08/28,-1466.0,-1484.0,-2537.0,-6093,-24162.0,-30942.0,-315595.0,-310379.0,-180523.0,-321584.0
