排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 月份,非獨 董監 持股 (萬張),非獨 董監 增減 張數,非獨 董監 持股 (%),非獨 董監 質押 (萬張),非獨 董監 質押 (%),獨立 董監 持股 (萬張),獨立 董監 增減 張數,獨立 董監 持股 (%),獨立 董監 質押 (萬張),獨立 董監 質押 (%),全體 董監 持股 (萬張),全體 董監 增減 張數,全體 董監 持股 (%),全體 董監 質押 (萬張),全體 董監 質押 (%)
1345,5215,科嘉-KY,38.45,-0.05,-0.13,26M08,0.74,0.0,11.5,0,0,0.0,0.0,0.0,0,0,0.74,0.0,11.5,0,0
1346,5220,萬達光電,19.7,0.1,0.51,26M08,0.48,3.0,12.2,0,0,0.0,0.0,0.0,0,0,0.48,3.0,12.2,0,0
1347,5222,全訊,103.0,-0.5,-0.48,26M08,0.8,726.0,8.77,0,0,0.02,15.1,0.18,0,0,0.82,741.0,8.95,0,0
1348,5223,安力-KY,22.8,-0.2,-0.87,26M08,1.65,0.0,37.1,0,0,0.0,0.0,0.0,0,0,1.65,0.0,37.1,0,0
1349,5225,東科-KY,53.0,-0.7,-1.3,26M08,0.06,0.0,0.81,0,0,0.01,0.0,0.07,0,0,0.07,0.0,0.88,0,0
1350,5227,立凱-KY,29.5,-0.35,-1.17,26M08,0.06,0.0,0.83,0,0,0.0,0.0,0.0,0,0,0.06,0.0,0.83,0,0
1351,5228,鈺鎧,39.75,-1.5,-3.64,26M08,1.19,0.0,31.2,0,0,0.0,0.0,0.0,0,0,1.19,0.0,31.2,0,0
1352,5234,達興材料,287.0,-3.0,-1.03,26M08,4.48,0.0,43.6,0,0,0.0,0.0,0.0,0,0,4.48,0.0,43.6,0,0
1353,5236,凌陽創新,131.0,-3.5,-2.6,26M08,3.24,0.0,54.1,0,0,0.0,0.0,0.0,0,0,3.24,0.0,54.1,0,0
1354,5243,乙盛-KY,89.6,-0.6,-0.67,26M08,6.0,0.0,35.6,0,0,0.0,0.0,0.0,0,0,6.0,0.0,35.6,0,0
1355,5244,弘凱,33.8,-0.5,-1.46,26M08,0.96,-151.0,14.0,0,0,0.0,0.0,0.0,0,0,0.96,-151.0,14.0,0,0
1356,5251,天鉞電,25.8,0.25,0.98,26M08,1.01,0.0,29.9,0,0,0.0,0.0,0.0,0,0,1.01,0.0,29.9,0,0
1357,5258,虹堡,42.35,-2.6,-5.78,26M08,1.85,0.0,16.8,0,0,0.0,0.0,0.0,0,0,1.85,0.0,16.8,0,0
1358,5269,祥碩,1315.0,-45.0,-3.31,26M08,2.45,0.0,33.0,0,0,0.0,0.0,0.0,0,0,2.45,0.0,33.0,0,0
1359,5272,笙科,16.95,-0.05,-0.29,26M08,0.43,0.0,7.8,0,0,0.0,0.0,0.0,0,0,0.43,0.0,7.8,0,0
1360,5276,達輝-KY,17.65,0.0,0.0,26M08,1.63,0.0,41.3,0,0,0.0,0.0,0.0,0,0,1.63,0.0,41.3,0,0
1361,5285,界霖,82.5,-1.3,-1.55,26M08,2.2,0.0,21.6,0,0,0.0,0.0,0.0,0,0,2.2,0.0,21.6,0,0
1362,5288,豐祥-KY,180.5,-2.0,-1.1,26M08,3.87,0.0,55.6,0,0,0.0,0.0,0.0,0,0,3.87,0.0,55.6,0,0
1363,5289,宜鼎,1295.0,5.0,0.39,26M08,1.24,-99.0,12.8,0,0,0.0,0.0,0.0,0,0,1.24,-99.0,12.8,0,0
1364,5291,邑昇,59.5,-0.6,-1.0,26M08,0.58,-23.0,13.9,0,0,0.0,0.0,0.0,0,0,0.58,-23.0,13.9,0,0
1365,5292,華懋,217.0,-3.0,-1.36,26M08,0.32,0.0,7.0,0,0,0.0,0.0,0.0,0,0,0.32,0.0,7.0,0,0
1366,5299,杰力,91.8,-1.9,-2.03,26M08,1.87,0.0,36.8,0,0,0.0,0.0,0.0,0,0,1.87,0.0,36.8,0,0
1367,5302,太欣,9.72,-0.03,-0.31,26M08,5.76,0.0,36.0,0,0,0.0,0.0,0.0,0,0,5.76,0.0,36.0,0,0
1368,5306,桂盟,88.5,-4.5,-4.84,26M08,4.85,1.0,38.5,0,0,0.0,0.0,0.0,0,0,4.85,1.0,38.5,0,0
1369,5309,系統電,49.65,-0.45,-0.9,26M08,3.65,0.0,15.9,0,0,0.0,0.0,0.0,0,0,3.65,0.0,15.9,0,0
1370,5314,世紀*,42.15,-4.65,-9.94,26M08,20.9,158632.0,71.5,0,0,0.0,0.0,0.0,0,0,20.9,158632.0,71.5,0,0
