排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 週別,更新 日期,持股 100張 以下 (%),100張 以下 增減,持股 200張 以下 (%),200張 以下 增減,持股 400張 以下 (%),400張 以下 增減,持股 600張 以下 (%),600張 以下 增減
1885,1530,亞崴,27.45,-0.9,-3.17,26W37,09/11,20.2,-0.06,22.2,-0.03,24.1,-0.46,27.4,0.0
1886,8032,光菱,34.65,-0.2,-0.57,26W37,09/11,20.2,-0.08,22.9,-0.01,24.0,0.0,25.8,0.0
1887,7782,光速火箭,25.65,0.1,0.39,26W37,09/11,17.5,0.0,21.0,0.0,24.0,0.0,24.0,0.0
1888,1413,宏洲,9.28,-0.15,-1.59,26W37,09/11,15.4,0.15,19.1,-0.01,23.9,-0.01,26.1,-0.01
1889,00933B,國泰10Y+金融債,15.27,-0.08,-0.52,26W37,09/11,15.8,-0.08,20.4,-0.08,23.9,-0.06,25.6,-0.06
1890,6177,達麗,47.5,0.0,0.0,26W37,09/11,15.6,-0.07,19.5,-0.09,23.9,0.44,26.5,0.7
1891,6936,永鴻生技,31.7,-0.6,-1.86,26W37,09/11,18.1,0.01,21.4,0.0,23.8,0.0,26.0,0.0
1892,1436,華友聯,36.6,-0.35,-0.95,26W37,09/11,18.9,-0.09,21.5,-0.17,23.8,0.19,25.3,0.01
1893,7855,和運租車,42.1,0.05,0.12,26W37,09/11,19.8,-0.07,22.4,-0.19,23.8,-0.35,25.0,-0.35
1894,3313,斐成,10.75,-0.05,-0.46,26W37,09/11,18.7,-0.07,21.6,-0.04,23.8,-0.22,24.7,0.0
1895,4609,唐鋒,4.24,0.04,0.95,26W37,09/11,12.2,0.01,17.3,0.01,23.7,0.01,29.0,0.01
1896,4747,強生*,24.8,-0.4,-1.59,26W37,09/11,12.2,-0.01,17.2,-0.06,23.7,-0.01,28.4,-0.01
1897,1475,業旺,26.05,0.0,0.0,26W37,09/11,11.1,-0.07,16.3,-0.31,23.7,0.0,26.6,0.0
1898,2612,中航,64.2,-0.1,-0.16,26W37,09/11,19.6,-0.37,22.2,-0.06,23.6,-0.51,25.0,-0.11
1899,1802,台玻,58.2,-1.4,-2.35,26W37,09/11,21.0,-0.09,22.3,-0.05,23.6,0.01,24.3,-0.09
1900,3093,港建*,43.55,-1.05,-2.35,26W37,09/11,19.5,0.08,21.6,0.19,23.5,0.03,25.2,0.03
1901,2608,嘉里大榮,28.9,0.2,0.7,26W37,09/11,18.9,-0.07,20.8,-0.06,23.4,-0.06,25.2,0.04
1902,6550,北極星藥業-KY,9.97,-0.23,-2.25,26W37,09/11,17.5,0.04,20.7,0.18,23.4,0.08,25.0,0.24
1903,2939,永邑-KY,19.7,-0.3,-1.5,26W37,09/11,13.8,0.3,17.7,-0.42,23.4,-0.43,28.8,0.72
1904,4154,樂威科-KY,12.1,0.0,0.0,26W37,09/11,10.7,0.0,16.9,0.0,23.4,0.0,30.9,0.0
1905,3296,勝德,26.0,2.35,9.94,26W37,09/11,15.5,0.0,17.7,0.0,23.3,0.02,25.5,0.02
1906,4153,鈺緯,31.4,-1.15,-3.53,26W37,09/11,17.7,-0.02,20.6,-0.02,23.3,0.0,25.2,-0.01
1907,2247,汎德永業,230.0,0.0,0.0,26W37,09/11,18.3,0.0,21.2,0.02,23.3,0.0,25.5,0.0
1908,6843,進典,38.45,-0.05,-0.13,26W37,09/11,18.3,-0.01,21.5,-0.01,23.3,-0.01,24.9,-0.01
1909,2545,皇翔,33.75,-0.65,-1.89,26W37,09/11,18.3,0.0,21.0,0.02,23.2,-0.22,24.8,-0.01
1910,00931B,統一美債20年,12.77,-0.09,-0.7,26W37,09/11,17.6,-0.03,21.1,-0.06,23.2,-0.05,24.0,-0.09
1911,6722,輝創,32.65,-0.55,-1.66,26W37,09/11,15.6,-0.03,19.2,0.0,23.2,0.0,24.3,0.0
1912,2007,燁興,6.81,-0.06,-0.87,26W37,09/11,19.2,-0.01,21.4,-0.01,23.2,-0.02,23.5,-0.01
1913,9917,中保科,105.5,0.0,0.0,26W37,09/11,17.0,0.03,19.8,0.06,23.2,-0.03,25.3,-0.29
1914,2450,神腦,28.3,0.05,0.18,26W37,09/11,20.3,0.03,21.7,-0.14,23.2,0.0,23.4,0.0
1915,5607,遠雄港,53.0,0.7,1.34,26W37,09/11,16.2,0.12,19.4,0.03,23.2,0.2,26.3,0.09
1916,4406,新昕纖,10.0,0.0,0.0,26W37,09/11,8.83,-0.1,14.1,-0.1,23.1,-0.25,28.6,-0.25
1917,7820,立盈,110.0,-3.0,-2.65,26W37,09/11,17.5,-0.08,19.7,-0.08,23.1,-0.08,24.3,-0.08
1918,2237,華德動能-創,27.2,-0.45,-1.63,26W37,09/11,14.1,-0.01,18.3,-0.27,23.1,0.39,27.4,-0.03
1919,3171,炎洲流通,59.6,-0.4,-0.67,26W37,09/11,17.3,0.04,21.7,0.68,23.1,0.0,23.1,0.0
1920,2855,統一證,51.9,0.2,0.39,26W37,09/11,15.7,-0.29,19.3,-0.32,23.1,-0.3,25.5,-0.4
