"排名","代號","名稱","市場","成交","漲跌價","漲跌幅","成交張數","法人買賣日期","外資買賣超張數","投信買賣超張數","自營買賣超張數","合計買賣超張數","外資持有(千張)","外資持股(%)","法人買賣超註記"
"456","8039","台虹","市","262.5","-2.5","-0.94","10,463","09/22","-383","0","-172","-555","39.9","15.1","－・－"
"457","2724","藝舍-KY","櫃","12.25","+0.4","+3.38","2","09/22","0","0","0","0","9.01","15.1","・・・"
"458","5443","均豪","櫃","106.5","-2.5","-2.29","1,324","09/22","-309","0","-33","-342","24.8","15","－・－"
"459","2388","威盛","市","70.9","+1.2","+1.72","4,636","09/22","-503","0","+94","-409","83.6","15","－・＋"
"460","8942","森鉅","櫃","40.7","-0.05","-0.12","75","09/22","-31","0","0","-31","29.8","15","－・－"
"461","3592","瑞鼎","市","228.5","+3","+1.33","366","09/22","+163","-1","0","+162","11.4","15","＋－－"
"462","4536","拓凱","市","165","-1","-0.6","185","09/22","+44","0","0","+44","13.6","15","＋・・"
"463","6643","M31","櫃","489.5","+11.5","+2.41","1,898","09/22","-48","0","+31","-18","6.35","14.9","－・＋"
"464","2472","立隆電","市","217.5","+4.5","+2.11","3,002","09/22","+90","0","+19","+109","24.4","14.8","＋・＋"
"465","6796","晉弘","市","50.4","-0.9","-1.75","63","09/22","-10","0","0","-10","5.96","14.8","－・・"
"466","3236","千如","櫃","43.1","-0.55","-1.26","3,406","09/22","-403","0","0","-403","15.5","14.7","－・－"
"467","6532","瑞耘","櫃","98.5","-1.5","-1.5","523","09/22","-92","0","-1","-93","5.52","14.7","－・－"
"468","2397","友通","市","62.5","+0.7","+1.13","281","09/22","+115","0","+1","+116","16.9","14.7","＋・＋"
"469","1477","聚陽","市","190.5","-1","-0.52","2,120","09/22","-282","+194","+9","-79","36.2","14.6","－＋＋"
"470","6944","兆聯實業","市","722","+10","+1.4","325","09/22","+44","0","+5","+48","14.6","14.6","＋・＋"
"471","2002","中鋼","市","18.65","0","0","29,039","09/22","-13,858","-21","-109","-13,988","2,298","14.6","－－－"
"472","2880","華南金","市","46.55","-0.1","-0.21","8,501","09/22","+53","-191","+658","+519","2,047","14.6","＋－＋"
"473","6168","宏齊","市","44","+1.3","+3.04","68,487","09/22","+11,577","0","+48","+11,625","30","14.6","＋・＋"
"474","2464","盟立","市","190.5","-2","-1.04","11,047","09/22","-1,900","0","+24","-1,876","31.5","14.5","－・＋"
"475","8112A","至上甲特","市","45.75","0","0","15","09/22","0","0","0","0","4.35","14.5","・・・"
"476","5009","榮剛","櫃","32.1","+0.05","+0.16","930","09/22","+247","0","-20","+227","87.2","14.5","＋・－"
"477","6261","久元","櫃","79.9","+0.6","+0.76","655","09/22","+103","0","+14","+117","18.6","14.4","＋・＋"
"478","5452","佶優","櫃","27.8","-0.1","-0.36","386","09/22","+17","0","+1","+18","21.5","14.4","＋・＋"
"479","6831","邁科","市","512","-1","-0.19","563","09/22","+97","-64","-1","+32","9.72","14.4","＋－－"
"480","2912","統一超","市","214","-1","-0.47","964","09/22","-501","0","0","-500","149","14.4","－・＋"
"481","2354","鴻準","市","65.6","+0.7","+1.08","8,907","09/22","+4,091","-3","+146","+4,234","203","14.3","＋－＋"
"482","6859","伯特光","櫃","117.5","-3.5","-2.89","36","09/22","0","0","0","0","5.94","14.3","＋・＋"
"483","3130","一零四","市","209","0","0","40","09/22","-25","0","0","-25","4.74","14.3","－・・"
"484","2428","興勤","市","255","-3.5","-1.35","1,382","09/22","-285","0","-8","-292","18.2","14.2","－・－"
"485","6703","軒郁","櫃","101","0","0","63","09/22","-1","+14","0","+13","5.14","14.2","－＋・"
"486","6173","信昌電","櫃","303","-5","-1.62","15,768","09/22","+1,236","0","-14","+1,223","24.3","14.2","＋・－"
"487","6188","廣明","櫃","62.3","-0.4","-0.64","533","09/22","-138","0","+4","-134","39.4","14.2","－・＋"
"488","2548","華固","市","94.3","+0.6","+0.64","616","09/22","+132","0","+2","+134","47.5","14.1","＋・＋"
"489","4977","眾達-KY","市","170.5","-3.5","-2.01","2,484","09/22","-234","0","-18","-252","11.3","14.1","－・－"
"490","1104","環泥","市","26.6","0","0","375","09/22","-166","0","0","-166","96.5","14","－・－"
"491","3213","茂訊","櫃","125","-1","-0.79","145","09/22","-2","0","0","-2","8.24","14","－・－"
"492","4171","瑞基","櫃","16.45","+0.05","+0.3","16","09/22","+1","0","0","+1","8.15","14","＋・・"
"493","6226","光鼎","市","44.2","-0.3","-0.67","4,041","09/22","+524","0","+92","+616","16.1","14","＋・＋"
"494","2353","宏碁","市","31.4","-0.75","-2.33","18,208","09/22","-9,623","+103","-131","-9,651","426","14","－＋－"
"495","1102","亞泥","市","35.45","+0.2","+0.57","6,406","09/22","+3,175","+172","+96","+3,443","495","14","＋＋＋"
"496","3714","富采","市","68.9","+0.1","+0.15","44,869","09/22","-2,602","0","-263","-2,865","103","14","－・－"
"497","2474","可成","市","210","-1","-0.47","1,539","09/22","-362","+26","+10","-326","75","13.9","－＋＋"
"498","4909","新復興","櫃","34.6","-0.55","-1.56","246","09/22","-54","0","+1","-53","13","13.9","－・＋"
"499","8112","至上","市","82.2","-0.9","-1.08","6,088","09/22","-3,579","0","-24","-3,602","78.5","13.9","－・－"
"500","3094","聯傑","市","52.6","-4.2","-7.39","17,361","09/22","+240","0","-140","+100","11.5","13.9","＋・－"
"501","8114","振樺電","市","176","-1.5","-0.85","312","09/22","-125","0","-1","-126","10.6","13.8","－・－"
"502","6179","亞通","櫃","35.85","-1.5","-4.02","12,582","09/22","+309","0","-163","+146","24.5","13.8","＋・－"
"503","3581","博磊","櫃","101","-2.5","-2.42","253","09/22","+39","0","-4","+36","7.04","13.8","＋・－"
"504","6411","晶焱","櫃","78.8","-0.6","-0.76","195","09/22","-34","0","-2","-36","13.7","13.8","－・－"
"505","2547","日勝生","市","9.95","-0.05","-0.5","1,034","09/22","-225","+358","0","+133","142","13.7","－＋・"
"506","6541","泰福-KY","市","31.1","-0.25","-0.8","229","09/22","+24","0","0","+24","36.3","13.7","＋・＋"
"507","1609","大亞","市","38.1","+0.15","+0.4","3,790","09/22","+505","0","+21","+527","107","13.7","＋・＋"
"508","9934","成霖","市","9.82","-0.06","-0.61","523","09/22","-227","0","0","-227","56","13.6","－・・"
"509","2369","菱生","市","31.35","-0.9","-2.79","8,674","09/22","-280","0","-39","-319","51.6","13.6","－・－"
"510","6269","台郡","市","64.6","-0.7","-1.07","3,316","09/22","-508","0","+10","-498","43.9","13.5","－・＋"
"511","2349","錸德","市","10.35","-0.05","-0.48","1,273","09/22","-529","0","0","-529","93.2","13.4","－・・"
