"排名","代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減張數","2日增減張數","3日增減張數","5日增減張數","10日增減張數","1個月增減張數","3個月增減張數","半年增減張數","1年增減張數","今年增減張數"
"211","3615","安可","38.05","-0.75","-1.93","741","08/27","+85","+140","+223","+227","+40","+60","-534","-1,294","-43","+321"
"212","3702","大聯大","100","-1.5","-1.48","15,312","08/27","+703","+556","+534","+227","+1,727","+2,640","+4,869","+7,136","+7,522","+3,810"
"213","2458","義隆","138.5","-1","-0.72","1,408","08/27","+73","+68","+126","+225","+48","+451","+831","+932","+1,852","+1,285"
"214","8043","蜜望實","148","+6","+4.23","16,693","08/27","+157","+191","+148","+225","+9","+333","-735","+1,190","+2,267","+463"
"215","2881","富邦金","144","+2.5","+1.77","16,595","08/27","-329","-48","+215","+224","-251","-557","-657","-1,083","-1,544","-875"
"216","2254","巨鎧精密-創","61.7","+1.4","+2.32","538","08/27","+94","+199","+219","+220","+219","+211","+302","-484","-2,169","-2,326"
"217","4707","磐亞","32.55","+0.35","+1.09","2,415","08/27","-92","-103","-121","+220","-220","+1,688","+4,110","+11,985","+12,172","+12,142"
"218","6449","鈺邦","237","+4","+1.72","4,504","08/27","-10","+84","+190","+219","+216","+89","-1,087","-27","-4,648","-502"
"219","7711","永擎","487","-6","-1.22","1,443","08/27","-40","-66","+70","+218","+168","+1,198","+1,495","","",""
"220","00909","國泰數位支付服務","47.82","+0.87","+1.85","1,815","08/27","+18","-20","+20","+214","+252","+276","+194","-1,138","-245","-2,320"
"221","6218","豪勉","40.7","+0.75","+1.88","2,431","08/27","-2","+32","+89","+209","+196","-264","-912","+639","+468","+325"
"222","2388","威盛","73.3","+0.8","+1.1","1,551","08/27","+156","+79","+160","+204","+339","-1,081","-3,878","-4,161","-2,908","-4,033"
"223","7751","竑騰","1790","-195","-9.82","750","08/27","+2","+122","+101","+204","+628","","","","",""
"224","00960","野村全球航運龍頭","20.76","+0.25","+1.22","1,675","08/27","-3,162","-36","-106","+203","+235","+255","+251","-214","-1,431","-526"
"225","2404","漢唐","1075","0","0","1,240","08/27","+198","+209","+211","+203","+24","+142","-386","-237","+1,295","-322"
"226","6177","達麗","47.55","-0.35","-0.73","1,066","08/27","+14","-49","-55","+201","+9","+40","-687","-1,074","-763","-1,517"
"227","2340","台亞","34.25","+0.05","+0.15","2,870","08/27","-41","+104","+181","+197","+323","-573","-2,681","+1,750","+368","+370"
"228","2374","佳能","69","-0.1","-0.14","1,943","08/27","+13","+23","+18","+197","+103","-1,541","-6,201","-4,870","-2,328","-2,660"
"229","6167","久正","10.8","-0.15","-1.37","411","08/27","+96","+98","+139","+197","+386","+207","-103","+321","-231","+143"
"230","6613","朋億*","275.5","+9.5","+3.57","837","08/27","+141","+202","+203","+197","+135","+114","-137","+379","+303","+443"
"231","9958","世紀鋼","92.2","-1.9","-2.02","2,521","08/27","+49","+2","+50","+197","+324","-328","-372","-4,014","-9,545","-4,697"
"232","4566","時碩工業","65.7","-1","-1.5","1,829","08/27","+42","+113","+193","+196","+333","+283","-721","-451","-1,162","-1,473"
"233","2536","宏普","20.8","-0.3","-1.42","2,156","08/27","+86","+217","+323","+191","-300","+266","-1,583","+66","+1,374","-537"
"234","1310","台苯","8.43","-0.26","-2.99","5,239","08/27","+350","+182","+283","+189","-70","-2,028","-27","+6,910","+8,320","+7,005"
"235","3162","精確","72.6","-0.1","-0.14","1,450","08/27","+6","+246","+250","+188","+83","+65","-728","-485","-938","-803"
"236","2406","國碩","28.65","-0.05","-0.17","3,081","08/27","+98","+157","+100","+184","-586","-1,051","+1,604","-8,674","-1,057","-2,160"
"237","8227","巨有科技","161","+1","+0.62","464","08/27","-29","-22","+138","+184","+245","+120","-1,229","-384","-1,163","-268"
"238","3131","弘塑","2485","-5","-0.2","602","08/27","+49","+156","+189","+183","+168","+303","+248","+192","","+34"
"239","1216","統一","75.7","-1.4","-1.82","10,265","08/27","+4","+75","+38","+182","-42","+423","-548","-786","-349","+18"
"240","3550","聯穎","24.3","+0.4","+1.67","2,064","08/27","-112","-36","+55","+181","+117","+339","+549","+808","+4,645","+2,278"
"241","4157","太景*-KY","8.99","-0.01","-0.11","837","08/27","+28","+33","+40","+177","-79","-480","-55","+558","+3,734","+1,584"
"242","6166","凌華","116.5","-0.5","-0.43","783","08/27","+64","+249","+186","+177","+91","+236","-403","+299","-412","-349"
"243","1219","福壽","11.5","-0.3","-2.54","579","08/27","+18","+182","+182","+176","+191","+22","-143","-612","-1,242","-328"
"244","6190","萬泰科","70.6","+1.8","+2.62","2,900","08/27","-138","+110","+162","+175","+271","-449","-164","-1,598","-3,248","-2,489"
"245","3504","揚明光","89.5","-4.6","-4.89","12,150","08/27","+4","+206","+129","+174","+533","+506","+720","+1,567","+2,080","+1,507"
"246","1514","亞力","105","0","0","6,055","08/27","+126","+102","+121","+173","+143","-320","-1,085","-1,668","-1,217","-415"
"247","1565","精華","97.8","-1.1","-1.11","129","08/27","+149","+166","+168","+170","+168","+148","+165","+339","+212","+270"
"248","5607","遠雄港","51.5","-0.8","-1.53","1,377","08/27","+50","+109","+117","+170","+408","+766","+1,143","+1,020","+224","+995"
"249","8354","冠好","17.25","-0.15","-0.86","56","08/27","-6","+53","+93","+170","+187","+999","+2,168","-1,557","+2,338","-1,036"
"250","2636","台驊控股","68.9","-0.6","-0.86","653","08/27","-15","-89","-271","+169","+174","+181","+57","-124","-209","-145"
"251","4739","康普","88.6","+0.4","+0.45","1,159","08/27","+166","+66","+85","+169","+704","-1,210","+565","+4,905","+6,328","+6,700"
"252","6781","AES-KY","1130","-10","-0.88","1,264","08/27","+146","+189","+162","+168","-82","-311","-727","-204","+982","+95"
"253","6716","應廣","128","+0.5","+0.39","450","08/27","+91","+164","+212","+162","+177","+218","+334","+755","+950","+1,094"
"254","4129","聯合","82.4","+0.1","+0.12","442","08/27","+70","+161","+162","+161","-59","-97","-170","+400","+173","+451"
"255","5009","榮剛","33.3","-0.3","-0.89","1,684","08/27","+28","-156","-27","+158","+447","+196","-958","+1,016","-241","+1,868"
"256","8210","勤誠","990","+30","+3.12","2,248","08/27","+124","+138","+172","+158","+396","+1,162","+1,359","+485","+1,146","+1,722"
"257","00633L","富邦上証正2","48.77","+0.07","+0.14","918","08/27","+78","-54","+541","+156","+840","+463","-13","-6,291","-9,939","-4,540"
"258","4772","台特化","265","-0.5","-0.19","898","08/27","-17","-15","+25","+156","+163","-191","-1,233","-239","-1,493","+433"
"259","1218","泰山","14.55","-0.05","-0.34","2,441","08/27","+9","+127","-56","+155","+159","-93","+318","+331","-430","+176"
"260","6620","漢達","84.5","+7.6","+9.88","1,204","08/27","+80","+91","+164","+155","+144","+661","","","",""
"261","4303","信立","39","-3.1","-7.36","6,519","08/27","+29","-129","+19","+154","-16","-588","-1,505","-1,924","-619","-1,923"
"262","1742","台蠟","17.75","+0.15","+0.85","144","08/27","+48","+104","+123","+149","+403","+1,038","+905","+896","+1,267","+1,667"
"263","2509","全坤建","15.4","+0.05","+0.33","85","08/27","+46","+142","+148","+147","+216","+245","+120","+142","+232","+200"
"264","4915","致伸","59.6","-0.2","-0.33","1,346","08/27","+52","+23","+112","+147","+248","+906","+751","+2,644","+2,453","+2,568"
"265","6651","全宇昕","150.5","0","0","359","08/27","+10","+113","+102","+146","+152","+190","-92","+1,198","+1,157","+414"
"266","00635U","期元大S&P黃金","47.38","-0.42","-0.88","3,564","08/27","+133","-991","-477","+145","+287","+888","+2,746","+18","+6,729","+3,898"
"267","5498","凱崴","58.1","+4.8","+9.01","6,650","08/27","-65","-123","-117","+143","+82","-674","-2,785","+4,327","+796","+4,109"
"268","2812","台中銀","18.85","0","0","7,174","08/27","-7","-62","-28","+142","+72","-2,331","-3,116","-1,364","-2,471","-776"
"269","4306","炎洲","15.05","-0.05","-0.33","595","08/27","+132","+150","+153","+142","+601","+784","+1,299","+1,303","+1,595","+1,390"
"270","3704","合勤控","42","-0.45","-1.06","1,259","08/27","+124","+117","+103","+140","+216","+3,047","+4,096","-221","-272","+1,334"
"271","3596","智易","161.5","+1.5","+0.94","804","08/27","-10","+24","+47","+139","+319","+687","+601","+925","+1,148","+1,089"
