排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 週別,更新 日期,持股 800張 以下 (%),800張 以下 增減,持股 1千張 以下 (%),1千張 以下 增減,持股 超過 1千張 (%),超過 1千張 增減
1889,1603,華電,30.8,0.0,0.0,26W34,08/21,29.4,-0.38,30.4,-0.42,69.6,0.42
1890,2520,冠德,36.8,0.25,0.68,26W34,08/21,29.6,-0.44,30.4,-0.29,69.6,0.29
1891,3037,欣興,1085.0,-55.0,-4.82,26W34,08/21,28.0,-1.42,30.4,-1.13,69.6,1.13
1892,8070,長華*,48.8,-1.4,-2.79,26W34,08/21,29.5,-0.23,30.4,-0.09,69.6,0.09
1893,4535,至興,29.05,0.55,1.93,26W34,08/21,28.0,0.0,30.3,0.0,69.7,0.0
1894,2612,中航,60.2,1.5,2.56,26W34,08/21,28.5,-0.26,30.3,-0.26,69.7,0.26
1895,1472,三洋實業,87.6,0.1,0.11,26W34,08/21,28.2,0.0,30.2,0.0,69.8,0.0
1896,2504,國產,31.3,0.2,0.64,26W34,08/21,28.9,0.13,30.2,0.06,69.8,-0.06
1897,2536,宏普,20.85,0.0,0.0,26W34,08/21,27.0,-0.31,30.1,-0.29,69.9,0.29
1898,3310,佳穎,69.3,1.2,1.76,26W34,08/21,24.0,0.0,30.0,0.0,70.0,0.0
1899,2603,長榮,251.5,5.5,2.24,26W34,08/21,28.1,-2.61,30.0,-2.59,70.0,2.59
1900,1530,亞崴,29.5,-0.5,-1.67,26W34,08/21,28.2,0.0,29.9,0.0,70.1,0.0
1901,7791,皇家可口,57.0,-0.2,-0.35,26W34,08/21,25.3,0.0,29.9,0.0,70.1,0.0
1902,9907,統一實,15.3,0.1,0.66,26W34,08/21,29.0,-0.07,29.9,-0.02,70.1,0.02
1903,6561,是方,324.5,1.5,0.46,26W34,08/21,29.8,0.03,29.8,0.03,70.2,-0.03
1904,1906,寶隆,11.5,0.0,0.0,26W34,08/21,27.3,-0.03,29.7,0.0,70.3,0.0
1905,8426,紅木-KY,21.15,-0.05,-0.24,26W34,08/21,26.5,0.0,29.7,0.0,70.3,0.0
1906,1470,大統新創,23.7,0.0,0.0,26W34,08/21,22.5,-0.06,29.7,-0.06,70.3,0.06
1907,7803,雲象科技-創,19.6,0.45,2.35,26W34,08/21,27.6,0.0,29.6,0.0,70.4,0.0
1908,5607,遠雄港,55.9,0.6,1.08,26W34,08/21,27.9,-0.58,29.6,-0.87,70.4,0.87
1909,1805,寶徠,10.2,-0.05,-0.49,26W34,08/21,27.6,0.02,29.6,0.0,70.4,0.0
1910,2607,榮運,52.4,0.6,1.16,26W34,08/21,26.8,-0.01,29.5,0.11,70.5,-0.11
1911,2303,聯電,116.5,1.0,0.87,26W34,08/21,28.7,0.41,29.5,0.39,70.5,-0.39
1912,2845,遠東銀,13.65,0.05,0.37,26W34,08/21,28.2,-0.31,29.4,-0.34,70.6,0.34
1913,1503,士電,202.0,0.5,0.25,26W34,08/21,28.9,0.23,29.4,0.06,70.6,-0.06
1914,3226,龍鋒,52.6,0.1,0.19,26W34,08/21,24.9,-0.13,29.4,-0.13,70.6,0.13
