代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,外資 連續 買賣 日數,外資 連續 買賣 張數,外資 連續 買賣 佔 成交 (%),外資 連續 買賣 佔發 行量 (%),投信 連續 買賣 日數,投信 連續 買賣 張數,投信 連續 買賣 佔 成交 (%),投信 連續 買賣 佔發 行量 (%),自營 商 連續 買賣 日數,自營 商 連續 買賣 張數,自營 商 連續 買賣 佔 成交 (%),自營 商 連續 買賣 佔發 行量 (%),三大 法人 連續 買賣 日數,三大 法人 連續 買賣 張數,三大 法人 連續 買賣 佔 成交 (%),三大 法人 連續 買賣 佔發 行量 (%)
2207,和泰車,514.0,-2.0,-0.39,08/10,-2,-22,-5.5,0.0,5,23,1.31,0.0,2,14,3.48,0.0,-1,-9,-5.3,0.0
2542,興富發,44.35,0.05,0.11,08/10,-1,-647,-18.9,-0.03,5,2010,8.27,0.09,2,90,1.09,0.0,-1,-153,-4.46,-0.01
2609,陽明,51.6,1.1,2.18,08/10,2,12285,36.6,0.35,5,178,0.26,0.01,2,323,0.96,0.01,2,12706,37.8,0.36
6805,富世達,1755.0,85.0,5.09,08/10,-1,-846,-31.5,-1.23,5,2757,19.5,4.02,1,2,0.08,0.0,-1,-191,-7.12,-0.28
8996,高力,1075.0,30.0,2.87,08/10,-5,-3686,-17.8,-3.95,5,2084,10.1,2.23,-2,-22,-0.32,-0.02,-4,-2187,-12.7,-2.34
9904,寶成,24.1,0.2,0.84,08/10,3,9898,23.5,0.34,5,467,0.43,0.02,1,52,0.43,0.0,3,9836,23.3,0.33
9910,豐泰,70.2,0.7,1.01,08/10,5,1331,24.8,0.13,5,227,4.23,0.02,2,35,2.15,0.0,4,1546,37.9,0.16
0056,元大高股息,52.45,1.4,2.74,08/10,2,27634,33.3,0.19,4,2000,1.22,0.01,5,55155,27.4,0.38,7,136683,41.2,0.95
1402,遠東新,27.25,-0.25,-0.91,08/10,20,175723,42.7,3.28,4,308,0.38,0.01,2,239,0.61,0.0,5,41142,43.6,0.77
2105,正新,31.7,0.3,0.96,08/10,4,3882,18.3,0.12,4,422,2.0,0.01,-1,-151,-3.5,0.0,4,3972,18.8,0.12
2353,宏碁,31.0,0.75,2.48,08/10,1,9892,47.6,0.32,4,436,0.47,0.01,2,277,0.64,0.01,1,10094,48.6,0.33
2633,台灣高鐵,25.9,0.1,0.39,08/10,-6,-10951,-38.1,-0.19,4,1880,11.6,0.03,1,12,0.26,0.0,-1,-2795,-61.0,-0.05
3264,欣銓,222.5,15.0,7.23,08/10,-3,-4162,-11.9,-0.85,4,4933,12.2,1.01,1,290,1.83,0.06,2,1326,5.14,0.27
4904,遠傳,101.5,-1.5,-1.46,08/10,2,1426,14.7,0.04,4,1977,8.65,0.05,-1,-93,-2.57,0.0,4,4815,21.1,0.13
8021,尖點,434.5,39.5,10.0,08/10,1,1878,31.2,1.29,4,1334,3.91,0.92,1,53,0.89,0.04,1,2255,37.5,1.55
9941,裕融,85.2,0.9,1.07,08/10,2,1631,46.9,0.28,4,404,7.87,0.07,2,116,3.34,0.02,2,1848,53.2,0.32
1210,大成,53.2,0.5,0.95,08/10,2,790,11.3,0.09,3,1196,9.7,0.13,1,246,9.93,0.03,1,1030,41.5,0.12
2308,台達電,1815.0,165.0,10.0,08/10,1,1371,13.3,0.05,3,1142,3.61,0.04,1,403,3.91,0.02,1,2378,23.0,0.09
2313,華通,215.0,6.5,3.12,08/10,-2,-12608,-19.2,-1.02,3,3387,2.97,0.27,1,856,2.52,0.07,-2,-11591,-17.7,-0.94
2347,聯強,91.9,-1.5,-1.61,08/10,-2,-1439,-17.0,-0.09,3,1420,10.4,0.09,-1,-173,-5.2,-0.01,-2,-153,-1.81,-0.01
2474,可成,201.0,13.5,7.2,08/10,1,719,8.6,0.13,3,84,0.64,0.02,-1,-171,-2.04,-0.03,3,938,7.2,0.17
2855,統一證,45.85,1.35,3.03,08/10,1,605,11.6,0.04,3,2745,21.6,0.17,0,0,0.0,0.0,1,1571,30.0,0.1
2883,凱基金,31.05,0.2,0.65,08/10,-3,-25141,-24.3,-0.14,3,15275,14.8,0.08,-1,-561,-1.85,0.0,2,5361,9.35,0.03
