"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股100張以下(%)","100張以下增減","持股200張以下(%)","200張以下增減","持股400張以下(%)","400張以下增減","持股600張以下(%)","600張以下增減"
"846","6015","宏遠證","16.4","+0.35","+2.18","26W32","08/07","36.3","+0.09","44","-0.04","50.4","-0.2","54.4","+0.14"
"847","1734","杏輝","30.75","0","0","26W32","08/07","38.3","+0.14","43.9","+0.1","50.6","+0.41","53.9","-0.18"
"848","2392","正崴","44.5","-2.15","-4.61","26W32","08/07","44.6","-0.49","48.2","-0.55","51.8","-0.57","53.7","-0.59"
"849","6026","福邦證","15.1","+0.15","+1","26W32","08/07","35.4","-0.05","43.1","-0.02","50.5","-0.22","54.3","-0.11"
"850","1515","力山","34.7","-0.7","-1.98","26W32","08/07","40.3","+0.17","44.2","+0.17","49.5","+0.78","52.3","+0.49"
"851","1593","祺驊","31.65","-0.35","-1.09","26W32","08/07","35.2","-0.03","42.9","-0.01","49.9","-0.01","58","-0.01"
"852","6456","GIS-KY","74.3","+2.5","+3.48","26W32","08/07","44.1","-0.21","48.4","-0.2","52.3","-0.36","54.2","-0.36"
"853","6918","愛派司","78","0","0","26W32","08/07","28.3","-0.01","37","0","49.8","0","59.3","0"
"854","00632R","元大台灣50反1","9.89","-0.06","-0.6","26W32","08/07","28.8","-1.33","40.5","-1.8","51.2","-2.58","57.1","-2.62"
"855","3551","世禾","180.5","+3","+1.69","26W32","08/07","41.3","+0.38","45.1","+0.82","50.4","+0.91","57.1","+1.06"
"856","6840","東研信超","98.4","+0.1","+0.1","26W32","08/07","32.5","+0.07","37.2","-0.2","46.3","+0.03","51.2","0"
"857","2034","允強","20.45","+0.1","+0.49","26W32","08/07","40.7","+0.11","45.8","+0.01","51.1","+0.16","54.5","+0.33"
"858","4588","玖鼎電力","53.3","+0.3","+0.57","26W32","08/07","38","-0.27","44.3","+0.01","49.7","0","50.9","0"
"859","2495","普安","38.4","0","0","26W32","08/07","42.6","-0.3","46.5","-0.51","50.3","+0.05","52.4","-0.4"
"860","3272","東碩","14.1","+0.1","+0.71","26W32","08/07","43.1","+0.07","47.5","+0.07","49.5","+0.08","51","+0.07"
"861","6821","聯寶","41.95","-1.35","-3.12","26W32","08/07","38","+0.16","41.3","-0.72","50","+1","54.1","-0.13"
"862","00957B","兆豐US優選投等債","12.98","-0.08","-0.61","26W32","08/07","30.4","-0.11","40.2","-0.12","49.2","-0.09","51.6","-0.09"
"863","8213","志超","33.15","0","0","26W32","08/07","38.6","-0.13","43.9","-0.23","49.8","-0.07","55.2","-0.18"
"864","4552","力達-KY","17.1","-0.05","-0.29","26W32","08/07","33.3","-0.24","41.3","-0.48","49.1","-0.35","53","+0.71"
"865","3211","順達","400","+2.5","+0.63","26W32","08/07","42.6","+0.29","46.2","+0.39","49.1","+0.27","54.6","+1.22"
"866","6223","旺矽","5030","-60","-1.18","26W32","08/07","27.6","-0.37","37.1","-0.29","50.1","-0.2","55.9","-0.22"
"867","3297","杭特","27.6","-0.05","-0.18","26W32","08/07","40.2","0","43.1","-0.02","49.5","0","50.6","0"
"868","6165","浪凡","48.3","+0.25","+0.52","26W32","08/07","35.1","-0.66","42.1","-0.61","51.1","-1.4","55.3","+0.49"
"869","00753L","中信中國50正2","9.58","+0.01","+0.1","26W32","08/07","23.8","-0.08","35.1","+0.14","47.2","+0.28","54.2","+0.28"
"870","8110","華東","46","-0.15","-0.33","26W32","08/07","45.7","+0.39","47.7","+0.54","49.6","+0.38","51.3","+0.5"
"871","3024","憶聲","14.65","+0.05","+0.34","26W32","08/07","36.8","+0.02","44","-0.32","50.2","-0.48","53.6","-0.33"
"872","8996","高力","1265","-45","-3.44","26W32","08/07","26.7","+0.18","34","+0.63","49.4","+1.06","59.2","+1.55"
"873","6721","信實","52.4","-0.1","-0.19","26W32","08/07","28.1","+0.38","37.6","+0.41","49.7","+2.04","57.4","0"
"874","6865","偉康科技","26","0","0","26W32","08/07","37.9","0","45.6","0","49.5","0","54.9","0"
"875","2464","盟立","190","-21","-9.95","26W32","08/07","47.8","-5.05","51.5","-5.41","55.6","-5.19","57.8","-5.73"
"876","2020","美亞","21.85","0","0","26W32","08/07","40.6","+0.06","45.8","+0.04","49.4","-0.02","50.9","-0.02"
"877","2014","中鴻","17.05","-0.1","-0.58","26W32","08/07","42.6","-0.13","46.5","-0.22","49.6","-0.29","51","-0.25"
"878","3050","鈺德","11.8","+0.15","+1.29","26W32","08/07","40.3","+0.47","44.3","+0.4","49.3","+0.24","51.8","-0.06"
"879","8112A","至上甲特","45.1","+0.1","+0.22","26W32","08/07","37.9","+0.27","44.1","+0.43","48.2","+0.43","48.2","+0.43"
"880","6180","橘子","42.3","-0.45","-1.05","26W32","08/07","45","-0.12","47.3","+0.12","50","+0.29","51.9","+0.32"
"881","6016","康和證","21.35","+1","+4.91","26W32","08/07","35.6","+0.07","43","+0.13","49.3","-0.02","52.9","+0.12"
"882","8935","邦泰","18.1","0","0","26W32","08/07","32.7","+0.19","39.7","-0.01","49.2","-0.04","51.9","-0.03"
"883","6944","兆聯實業","712","-4","-0.56","26W32","08/07","29.6","+0.12","37.7","-0.21","48.6","+0.14","57.9","+0.14"
"884","7610","聯友金屬-創","1495","-100","-6.27","26W32","08/07","38.5","+0.63","44.1","+0.98","51.2","+0.05","57.8","+0.05"
"885","6651","全宇昕","150.5","0","0","26W32","08/07","29.2","+0.46","35","+0.14","49.3","+0.14","63.2","-0.01"
"886","4991","環宇-KY","520","-18","-3.35","26W32","08/07","36.4","+0.04","39.8","+0.25","47.4","+0.33","52.4","-0.36"
"887","8028","昇陽半導體","249","+0.5","+0.2","26W32","08/07","37","+0.82","41.9","+0.48","48.7","+1.06","54.5","+0.47"
"888","6276","安鈦克","20.25","+0.05","+0.25","26W32","08/07","46.4","-0.06","48.3","-0.05","51.2","-0.05","51.2","-0.05"
"889","8942","森鉅","42.7","-0.4","-0.93","26W32","08/07","35.6","-0.05","43","-0.16","49.4","-0.02","52.8","-0.01"
"890","4106","雃博","24.4","-0.1","-0.41","26W32","08/07","38.5","-0.43","42.9","-0.51","50","-0.07","52.5","-0.66"
"891","9958","世紀鋼","92.2","-1.9","-2.02","26W32","08/07","40.1","-0.16","43.6","-0.16","46.6","-0.25","51.8","+0.66"
"892","1718","中纖","10.75","+0.05","+0.47","26W32","08/07","40.4","+2.28","45.5","+2.62","49.3","+2.9","51.6","+2.91"
"893","4736","泰博","124.5","0","0","26W32","08/07","39.1","+0.04","45.1","-0.08","48.6","-0.52","51.2","0"
"894","5302","太欣","10.5","-0.05","-0.47","26W32","08/07","40","+0.19","45","+0.21","48.7","+0.23","51.9","+0.22"
"895","5299","杰力","99.3","-0.7","-0.7","26W32","08/07","43.6","+0.16","45.2","+0.4","49","+0.83","51","+0.01"
"896","2455","全新","434","+1","+0.23","26W32","08/07","34.7","-0.86","40.9","-0.63","48.2","-1.56","54.4","-0.55"
"897","4702","中美實","9.62","+0.03","+0.31","26W32","08/07","40.1","-0.16","45","-0.21","48.9","-0.08","52.6","-0.04"
"898","8446","華研","85.4","+0.2","+0.23","26W32","08/07","43","-0.03","47.1","-0.03","49.8","-0.06","54.3","-1.18"
"899","00981B","第一金優選非投債","9.14","-0.03","-0.33","26W32","08/07","21.8","+0.11","35.3","+0.45","48.2","+0.69","56.7","+0.83"
"900","00638R","元大滬深300反1","6.59","-0.04","-0.6","26W32","08/07","23.3","-0.24","36.8","-0.9","46.3","+0.26","53.9","+0.26"
