排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
216,6533,晶心科,228.0,-6.5,-2.77,05/27,-124,-139,-221,-347,-495,-435.0,-974.0,257.0,2393.0,-591.0
217,2388,威盛,75.9,-2.1,-2.69,05/27,-84,1270,1438,-336,-207,1924.0,-8901.0,-8249.0,-989.0,-4746.0
218,00996A,主動兆豐台灣豐收,15.54,0.19,1.24,05/27,0,0,0,-333,-333,600.0,,,,
219,2605,新興,31.0,-0.25,-0.8,05/27,-274,-222,-222,-333,-1282,-1735.0,3930.0,3259.0,-7275.0,-5765.0
220,3529,力旺,3295.0,-190.0,-5.45,05/27,-18,-43,-100,-333,-1336,-2788.0,-1551.0,-376.0,1721.0,-376.0
221,3030,德律,399.5,-10.0,-2.44,05/27,-545,-412,-494,-331,-837,-4533.0,493.0,-4807.0,-1237.0,-109.0
222,00675L,富邦臺灣加權正2,316.95,12.55,4.12,05/27,0,-23,0,-322,-680,-997.0,-963.0,1315.0,-2403.0,-1005.0
223,3022,威強電,73.9,-1.1,-1.47,05/27,-265,-313,-343,-319,-231,-188.0,333.0,260.0,2079.0,1106.0
224,2404,漢唐,1235.0,-30.0,-2.37,05/27,-352,-455,-308,-318,1050,1877.0,7027.0,7333.0,6872.0,6713.0
225,5425,台半,104.5,4.0,3.98,05/27,-301,-458,-324,-316,266,-1065.0,996.0,-2994.0,2613.0,-1601.0
226,4766,南寶,367.0,-8.0,-2.13,05/27,-28,-110,-150,-312,-278,177.0,2024.0,1559.0,2908.0,1756.0
227,6269,台郡,62.8,-1.4,-2.18,05/27,-259,-359,-314,-309,2719,3683.0,5390.0,2466.0,-5519.0,4140.0
228,3707,漢磊,89.3,6.4,7.72,05/27,-73,-15,68,-303,-1096,-1504.0,-7060.0,-7996.0,-13936.0,-6859.0
229,6742,澤米,57.3,-2.3,-3.86,05/27,-150,-247,-307,-299,-47,-169.0,-785.0,-1173.0,-533.0,-965.0
230,2645,長榮航太,161.5,3.0,1.89,05/27,67,-3,-142,-298,-305,-75.0,-2051.0,2415.0,3724.0,1686.0
231,6196,帆宣,500.0,-6.0,-1.19,05/27,-123,-12,-119,-295,414,585.0,12.0,-3056.0,-52.0,984.0
232,3402,漢科,154.0,0.0,0.0,05/27,-165,-211,-272,-287,-237,434.0,735.0,1373.0,1610.0,1377.0
233,4749,新應材,1115.0,-25.0,-2.19,05/27,-14,-227,-358,-287,489,971.0,-1737.0,-529.0,1696.0,-812.0
234,2233,宇隆,365.0,-12.0,-3.18,05/27,-6,-29,-146,-277,-609,-931.0,-1523.0,-1511.0,-72.0,-1570.0
235,3413,京鼎,314.5,-20.5,-6.12,05/27,-296,-278,-285,-276,-124,828.0,-2197.0,3673.0,6448.0,1042.0
236,4739,康普,104.0,-1.0,-0.95,05/27,-156,-198,-267,-273,-830,-581.0,246.0,-110.0,-195.0,-232.0
237,3390,旭軟,29.8,1.05,3.65,05/27,-59,-110,-235,-269,51,306.0,160.0,392.0,1.0,261.0
238,8040,九暘,113.0,-5.0,-4.24,05/27,-30,-33,-53,-263,-249,-73.0,104.0,58.0,-321.0,154.0
239,2641,正德,17.7,-0.15,-0.84,05/27,20,-109,-137,-261,-156,-483.0,1419.0,3512.0,4753.0,2295.0
240,2524,京城,33.25,0.0,0.0,05/27,-67,-100,-266,-259,-234,-234.0,-339.0,-678.0,162.0,-368.0
241,4912,聯德控股-KY,112.5,6.0,5.63,05/27,1,-21,-20,-258,-508,-355.0,-551.0,242.0,62.0,261.0
242,2420,新巨,62.5,-0.2,-0.32,05/27,-12,-12,-12,-256,-252,-334.0,-274.0,-201.0,-342.0,-104.0
243,00904,新光臺灣半導體30,42.35,1.13,2.74,05/27,0,0,-34,-254,-328,-78.0,994.0,1028.0,1096.0,1812.0
244,2427,三商電,20.3,-0.2,-0.98,05/27,12,-17,-189,-254,-74,154.0,193.0,-55.0,501.0,-306.0
245,1733,五鼎,29.9,-0.15,-0.5,05/27,6,-105,-99,-237,-295,-336.0,-329.0,-682.0,346.0,-596.0
246,2305,全友,22.85,2.05,9.86,05/27,-81,-187,-252,-237,-84,-42.0,208.0,505.0,541.0,507.0
247,5351,鈺創,82.6,0.4,0.49,05/27,445,531,914,-237,-1846,-6576.0,1363.0,1909.0,2039.0,-5500.0
248,6245,立端,90.6,-0.3,-0.33,05/27,-103,-113,-207,-237,-444,-871.0,-1739.0,-1138.0,627.0,-832.0
249,6217,中探針,276.0,-1.0,-0.36,05/27,-8,-46,-80,-231,686,663.0,-1299.0,-4583.0,-61.0,-4137.0
250,4536,拓凱,157.5,-2.0,-1.25,05/27,0,-68,-81,-230,-167,31.0,-190.0,1225.0,1730.0,435.0
251,1591,駿吉-KY,46.0,0.3,0.66,05/27,0,-208,-211,-227,-184,-92.0,-191.0,-204.0,-362.0,-218.0
252,6237,驊訊,51.1,-2.5,-4.66,05/27,-56,-254,-231,-227,344,159.0,-1062.0,-2627.0,-1006.0,-1815.0
253,3543,州巧,35.35,-0.4,-1.12,05/27,-184,-237,-257,-225,-183,269.0,345.0,1581.0,3320.0,1224.0
254,3546,宇峻,81.3,0.7,0.87,05/27,-49,-46,-32,-225,-185,-241.0,-875.0,-317.0,-508.0,-306.0
255,6854,錼創科技-KY創,155.5,-4.5,-2.81,05/27,-86,-131,-203,-225,58,290.0,-286.0,-619.0,1851.0,-412.0
256,2417,圓剛,50.2,-0.8,-1.57,05/27,-279,-206,-256,-224,-391,17.0,-2026.0,-1707.0,-2364.0,-1380.0
257,8182,加高,44.1,-1.55,-3.4,05/27,-34,-164,-262,-222,-77,468.0,759.0,786.0,792.0,785.0
258,2353,宏碁,31.4,-0.5,-1.57,05/27,-391,-405,-373,-220,-149,-203.0,-299.0,114947.0,136315.0,122189.0
259,2492,華新科,361.0,32.5,9.89,05/27,0,-4,-21,-220,-2605,-2319.0,-5154.0,-13939.0,-8291.0,-17824.0
260,4571,鈞興-KY,218.0,-6.0,-2.68,05/27,-18,-34,-72,-220,-294,-434.0,-512.0,-773.0,-325.0,-726.0
261,5392,能率,41.35,-1.65,-3.84,05/27,179,-69,-185,-216,-256,1826.0,331.0,369.0,28.0,-747.0
262,1789,神隆,19.0,-0.05,-0.26,05/27,-264,-261,-230,-214,-312,269.0,4534.0,6534.0,6498.0,6054.0
263,2030,彰源,18.0,0.05,0.28,05/27,-167,-182,-159,-211,-644,-795.0,-793.0,1370.0,255.0,1481.0
264,3645,達邁,110.0,-7.5,-6.38,05/27,357,529,-52,-209,-182,2841.0,-1365.0,-1236.0,596.0,-851.0
