"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料月份","非獨董監持股(萬張)","非獨董監增減張數","非獨董監持股(%)","非獨董監質押(萬張)","非獨董監質押(%)","獨立董監持股(萬張)","獨立董監增減張數","獨立董監持股(%)","獨立董監質押(萬張)","獨立董監質押(%)","全體董監持股(萬張)","全體董監增減張數","全體董監持股(%)","全體董監質押(萬張)","全體董監質押(%)"
"1148","3628","盈正","71.2","+3.9","+5.79","26M05","2.54","+42","56.6","0","0","0","0","0","0","0","2.54","+42","56.6","0","0"
"1149","3629","地心引力","14.15","+0.9","+6.79","26M05","1.03","0","31.4","0","0","0","0","0","0","0","1.03","0","31.4","0","0"
"1150","3630","新鉅科","25.2","-0.55","-2.14","26M05","9.59","0","47","0","0","0","0","0","0","0","9.59","0","47","0","0"
"1151","3631","晟楠","36.3","+0.05","+0.14","26M05","3.46","0","42.3","0","0","0","0","0","0","0","3.46","0","42.3","0","0"
"1152","3632","研勤","7.36","-0.26","-3.41","26M05","0.52","0","12.7","0","0","0","0","0","0","0","0.52","0","12.7","0","0"
"1153","3646","艾恩特","23.2","-0.25","-1.07","26M05","0.63","+33","16","0","0","0","0","0","0","0","0.63","+33","16","0","0"
"1154","3652","精聯","37.5","-0.5","-1.32","26M05","3.37","0","44.9","0","0","0","0","0.01","0","0","3.37","0","44.9","0","0"
"1155","3661","世芯-KY","4210","+20","+0.48","26M05","0.2","0","2.4","0","0","0","0","0","0","0","0.2","0","2.4","0","0"
"1156","3663","鑫科","64.6","+0.3","+0.47","26M05","6.24","-126","57.5","0","0","0","0","0","0","0","6.24","-126","57.5","0","0"
"1157","3664","安瑞-KY","6.1","0","0","26M05","3.23","0","44.9","0","0","0","0","0","0","0","3.23","0","44.9","0","0"
"1158","3666","光耀","25.25","+0.15","+0.6","26M05","4.6","0","33.1","0","0","0","0","0","0","0","4.6","0","33.1","0","0"
"1159","3669","圓展","38.55","-0.65","-1.66","26M05","4.69","0","50.5","0","0","0","0","0","0","0","4.69","0","50.5","0","0"
"1160","3672","康聯訊","12.5","0","0","26M05","0.85","0","20.9","0","0","0","0","0","0","0","0.85","0","20.9","0","0"
"1161","3673","TPK-KY","61.6","-1","-1.6","26M05","7.94","0","19.5","0","0","0","0","0","0","0","7.94","0","19.5","0","0"
"1162","3675","德微","267.5","-10.5","-3.78","26M05","2.94","0","55.4","0","0","0","0","0","0","0","2.94","0","55.4","0","0"
"1163","3684","榮昌","54.1","+0.1","+0.19","26M05","1.33","0","43.9","0","0","0","0","0","0","0","1.33","0","43.9","0","0"
"1164","3685","元創精密","37","-1.3","-3.39","26M05","2.56","0","32.1","0","0","0","0","0","0","0","2.56","0","32.1","0","0"
"1165","3686","達能","14.4","-0.5","-3.36","26M05","0.29","+330","3.83","0","0","0.01","0","0.14","0","0","0.3","+330","3.97","0","0"
"1166","3687","歐買尬","65.8","+0.1","+0.15","26M05","0","0","0.01","0","0","0","0","0","0","0","0","0","0.01","0","0"
"1167","3693","營邦","536","-16","-2.9","26M05","1.1","0","25.6","0","0","0","0","0","0","0","1.1","0","25.6","0","0"
"1168","3694","海華","53.8","+0.5","+0.94","26M05","6.12","-9","39.5","0","0","0","0","0","0","0","6.12","-9","39.5","0","0"
"1169","3701","大眾控","40.35","-0.55","-1.34","26M05","8.1","0","34.2","0","0","0","0","0","0","0","8.1","0","34.2","0","0"
"1170","3707","漢磊","65.6","0","0","26M05","8.45","0","21.3","0","0","0","0","0","0","0","8.45","0","21.3","0","0"
"1171","3709","鑫聯大投控","70.5","-1.1","-1.54","26M05","7.28","-9","58","0","0","0","0","0","0","0","7.28","-9","58","0","0"
"1172","3710","連展投控","5.15","-0.09","-1.72","26M05","1.88","0","6.53","0","0","0","0","0","0","0","1.88","0","6.53","0","0"
"1173","3711","日月光投控","616","-10","-1.6","26M05","68.4","0","15.5","0","0","0","0","0","0","0","68.4","0","15.5","0","0"
"1174","3712","永崴投控","22.2","0","0","26M05","6.65","0","27","0","0","0","0","0","0","0","6.65","0","27","0","0"
