"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股超過600張(%)","超過600張增減","持股超過800張(%)","超過800張增減","持股超過1千張(%)","超過1千張增減"
"94","6456","GIS-KY","69.2","-2.1","-2.95","26W18","04/30","50.8","+0.06","49.8","+0.51","48.8","+0.2"
"95","2478","大毅","177.5","+7.5","+4.41","26W18","04/30","53.1","-0.55","49.3","-1.52","47.5","-0.21"
"96","00753L","中信中國50正2","9.11","-0.13","-1.41","26W18","04/30","48.1","-0.14","43.5","-0.31","40.7","-0.01"
"97","2603","長榮","226","+3","+1.35","26W18","04/30","66.3","+0.34","64.8","+0.38","63","+0.46"
"98","00648R","元大S&P500反1","4.1","+0.02","+0.49","26W18","04/30","43.5","-0.1","39.6","+0.31","37.7","+0.31"
"99","00928","中信上櫃ESG30","35.42","-0.03","-0.08","26W18","04/30","36.5","+1.08","36.5","+1.08","31","-1.32"
"100","00930","永豐ESG低碳高息","23.72","+0.09","+0.38","26W18","04/30","12.7","-0.52","11.9","-0.55","10.8","-0.08"
"101","7723","築間","22.6","-0.2","-0.88","26W18","04/30","55.3","+0.05","48.4","+0.05","46.5","+0.05"
"102","00864B","中信美國公債0-1","45.99","+0.08","+0.17","26W18","04/30","60.8","+0.48","59","0","57.7","0"
"103","6151","晉倫","41.85","+2.45","+6.22","26W18","04/30","30.1","-0.01","27.6","+0.02","23.1","+0.02"
"104","3406","玉晶光","693","+16","+2.36","26W18","04/30","51","-0.19","48","-0.83","40.8","-1.54"
"105","00981D","主動中信非投等債","10.36","+0.03","+0.29","26W18","04/30","44","+0.48","39","+0.95","36.2","+0.85"
"106","00403A","主動統一升級50","9.99","-0.05","-0.5","","","","","","","",""
"107","3550","聯穎","28.6","+0.15","+0.53","26W18","04/30","40.7","+0.08","37.4","+1.3","35","-0.32"
"108","5309","系統電","66.6","-1","-1.48","26W18","04/30","36.3","+0.19","34.4","+0.14","32.5","-0.56"
"109","4111","濟生","29.8","-0.15","-0.5","26W18","04/30","37.2","+0.45","32.5","+0.45","26","+0.45"
"110","00632R","元大台灣50反1","10.83","+0.01","+0.09","26W18","04/30","38","+3.97","33.5","+3.97","30.3","+4.02"
"111","1503","士電","215","-2","-0.92","26W18","04/30","73.9","-0.02","73.2","+0.13","72.3","-0.05"
"112","00932","兆豐永續高息等權","17.43","0","0","26W18","04/30","9.13","-1.77","8.8","-1.78","8.25","-1.8"
"113","3491","昇達科","1680","+45","+2.75","26W18","04/30","25.2","+1.11","14.6","-0.14","12","-0.08"
"114","2440","太空梭","17.25","+0.2","+1.17","26W18","04/30","68.8","+0.55","67.3","+0.04","67.3","+0.04"
"115","1513","中興電","164","-0.5","-0.3","26W18","04/30","42","-1.3","40.3","-1.03","38.9","-1.01"
"116","9958","世紀鋼","111.5","+0.5","+0.45","26W18","04/30","51.7","-0.3","47.7","-0.62","46.6","+0.1"
"117","4526","東台","39.25","+1.25","+3.29","26W18","04/30","44","-0.25","41.6","+0.31","39.1","-0.41"
"118","2342","茂矽","39.7","+0.85","+2.19","26W18","04/30","37.3","+0.05","36","+0.47","33.2","-0.02"
"119","00964","中信亞太高股息","14.19","+0.12","+0.85","26W18","04/30","15.7","+1.79","10.6","-2.18","8.89","-0.71"
"120","00892","富邦台灣半導體","42.03","+0.54","+1.3","26W18","04/30","14.8","-0.01","13.2","-0.5","11.8","-0.49"
"121","6104","創惟","98.6","-1.4","-1.4","26W18","04/30","13","-0.01","9.23","-0.03","8.28","-0.03"
"122","2457","飛宏","28.8","-0.7","-2.37","26W18","04/30","26.5","+0.11","25.1","+0.12","24","+0.33"
"123","1718","中纖","9.05","+0.15","+1.69","26W18","04/30","52.9","-0.03","51.2","-0.03","49.7","+0.02"
"124","006203","元大MSCI台灣","181.05","-2.45","-1.34","26W18","04/30","70.3","+0.22","70.3","+0.22","60.6","+0.22"
"125","3289","宜特","152","-5.5","-3.49","26W18","04/30","25","-0.92","21.2","-0.01","16.8","-0.19"
"126","3376","新日興","203.5","-8","-3.78","26W18","04/30","46.2","-2.04","43.4","-1.33","41.1","-0.84"
"127","3481","群創","46.95","+3.65","+8.43","26W18","04/30","38.2","-0.55","36.6","-0.55","35.4","-0.54"
"128","00981T","平衡凱基雙核收息","11.99","-0.03","-0.25","26W18","04/30","30.9","-0.04","26.3","-2.61","24","-2.24"
"129","2103","台橡","22.15","+1.1","+5.23","26W18","04/30","50.4","+0.28","49","+0.15","47.8","+0.05"
"130","1786","科妍","56.7","-0.2","-0.35","26W18","04/30","46.2","-0.7","44.5","+0.12","43.2","+0.02"
"131","00877","復華中國5G","42.1","-0.22","-0.52","26W18","04/30","16.4","-0.8","13.8","-0.83","10.5","-0.8"
"132","8011","台通","17.95","+0.1","+0.56","26W18","04/30","29.2","-0.5","27.6","-0.53","25.4","-0.61"
"133","00830","國泰費城半導體","87.1","0","0","26W18","04/30","26.3","-2.9","25.3","-3.14","24","-3.1"
"134","009800","中信NASDAQ","12.67","-0.04","-0.31","26W18","04/30","21.1","-0.27","19.8","-0.62","18.3","-0.35"
"135","3653","健策","3620","-180","-4.74","26W18","04/30","64","-0.19","61.6","-0.11","58.5","-0.14"
"136","2337","旺宏","140","+5","+3.7","26W18","04/30","54.1","+5.88","52.6","+5.67","51.8","+5.48"
"137","8936","國統","55.2","+0.3","+0.55","26W18","04/30","28.6","+0.72","27","+1.09","24.1","0"
"138","6670","復盛應用","282","+0.5","+0.18","26W18","04/30","70.6","-0.7","65.9","-0.15","62.7","-0.17"
"139","6125","廣運","59.9","+0.4","+0.67","26W18","04/30","34","+0.23","31.7","+0.03","30.6","-0.36"
"140","6944","兆聯實業","937","+29","+3.19","26W18","04/30","42.7","-0.84","34.6","-0.01","32.3","-0.01"
"141","6609","瀧澤科","41.7","-1.3","-3.02","26W18","04/30","54.5","-0.84","54.5","+0.02","53.3","0"
"142","1611","中電","13.3","-0.25","-1.85","26W18","04/30","50.2","+0.18","48.4","+0.13","45.8","+0.13"
"143","2618","長榮航","37.7","+0.45","+1.21","26W18","04/30","71","-0.29","69.6","-0.32","68.8","-0.36"
"144","2031","新光鋼","41.85","+0.2","+0.48","26W18","04/30","52.2","-0.18","50.7","+0.42","48.5","-0.13"
"145","9941","裕融","87.7","+1.3","+1.5","26W18","04/30","67.4","+0.16","66.2","+0.08","65.6","+0.07"
"146","2357","華碩","784","-12","-1.51","26W18","04/30","68.1","-0.42","65.1","-0.61","61.9","-0.48"
"147","8096","擎亞","121","+3","+2.54","26W18","04/30","46.6","+0.51","43.7","-0.08","42.5","+1.2"
"148","00958B","永豐ESG銀行債15+","9.29","+0.03","+0.32","26W18","04/30","24.8","+0.82","24.2","+0.82","23.2","+0.3"
"149","9951","皇田","52.6","-0.3","-0.57","26W18","04/30","42","0","37.3","0","37.3","0"
"150","4919","新唐","172.5","+13.5","+8.49","26W18","04/30","67.3","-0.57","65.4","-0.64","64.3","-1.25"
"151","6657","華安","32.95","-2.05","-5.86","26W18","04/30","28.1","0","24.3","0","21","0"
"152","009812","野村日本東證","11.84","-0.03","-0.25","26W18","04/30","30.5","+1.52","28.7","+1.48","27.2","+2.17"
"153","6214","精誠","142","-1.5","-1.05","26W18","04/30","52.6","-0.29","48.7","-0.72","45.3","-0.02"
"154","4534","慶騰","30","-1.5","-4.76","26W18","04/30","28","-0.77","27.3","0","26.4","0"
"155","00684R","期元大美元指反1","15.1","0","0","26W18","04/30","76.9","+0.04","69.1","+0.04","49.5","+0.04"
"156","3022","威強電","86.2","+1.2","+1.41","26W18","04/30","54.5","-0.09","53.8","-0.03","51.7","-0.03"
"157","00783","富邦中証500","28.6","+0.29","+1.02","26W18","04/30","19.8","+0.06","19.8","+0.06","11.3","+0.38"
"158","8454","富邦媒","396","-43.5","-9.9","26W18","04/30","76.8","-0.21","75.7","-0.26","75","-0.57"
"159","6438","迅得","144","-2","-1.37","26W18","04/30","31.2","+0.26","30.4","+2.15","23.7","+1.28"
"160","00665L","富邦恒生國企正2","8.91","-0.13","-1.44","26W18","04/30","52.2","+0.22","46.9","-0.15","43.9","-0.15"
"161","6416","瑞祺電通","81.8","+0.1","+0.12","26W18","04/30","40.8","+0.03","37.8","-1.08","33.9","0"
"162","00970B","新光BBB投等債20+","9.42","+0.02","+0.21","26W18","04/30","56.8","+0.15","55.1","+0.14","53.4","+0.14"
"163","2481","強茂","137","+1.5","+1.11","26W18","04/30","55.3","-1.71","53.2","-1.13","51.3","-1.13"
"164","4155","訊映","15.35","-0.3","-1.92","26W18","04/30","37.3","0","33","0","30.5","0"
"165","1809","中釉","48.3","-2.4","-4.73","26W18","04/30","49","+0.01","47.3","0","46.7","0"
"166","9906","欣巴巴","43.7","-2.55","-5.51","26W18","04/30","74.9","+0.09","74.2","+0.09","71.3","+0.26"
"167","3162","精確","83.6","-1.9","-2.22","26W18","04/30","59.7","-3.48","56.8","-5.01","56.3","-4.31"
"168","4716","大立","16.5","+0.05","+0.3","26W18","04/30","33.4","+0.5","26","-0.95","23.1","0"
"169","00652","富邦印度","31.58","-0.15","-0.47","26W18","04/30","27.8","+0.19","23.8","+0.27","21.3","-1.01"
"170","8930","青鋼","27.6","0","0","26W18","04/30","60.8","+0.05","57.6","+0.05","55.3","+0.03"
"171","1303","南亞","96.9","+2.1","+2.22","26W18","04/30","83.7","+0.57","82.9","+0.57","82.3","+0.56"
"172","2385","群光","139","0","0","26W18","04/30","74.3","+0.12","71.6","-0.07","70.4","+0.03"
"173","2458","義隆","146","-0.5","-0.34","26W18","04/30","53.9","-0.93","52.5","-0.22","49.6","-1.42"
"174","3713","新晶投控","16","-0.15","-0.93","26W18","04/30","46.2","+0.02","45.3","+0.02","42.3","0"
"175","009811","統一美國50","12.57","-0.05","-0.4","26W18","04/30","18.8","-0.77","17.7","-0.81","15.1","-0.61"
"176","2492","華新科","417.5","+10","+2.45","26W18","04/30","58.1","-0.07","56.9","+0.13","55.5","-0.24"
"177","6170","統振","51.7","-0.3","-0.58","26W18","04/30","52.4","+0.18","51.7","+0.13","48.8","+1.09"
"178","3625","西勝","15.1","-0.05","-0.33","26W18","04/30","41.1","+0.04","37.4","+0.02","35.2","+0.02"
"179","2731","雄獅","152","-2.5","-1.62","26W18","04/30","42.9","-0.59","36.7","-1.3","33.9","-1.21"
"180","5481","新華","19.5","+0.05","+0.26","26W18","04/30","58.4","-0.8","54.5","+0.07","50.7","+0.07"
"181","00795B","中信美國公債20年","26.73","+0.04","+0.15","26W18","04/30","49.6","+0.75","48.8","+0.79","47.8","+0.79"
"182","1319","東陽","102","-5","-4.67","26W18","04/30","81","-0.1","79.9","+0.02","79.2","+0.31"
"183","3027","盛達","20.2","-0.2","-0.98","26W18","04/30","39.5","-0.51","35.7","0","34.3","0"
"184","1437","勤益控","29.15","+0.4","+1.39","26W18","04/30","75.1","-0.01","69.9","-0.03","65.2","-0.02"
"185","6112","邁達特","46.6","-1","-2.1","26W18","04/30","58.4","-0.12","57.4","-0.02","56.4","-0.02"
"186","5490","同亨","28.25","-0.35","-1.22","26W18","04/30","28.7","-0.02","27.3","-0.03","24.5","0"
"187","00926","凱基全球菁英55","24.45","-0.07","-0.29","26W18","04/30","37","+1.53","35.6","+0.8","35.6","+0.8"
"188","3543","州巧","31.35","-0.75","-2.34","26W18","04/30","44.6","-2.46","40.3","-1.84","35.5","-0.27"
"189","6598","ABC-KY","24.5","-0.4","-1.61","26W18","04/30","46.5","-0.02","43.6","-0.02","40","-0.02"
"190","6861","睿生光電","303.5","-13.5","-4.26","26W18","04/30","55.9","-0.11","50.9","-1.77","48.6","0"
"191","00897","富邦基因免疫生技","9.59","-0.03","-0.31","26W18","04/30","13.1","-1.29","9.09","-1.85","7.87","-1.34"
"192","8101","華冠","15.05","-1.55","-9.34","26W18","04/30","80.6","-0.04","79.4","0","79.4","0"
"193","8131","福懋科","68.7","+1.8","+2.69","26W18","04/30","71.5","+0.5","70.3","+0.34","69.5","+0.1"
"194","1326","台化","46.25","+0.05","+0.11","26W18","04/30","81.2","+0.42","80.5","+0.43","79.7","+0.4"
"195","2382","廣達","370","-10.5","-2.76","26W18","04/30","84.6","-0.1","83.3","-0.16","82","-0.2"
"196","5902","德記","36","0","0","26W18","04/30","82.4","+0.06","81.8","+0.06","78.9","+0.06"
"197","00937B","群益ESG投等債20+","14.89","+0.02","+0.13","26W18","04/30","53.6","+0.22","51.1","+0.2","49.3","+0.24"
"198","2065","世豐","34.6","+0.7","+2.06","26W18","04/30","46","-0.15","43.8","-0.15","40.7","-0.15"
"199","2444","兆勁","12.8","-0.15","-1.16","26W18","04/30","21.6","+0.02","19.6","+0.81","16.8","0"
"200","5234","達興材料","381","-3","-0.78","26W18","04/30","61.9","-0.05","57.9","-0.83","56","-0.02"
"201","3363","上詮","728","-19","-2.54","26W18","04/30","41.9","-1.44","37.4","-1.53","36.6","+0.85"
"202","4931","新盛力","234","-18","-7.14","26W18","04/30","22.4","+0.6","17","-1.46","10.1","-1.31"
"203","00995A","主動中信台灣卓越","16.95","-0.08","-0.47","26W18","04/30","11.9","+0.55","11.1","+0.56","9.25","+0.59"
"204","6182","合晶","80.9","+2.4","+3.06","26W18","04/30","21","-1.56","19.9","-1.9","19.1","-1.36"
"205","6890","來億-KY","284","+4","+1.43","26W18","04/30","88.6","-0.04","87.7","-0.02","87.3","-0.02"
"206","3049","精金","13.6","-0.2","-1.45","26W18","04/30","45.6","-0.38","44.3","-0.21","43.5","-0.2"
"207","3508","位速","18.6","-0.15","-0.8","26W18","04/30","37.5","+0.09","35.5","+0.09","32.9","+0.09"
"208","2323","中環","10.85","-0.05","-0.46","26W18","04/30","41","-0.08","39.2","-0.03","37.5","-0.2"
"209","2409","友達","23.15","+0.2","+0.87","26W18","04/30","47.5","-1.13","46","-1.22","44.8","-1.35"
"210","5315","光聯","22.05","-0.1","-0.45","26W18","04/30","31.3","-1.03","27.3","-1.75","24.1","-0.21"
"211","3311","閎暉","37","-0.35","-0.94","26W18","04/30","53.1","+0.04","50.9","0","50","+0.03"
"212","00981B","第一金優選非投債","9.17","+0.02","+0.22","26W18","04/30","43.1","-0.38","39","-0.28","35","-0.46"
"213","00858","永豐美國500大","35.05","-0.14","-0.4","26W18","04/30","14.3","-0.38","14.3","+0.15","13.6","+0.77"
"214","8444","綠河-KY","4.9","-0.07","-1.41","26W18","04/30","77.1","0","75.2","0","74.5","0"
"215","2354","鴻準","56.2","-0.1","-0.18","26W18","04/30","45.7","-0.42","44.8","-0.37","43.8","-0.48"
"216","00939","統一台灣高息動能","20.72","+0.01","+0.05","26W18","04/30","7.08","-0.82","6.64","-0.83","5.79","-0.91"
"217","5340","建榮","85.8","+0.1","+0.12","26W18","04/30","60","+0.46","57.1","-0.01","55.7","-0.01"
"218","5604","中連","30.8","-0.1","-0.32","26W18","04/30","61.9","+0.01","57.9","+0.01","52.9","0"
"219","00945B","凱基美國非投等債","14.48","+0.04","+0.28","26W18","04/30","34.5","-0.1","32.6","+0.06","31.1","-0.05"
"220","00730","富邦臺灣優質高息","28.2","-0.29","-1.02","26W18","04/30","15.9","-0.16","15.1","-0.98","15.1","+0.26"
"221","5464","霖宏","69.9","+2.4","+3.56","26W18","04/30","59.8","-0.01","58.7","-0.01","52.1","-0.01"
"222","5009","榮剛","35.35","-0.1","-0.28","26W18","04/30","45.8","+0.02","44.8","0","43.8","+0.01"
"223","3466","德晉","31.35","-1.6","-4.86","26W18","04/30","43.6","+0.2","37","+0.06","33.5","+0.07"
"224","1432","大魯閣","17.2","-0.1","-0.58","26W18","04/30","53.9","-0.02","53.9","-0.02","53","-0.02"
"225","2887","台新新光金","28.75","-0.15","-0.52","26W18","04/30","71.2","+0.05","69.8","+0.03","68.8","+0.02"
"226","2108","南帝","29.95","+1.7","+6.02","26W18","04/30","68","-0.59","66.5","-0.05","64.5","-0.22"
"227","5521","工信","10.25","-1","-8.89","26W18","04/30","58.8","-0.64","56.8","-0.33","55.7","+0.37"
