排名,代號,名稱,市 場,成交,漲跌 價,漲跌 幅,成交 張數,法人 買賣 日期,外資 買賣超 張數,投信 買賣超 張數,自營 買賣超 張數,合計 買賣超 張數,外資 持有 (千張),外資 持股 (%),法人 買賣超 註記
237,6612,奈米醫材,櫃,70.8,-1.4,-1.94,46,06/26,-12,0,0,-12,12.3,26.0,－・・
238,7823,奧義賽博-KY創,市,79.0,-1.5,-1.86,22,06/26,-4,0,-1,-5,8.68,25.9,－・－
239,2892,第一金,市,32.65,-0.2,-0.61,40646,06/26,-16829,20870,581,4622,3716.0,25.8,－＋＋
240,8932,智通*,櫃,111.0,-3.5,-3.06,20428,06/26,-1145,0,-100,-1244,92.0,25.7,－・－
241,5481,新華,櫃,20.2,-1.5,-6.91,69,06/26,1,0,0,1,18.3,25.7,＋・・
242,6446,藥華藥,市,1155.0,-40.0,-3.35,2827,06/26,74,116,-17,172,96.8,25.4,＋＋－
243,6147,頎邦,櫃,216.5,-24.0,-9.98,37647,06/26,2525,-1789,-1575,-839,188.0,25.2,＋－－
244,6134,萬旭,櫃,32.85,-2.35,-6.68,922,06/26,-352,0,7,-345,20.6,25.2,－・＋
245,5351,鈺創,櫃,87.3,-6.2,-6.63,19428,06/26,-2876,10,5,-2860,82.4,25.1,－＋＋
246,6620,漢達,櫃,93.7,-5.1,-5.16,699,06/26,86,0,-8,78,42.6,25.1,＋・－
247,3324,雙鴻,櫃,970.0,-40.0,-3.96,2816,06/26,-451,0,-313,-764,23.3,25.1,－＋－
248,8423,保綠-KY,櫃,17.6,-0.1,-0.56,12,06/26,0,0,0,0,10.4,24.9,・・・
249,2883,凱基金,市,29.9,-0.6,-1.97,71860,06/26,-1535,-1017,1355,-1198,4621.0,24.9,－－＋
250,6823,濾能,櫃,69.0,-0.6,-0.86,80,06/26,5,0,0,5,7.57,24.8,＋・・
251,2059,川湖,市,6990.0,-325.0,-4.44,536,06/26,22,0,6,28,23.6,24.7,＋－＋
252,6192,巨路,市,119.0,-3.5,-2.86,299,06/26,-69,0,0,-69,23.6,24.6,－・－
253,2458,義隆,市,172.0,-8.0,-4.44,10850,06/26,116,642,-135,623,74.6,24.5,＋＋－
254,1714,和桐,市,18.55,0.05,0.27,7422,06/26,1711,3,338,2052,243.0,24.5,＋＋＋
255,4755,三福化,市,133.0,-5.5,-3.97,590,06/26,-132,0,-4,-136,24.6,24.4,－・－
256,4554,橙的,櫃,31.3,-0.75,-2.34,111,06/26,-36,0,0,-36,6.4,24.3,－・＋
257,5251,天鉞電,櫃,31.25,-0.4,-1.26,1098,06/26,-72,0,0,-72,8.15,24.2,－・＋
258,4581,光隆精密-KY,市,50.0,0.05,0.1,16,06/26,-3,0,0,-3,8.15,24.0,－・・
259,3680,家登,櫃,486.5,-18.5,-3.66,1895,06/26,255,-457,-72,-275,22.9,23.9,＋－－
260,7547,碩網,櫃,55.9,-2.5,-4.28,60,06/26,-20,0,0,-20,8.03,23.9,－・・
261,4912,聯德控股-KY,市,83.7,-3.3,-3.79,507,06/26,-131,0,4,-127,16.0,23.8,－・＋
262,2254,巨鎧精密-創,市,59.3,0.6,1.02,2,06/26,-2,0,0,-2,15.2,23.8,－・・
263,2477,美隆電,市,21.35,-0.45,-2.06,196,06/26,-22,0,-1,-23,37.7,23.8,－・－
264,7749,意騰-KY,市,417.0,-46.0,-9.94,797,06/26,-248,-85,-6,-339,11.0,23.7,－－－
265,2006,東和鋼鐵,市,69.8,-0.2,-0.29,4753,06/26,1493,-1031,-5,457,173.0,23.6,＋－－
266,2726,雅茗-KY,櫃,9.56,-0.12,-1.24,97,06/26,6,0,0,6,8.96,23.6,＋・・
267,5483,中美晶,櫃,164.0,-10.5,-6.02,12491,06/26,-1631,52,-434,-2012,151.0,23.6,－＋－
268,6598,ABC-KY,市,22.8,-0.1,-0.44,176,06/26,-70,0,-6,-76,24.2,23.5,－・－
269,7828,創新服務,櫃,2070.0,-230.0,-10.0,133,06/26,2,0,-2,0,9.53,23.5,＋・－
270,2492,華新科,市,540.0,-59.0,-9.85,3368,06/26,504,4,-668,-160,114.0,23.5,＋＋－
271,5289,宜鼎,櫃,1605.0,-135.0,-7.76,3606,06/26,-512,-266,-24,-801,22.6,23.4,－－－
272,3189,景碩,市,797.0,-15.0,-1.85,62632,06/26,2573,3419,-591,5400,123.0,23.4,＋＋－
273,8086,宏捷科,櫃,141.0,-9.5,-6.31,4712,06/26,-1740,0,-153,-1893,46.0,23.4,－・－
