代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,外資 連續 買賣 日數,外資 連續 買賣 張數,外資 連續 買賣 佔 成交 (%),外資 連續 買賣 佔發 行量 (%),投信 連續 買賣 日數,投信 連續 買賣 張數,投信 連續 買賣 佔 成交 (%),投信 連續 買賣 佔發 行量 (%),自營 商 連續 買賣 日數,自營 商 連續 買賣 張數,自營 商 連續 買賣 佔 成交 (%),自營 商 連續 買賣 佔發 行量 (%),三大 法人 連續 買賣 日數,三大 法人 連續 買賣 張數,三大 法人 連續 買賣 佔 成交 (%),三大 法人 連續 買賣 佔發 行量 (%)
2444,兆勁,12.75,0.1,0.79,05/25,2,96,4.88,0.09,0,0,0.0,0.0,-1,-7,-0.56,-0.01,3,97,4.01,0.1
2484,希華,54.2,4.9,9.94,05/25,2,3672,4.85,2.3,0,0,0.0,0.0,-1,-37,-0.09,-0.02,2,3750,4.95,2.35
2485,兆赫,76.7,3.7,5.07,05/25,2,8203,7.64,2.58,0,0,0.0,0.0,2,1576,1.47,0.5,2,9774,9.11,3.08
2496,卓越,64.5,0.0,0.0,05/25,2,6,19.0,0.03,0,0,0.0,0.0,0,0,0.0,0.0,2,6,19.0,0.03
2605,新興,31.3,0.0,0.0,05/25,2,102,0.98,0.02,0,0,0.0,0.0,-4,-1232,-6.27,-0.21,1,60,1.0,0.01
2613,中櫃,21.85,-0.1,-0.46,05/25,2,30,3.4,0.02,0,0,0.0,0.0,0,0,0.0,0.0,2,30,3.4,0.02
2643,捷迅,66.8,-0.1,-0.15,05/25,2,6,8.85,0.02,0,0,0.0,0.0,0,0,0.0,0.0,2,6,8.85,0.02
2754,亞洲藏壽司,72.6,-0.1,-0.14,05/25,2,21,7.01,0.04,0,0,0.0,0.0,0,0,0.0,0.0,2,21,7.01,0.04
3004,豐達科,140.5,10.0,7.66,05/25,2,448,17.1,0.7,2,198,7.56,0.31,3,6,0.2,0.01,2,648,24.8,1.01
3015,全漢,52.0,0.5,0.97,05/25,2,203,16.8,0.11,5,600,22.2,0.32,2,5,0.41,0.0,6,585,18.3,0.31
3019,亞光,156.5,3.0,1.95,05/25,2,6439,27.1,2.31,0,0,0.0,0.0,-1,-240,-2.19,-0.09,2,6484,27.3,2.32
3023,信邦,314.0,-0.5,-0.16,05/25,2,827,20.5,0.34,1,12,0.72,0.0,1,36,2.14,0.01,2,827,20.5,0.34
