排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 賣出 佔 成交,2日 賣出 佔 成交,3日 賣出 佔 成交,5日 賣出 佔 成交,10日 賣出 佔 成交,1個月 賣出 佔 成交,3個月 賣出 佔 成交,半年 賣出 佔 成交,1年 賣出 佔 成交,3年 賣出 佔 成交,10年 賣出 佔 成交,今年 賣出 佔 成交
264,1513,中興電,175.5,0.0,0.0,06/29,0.44,0.23,0.15,0.19,0.28,0.12,0.54,0.7,0.84,0.79,0.75,0.69
265,00992A,主動群益科技創新,17.8,-0.06,-0.34,06/29,0.0,0.5,0.35,0.19,0.08,0.04,0.09,0.06,,,,0.06
266,7750,新代,2065.0,60.0,2.99,06/29,0.0,0.0,0.35,0.19,0.08,2.64,0.8,0.49,,,,0.49
267,2884,玉山金,34.5,-0.05,-0.14,06/29,0.32,0.17,0.15,0.18,1.45,1.56,9.21,7.12,4.62,4.75,1.98,7.24
268,6409,旭隼,1020.0,43.0,4.4,06/29,0.05,0.08,0.1,0.18,0.29,0.16,0.3,0.4,0.37,0.55,0.67,0.4
269,2890,永豐金,39.5,0.35,0.89,06/29,0.3,0.16,0.26,0.16,0.37,0.3,4.6,4.17,3.15,7.99,3.63,4.14
270,5425,台半,110.0,-4.5,-3.93,06/29,5.7,1.7,0.6,0.15,0.1,0.19,0.08,0.37,0.34,1.34,2.42,0.37
271,3033,威健,48.8,-0.2,-0.41,06/29,0.27,0.2,0.17,0.15,0.13,0.11,0.1,0.14,1.1,0.95,0.52,0.14
272,2419,仲琦,27.45,0.55,2.04,06/29,0.0,0.0,0.05,0.14,0.07,0.04,0.01,0.01,0.01,0.01,0.37,0.01
273,1419,新紡,65.0,-0.5,-0.76,06/29,0.41,0.23,0.2,0.13,0.06,0.12,0.07,0.03,0.07,0.04,0.03,0.03
274,6691,洋基工程,795.0,2.0,0.25,06/29,0.0,0.12,0.09,0.13,0.1,0.07,2.82,2.55,2.78,5.69,,2.5
275,2633,台灣高鐵,26.5,0.45,1.73,06/29,0.37,0.16,0.22,0.13,1.67,1.16,0.5,0.47,0.62,2.05,,0.46
276,4720,德淵,24.6,2.2,9.82,06/29,0.04,0.1,0.11,0.13,0.11,0.04,0.03,0.04,0.05,0.09,0.05,0.04
