"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日賣出佔成交","2日賣出佔成交","3日賣出佔成交","5日賣出佔成交","10日賣出佔成交","1個月賣出佔成交","3個月賣出佔成交","半年賣出佔成交","1年賣出佔成交","3年賣出佔成交","10年賣出佔成交","今年賣出佔成交"
"185","2337","旺宏","153","-11.5","-6.99","05/08","0.86","2.48","1.53","1.07","0.76","1.72","1.31","0.72","0.58","1.31","1.38","0.89"
"186","6669","緯穎","5200","+320","+6.56","05/08","0.05","0.17","0.63","1.07","0.58","0.54","2.62","3.41","3.52","3.12","","4.05"
"187","6257","矽格","211","-2","-0.94","05/08","1.27","0.52","0.42","1.06","2.43","3.5","2.5","4.05","5.03","4.29","2.19","2.72"
"188","5483","中美晶","149","-3","-1.97","05/08","0.03","1.59","1.02","1.04","2.11","3.69","2.54","4.04","5.07","6.5","2.62","3.15"
"189","2308","台達電","2200","-80","-3.51","05/08","1.91","0.97","0.9","1.02","1.02","1.46","1.14","1.42","1.71","2.22","1.8","1.22"
"190","6412","群電","86","-1.1","-1.26","05/08","0","0","0","0.99","5.95","4.79","2.22","8.37","6.49","6.05","3.45","6.71"
"191","3105","穩懋","492.5","-7.5","-1.5","05/08","0","0.84","1.12","0.96","1.94","1.24","0.78","0.47","0.49","0.78","1.55","0.55"
"192","5274","信驊","16955","-935","-5.23","05/08","1.09","0.48","0.41","0.91","3.31","2.91","3.19","2.08","3.36","4.09","4.6","2.43"
"193","2454","聯發科","3630","+210","+6.14","05/08","0.4","1","0.63","0.88","0.64","1.34","2.15","2.12","4.98","4","2.08","2.31"
"194","2062","橋椿","20.3","-0.4","-1.93","05/08","1.72","2.31","1.56","0.86","0.58","0.41","1.03","1.54","1.63","0.24","0.6","0.65"
"195","1513","中興電","158","+1.5","+0.96","05/08","0.9","1.12","1.23","0.86","1.4","2.43","1.41","1.15","0.98","0.83","0.76","1.12"
"196","2449","京元電子","311","-28","-8.26","05/08","3.98","2.27","1.39","0.85","4.29","5.2","4.39","4.58","3.82","3.93","3.13","4.41"
