排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 週別,更新 日期,持股 超過 600張 (萬張),超過 600張 增減 (張),超過 600張 增減 (%),持股 超過 800張 (萬張),超過 800張 增減 (張),超過 800張 增減 (%),持股 超過 1千張 (萬張),超過 1千張 增減 (張),超過 1千張 增減 (%)
633,5607,遠雄港,52.4,-0.9,-1.69,26W23,06/05,26.9,3080.0,1.16,26.3,518.0,0.2,25.4,-482.0,-0.19
634,00710B,復華彭博非投等債,18.97,0.05,0.26,26W23,06/05,14.9,293.0,0.2,14.9,293.0,0.2,14.8,187.0,0.13
635,4744,皇將,36.5,1.45,4.14,26W23,06/05,2.73,641.0,2.41,2.31,45.0,0.19,1.95,8.0,0.04
636,1216,統一,72.9,-0.9,-1.22,26W23,06/05,496.0,6128.0,0.12,489.0,9504.0,0.19,483.0,13960.0,0.29
637,8070,長華*,59.3,-3.4,-5.42,26W23,06/05,55.2,1089.0,0.2,54.3,1050.0,0.19,53.6,1024.0,0.19
638,8436,大江,118.5,-4.0,-3.27,26W23,06/05,4.0,25.0,0.06,3.58,69.0,0.19,3.48,1025.0,3.04
639,3587,閎康,286.0,-17.5,-5.77,26W23,06/05,2.27,-1374.0,-5.7,1.93,37.0,0.19,1.56,0.0,0.0
640,2107,厚生,25.5,-0.5,-1.92,26W23,06/05,17.8,325.0,0.18,17.3,330.0,0.19,17.0,272.0,0.16
641,6576,逸達,77.9,0.7,0.91,26W23,06/05,10.0,192.0,0.19,9.58,182.0,0.19,9.29,182.0,0.2
642,2908,特力,21.4,-0.2,-0.93,26W23,06/05,46.4,1593.0,0.34,46.2,875.0,0.19,45.8,1893.0,0.42
643,2887H,台新新光庚特二,40.7,-0.2,-0.49,26W23,06/05,14.7,265.0,0.18,14.2,265.0,0.19,13.9,1264.0,0.92
644,5439,高技,353.0,-11.5,-3.16,26W23,06/05,4.13,-613.0,-1.46,3.91,72.6,0.19,3.48,72.6,0.21
645,6423,億而得,84.1,-6.1,-6.76,26W23,06/05,1.19,33.0,0.28,0.77,14.0,0.18,0.68,14.0,0.21
646,9912,偉聯,12.55,0.0,0.0,26W23,06/05,3.22,56.0,0.17,3.08,56.0,0.18,3.08,56.0,0.18
647,3162,精確,82.0,-1.2,-1.44,26W23,06/05,8.92,237.0,0.27,8.65,156.0,0.18,8.48,1930.0,2.33
648,1587,吉茂,28.5,-1.8,-5.94,26W23,06/05,3.26,-608.0,-1.83,3.12,56.0,0.18,3.03,0.0,0.0
649,1233,天仁,27.4,-0.3,-1.08,26W23,06/05,6.35,111.0,0.18,6.21,111.0,0.18,6.12,111.0,0.18
650,00768B,復華20年美債,49.61,-0.2,-0.4,26W23,06/05,75.1,1337.0,0.18,74.9,1337.0,0.18,74.7,532.0,0.07
651,9933,中鼎,41.8,-1.65,-3.8,26W23,06/05,51.0,2152.0,0.42,49.3,868.0,0.18,48.1,-1925.0,-0.4
652,6965,中傑-KY,81.7,0.0,0.0,26W23,06/05,14.3,249.0,0.17,14.2,249.0,0.18,14.2,249.0,0.18
653,1472,三洋實業,89.1,-1.0,-1.11,26W23,06/05,3.89,65.0,0.17,3.74,65.0,0.17,3.64,65.0,0.18
654,3141,晶宏,69.8,-4.5,-6.06,26W23,06/05,0.8,-599.0,-6.95,0.59,10.0,0.17,0.39,0.0,0.0
655,4722,國精化,249.5,-27.5,-9.93,26W23,06/05,5.52,-33.8,-0.06,4.95,84.2,0.17,4.48,-910.0,-1.99
656,2911,麗嬰房,8.51,-0.29,-3.3,26W23,06/05,4.42,74.0,0.17,4.35,74.0,0.17,4.27,74.0,0.17
657,6508,惠光,23.45,-0.6,-2.49,26W23,06/05,5.23,111.0,0.21,5.15,86.0,0.17,5.15,86.0,0.17
658,8935,邦泰,23.8,0.05,0.21,26W23,06/05,5.46,88.0,0.16,5.32,88.0,0.17,4.88,86.0,0.18
659,8227,巨有科技,190.0,-13.0,-6.4,26W23,06/05,1.09,-684.0,-5.88,1.09,18.0,0.16,0.72,0.0,0.0
660,7768,頌勝科技,399.0,-7.5,-1.85,26W23,06/05,4.35,-524.0,-1.19,4.15,68.0,0.16,3.86,68.0,0.18
661,6405,悅城,72.0,-4.0,-5.26,26W23,06/05,3.14,11.1,0.04,2.94,48.0,0.16,2.59,48.0,0.19
662,4183,福永生技,13.75,-0.05,-0.36,26W23,06/05,1.24,18.0,0.15,1.1,18.0,0.16,1.02,18.0,0.18
663,6464,台數科,78.1,0.1,0.13,26W23,06/05,10.6,179.0,0.17,10.2,166.0,0.16,10.0,166.0,0.17
664,6461,益得,15.8,-0.4,-2.47,26W23,06/05,10.5,-429.0,-0.41,9.96,162.0,0.16,9.61,162.0,0.17
665,3017,奇鋐,2570.0,-30.0,-1.15,26W23,06/05,23.7,830.0,0.35,22.0,353.0,0.16,20.4,-3310.0,-1.59
666,9935,慶豐富,19.0,-0.3,-1.55,26W23,06/05,10.1,-546.0,-0.54,9.34,148.0,0.16,8.91,148.0,0.17
667,6877,鏵友益,142.0,-10.0,-6.58,26W23,06/05,3.28,42.9,0.13,2.86,44.9,0.16,2.67,-937.0,-3.39
668,6609,瀧澤科,44.1,-1.8,-3.92,26W23,06/05,4.04,-16.6,-0.04,3.97,62.0,0.16,3.97,1051.0,2.72
669,2528,皇普,21.65,-1.7,-7.28,26W23,06/05,35.4,487.0,0.14,34.9,544.0,0.16,34.5,2354.0,0.69
670,1416,廣豐,11.65,-0.05,-0.43,26W23,06/05,9.64,120.0,0.12,9.31,144.0,0.15,9.13,1109.0,1.23
671,6283,淳安,24.3,-1.05,-4.14,26W23,06/05,8.88,738.0,0.84,8.74,135.0,0.15,8.56,117.0,0.14
672,6598,ABC-KY,24.5,0.0,0.0,26W23,06/05,4.75,68.6,0.14,4.47,68.6,0.15,4.11,1113.0,2.78
673,2704,國賓,41.95,-0.65,-1.53,26W23,06/05,31.7,479.0,0.15,31.2,479.0,0.15,30.4,1366.0,0.45
674,6919,康霈*,91.5,-4.5,-4.69,26W23,06/05,111.0,1260.0,0.11,108.0,1645.0,0.15,105.0,2441.0,0.23
675,6415,矽力*-KY,524.0,-58.0,-9.97,26W23,06/05,28.1,176.0,0.06,26.2,400.0,0.15,25.3,944.0,0.37
676,6530,創威,103.0,-6.5,-5.94,26W23,06/05,0.53,6.0,0.11,0.39,6.0,0.15,0.3,0.0,0.0
677,00764B,群益25年美債,27.76,-0.11,-0.39,26W23,06/05,146.0,2221.0,0.15,146.0,2221.0,0.15,146.0,2260.0,0.16
678,3515,華擎,243.5,-6.0,-2.4,26W23,06/05,8.36,873.0,1.05,8.15,122.0,0.15,7.87,1038.0,1.34
679,3033,威健,47.9,-3.9,-7.53,26W23,06/05,20.0,1653.0,0.83,18.9,282.0,0.15,17.9,-1298.0,-0.72
680,1229,聯華,40.95,-1.05,-2.5,26W23,06/05,115.0,3668.0,0.32,113.0,1682.0,0.15,112.0,1867.0,0.17
681,6412,群電,94.0,-3.9,-3.98,26W23,06/05,32.7,-957.0,-0.29,32.2,465.0,0.14,31.6,-3013.0,-0.94
682,6949,沛爾生醫-創,677.0,19.0,2.89,26W23,06/05,4.56,-13.6,-0.03,4.37,63.0,0.14,4.19,70.0,0.17
683,00862B,中信投資級公司債,31.9,-0.15,-0.47,26W23,06/05,82.3,1172.0,0.14,82.3,1172.0,0.14,82.3,1172.0,0.14
684,8409,商之器,19.1,-0.25,-1.29,26W23,06/05,1.4,20.0,0.14,1.4,20.0,0.14,1.23,16.0,0.13
685,1434,福懋,16.15,-0.45,-2.71,26W23,06/05,118.0,4480.0,0.38,116.0,1652.0,0.14,115.0,5182.0,0.45
686,2356,英業達,69.2,-7.6,-9.9,26W23,06/05,259.0,-3777.0,-0.15,256.0,3643.0,0.14,253.0,-612.0,-0.02
687,4564,元翎,15.6,-0.4,-2.5,26W23,06/05,9.12,180.0,0.2,8.63,121.0,0.14,8.37,121.0,0.15
688,6661,威健生技,16.3,-0.05,-0.31,26W23,06/05,1.44,20.0,0.14,1.44,20.0,0.14,1.44,20.0,0.14
689,4130,健亞,25.85,-0.45,-1.71,26W23,06/05,8.69,215.0,0.25,8.62,119.0,0.14,8.54,86.0,0.1
690,6269,台郡,64.5,-3.6,-5.29,26W23,06/05,9.99,3046.0,3.14,9.16,125.0,0.14,8.8,227.0,0.26
691,5278,尚凡*,23.2,-0.1,-0.43,26W23,06/05,24.0,292.0,0.12,23.6,322.0,0.14,23.2,322.0,0.14
692,6590,普鴻,65.2,-1.3,-1.95,26W23,06/05,1.29,16.0,0.12,1.02,14.0,0.14,0.75,14.0,0.19
693,00724B,群益投資級金融債,33.64,-0.14,-0.41,26W23,06/05,301.0,4046.0,0.13,301.0,4102.0,0.14,301.0,4102.0,0.14
694,3694,海華,62.0,-5.0,-7.46,26W23,06/05,9.05,-615.0,-0.68,8.86,121.0,0.14,8.86,1066.0,1.22
695,2231,為升,95.1,-5.4,-5.37,26W23,06/05,8.62,116.0,0.13,8.54,116.0,0.14,8.54,116.0,0.14
696,00905,FT臺灣Smart,26.23,-0.95,-3.5,26W23,06/05,2.61,34.3,0.13,2.55,34.3,0.13,2.55,990.0,4.05
697,4129,聯合,89.7,-0.6,-0.66,26W23,06/05,4.82,-660.0,-1.35,4.66,61.7,0.13,4.48,64.7,0.14
698,1103,嘉泥,13.2,-0.4,-2.94,26W23,06/05,61.3,42.3,0.01,60.3,791.0,0.13,59.6,-86.7,-0.01
699,3095,及成,40.3,-1.8,-4.28,26W23,06/05,0.23,3.0,0.13,0.23,3.0,0.13,0.14,0.0,0.0
700,2606,裕民,68.2,-2.6,-3.67,26W23,06/05,64.0,-637.0,-0.1,63.5,822.0,0.13,62.7,929.0,0.15
701,00761B,國泰A級公司債,34.33,-0.16,-0.46,26W23,06/05,270.0,3475.0,0.13,270.0,3475.0,0.13,270.0,3475.0,0.13
702,6449,鈺邦,337.0,-34.0,-9.16,26W23,06/05,6.35,47.0,0.07,6.29,80.0,0.13,6.1,-13.0,-0.02
703,3164,景岳,16.3,-0.2,-1.21,26W23,06/05,4.3,-558.0,-1.28,4.02,51.0,0.13,3.43,63.0,0.18
704,7799,禾榮科,377.5,-12.5,-3.21,26W23,06/05,12.0,149.0,0.12,11.8,150.0,0.13,11.4,1150.0,1.02
705,6213,聯茂,243.5,-11.0,-4.32,26W23,06/05,20.0,-7.92,0.0,19.1,240.0,0.13,18.7,2127.0,1.15
706,4538,大詠城,18.15,-0.35,-1.89,26W23,06/05,4.57,54.0,0.12,4.35,54.0,0.12,4.25,54.0,0.13
707,5234,達興材料,389.0,-14.5,-3.59,26W23,06/05,6.25,-600.0,-0.95,6.05,75.0,0.12,6.05,1031.0,1.73
708,8083,瑞穎,171.0,-0.5,-0.29,26W23,06/05,1.66,11.0,0.07,1.53,18.0,0.12,1.53,18.0,0.12
709,1218,泰山,19.4,0.05,0.26,26W23,06/05,33.5,1060.0,0.32,32.5,375.0,0.12,31.9,222.0,0.07
710,6741,91APP*-KY,63.0,-1.4,-2.17,26W23,06/05,8.04,89.2,0.11,7.81,89.2,0.11,7.01,-27.0,-0.04
711,1474,弘裕,10.3,-0.25,-2.37,26W23,06/05,7.32,78.0,0.11,6.85,78.0,0.11,6.85,78.0,0.11
712,2022,聚亨,7.85,-0.17,-2.12,26W23,06/05,12.9,90.9,0.07,12.4,139.0,0.11,12.3,139.0,0.11
713,9911,櫻花,84.0,-0.6,-0.71,26W23,06/05,14.7,-615.0,-0.42,14.4,159.0,0.11,13.7,-1622.0,-1.17
714,9910,豐泰,78.5,1.6,2.08,26W23,06/05,87.7,951.0,0.11,86.6,950.0,0.11,85.8,701.0,0.08
715,3622,洋華,56.1,-3.0,-5.08,26W23,06/05,8.76,694.0,0.8,8.5,93.0,0.11,8.22,1013.0,1.25
716,4178,永笙-KY,18.35,-0.5,-2.65,26W23,06/05,16.3,-442.0,-0.27,15.7,172.0,0.11,15.6,172.0,0.11
717,7767,仁大資訊,41.55,-0.95,-2.24,26W23,06/05,1.98,20.0,0.1,1.84,20.0,0.11,1.65,20.0,0.12
718,5531,鄉林,7.83,-0.22,-2.73,26W23,06/05,82.9,1528.0,0.18,82.2,890.0,0.11,81.6,43.8,0.01
719,1626,艾美特-KY,10.05,0.0,0.0,26W23,06/05,9.95,93.0,0.09,9.46,102.0,0.11,9.0,-875.0,-0.96
720,2417,圓剛,46.05,-2.75,-5.64,26W23,06/05,6.48,-43.8,-0.07,6.35,65.9,0.1,6.09,66.0,0.11
721,00739,元大MSCI A股,27.87,-1.04,-3.6,26W23,06/05,0.88,-48.7,-0.55,0.68,7.0,0.1,0.49,7.0,0.14
722,00773B,中信優先金融債,35.73,-0.12,-0.33,26W23,06/05,244.0,1220.0,0.05,243.0,2508.0,0.1,243.0,3354.0,0.14
723,1313,聯成,10.9,-0.35,-3.11,26W23,06/05,86.4,2845.0,0.33,84.3,866.0,0.1,83.1,-1003.0,-0.12
724,6534,正瀚-創,88.7,-2.0,-2.21,26W23,06/05,8.18,80.8,0.1,7.9,80.8,0.1,7.82,136.0,0.17
725,6645,金萬林-創,14.2,1.25,9.65,26W23,06/05,2.28,80.0,0.35,1.87,19.0,0.1,1.59,0.0,0.0
726,1473,台南,21.0,-0.3,-1.41,26W23,06/05,10.3,-526.0,-0.51,10.2,103.0,0.1,10.1,103.0,0.1
727,5523,豐謙,30.45,0.0,0.0,26W23,06/05,14.0,138.0,0.1,13.9,138.0,0.1,13.7,138.0,0.1
728,6742,澤米,54.5,-3.5,-6.03,26W23,06/05,2.16,10.0,0.05,2.02,20.0,0.1,1.85,0.0,0.0
729,2538,基泰,10.0,-0.1,-0.99,26W23,06/05,32.1,714.0,0.22,30.6,304.0,0.1,29.8,536.0,0.18
730,3390,旭軟,27.3,0.5,1.87,26W23,06/05,2.08,79.0,0.38,1.72,17.0,0.1,1.55,0.0,0.0
731,4706,大恭,31.75,-0.2,-0.63,26W23,06/05,6.24,61.0,0.1,6.17,61.0,0.1,6.08,61.0,0.1
732,9946,三發地產,16.85,-0.3,-1.75,26W23,06/05,25.8,912.0,0.36,25.6,252.0,0.1,25.2,232.0,0.09
733,00746B,富邦A級公司債,35.39,-0.17,-0.48,26W23,06/05,249.0,2420.0,0.1,249.0,2420.0,0.1,249.0,2420.0,0.1
734,7786,東方風能,120.0,-5.0,-4.0,26W23,06/05,13.9,-501.0,-0.36,13.6,129.0,0.09,13.5,129.0,0.1
735,2540,愛山林,51.2,-1.8,-3.4,26W23,06/05,85.4,-579.0,-0.07,84.9,801.0,0.09,83.9,-1028.0,-0.12
736,6512,啟發電,19.85,0.0,0.0,26W23,06/05,0.7,6.0,0.09,0.64,6.0,0.09,0.45,10.0,0.23
737,2301,光寶科,218.5,-11.5,-5.0,26W23,06/05,182.0,-2470.0,-0.14,178.0,1667.0,0.09,174.0,-5652.0,-0.32
738,4502,健信,15.9,-0.05,-0.31,26W23,06/05,3.81,33.0,0.09,3.6,33.0,0.09,3.34,33.0,0.1
739,00666R,富邦恒生國企反1,9.3,0.15,1.64,26W23,06/05,1.21,11.0,0.09,1.21,11.0,0.09,1.21,11.0,0.09
740,3311,閎暉,40.5,0.75,1.89,26W23,06/05,5.25,52.9,0.1,5.09,45.9,0.09,5.09,952.0,1.91
741,3010,華立,131.5,-7.5,-5.4,26W23,06/05,15.9,-407.0,-0.25,14.5,130.0,0.09,14.1,130.0,0.09
742,3484,崧騰,43.85,-0.8,-1.79,26W23,06/05,1.95,763.0,4.07,1.68,15.0,0.09,1.42,15.0,0.11
743,2838,聯邦銀,20.75,-0.8,-3.71,26W23,06/05,390.0,3996.0,0.1,389.0,3445.0,0.09,387.0,1617.0,0.04
744,8941,關中,44.3,0.95,2.19,26W23,06/05,2.18,18.0,0.08,2.04,18.0,0.09,1.67,8.0,0.05
745,5321,美而快,41.0,-4.55,-9.99,26W23,06/05,2.78,23.0,0.08,2.63,23.0,0.09,2.45,23.0,0.09
746,8047,星雲,50.2,-0.3,-0.59,26W23,06/05,3.27,27.0,0.08,3.12,27.0,0.09,2.94,4.0,0.01
747,5201,凱衛,29.75,0.55,1.88,26W23,06/05,2.0,31.0,0.16,1.64,14.0,0.09,1.27,-2.0,-0.02
748,4557,永新-KY,45.1,-0.6,-1.31,26W23,06/05,1.86,-57.0,-0.31,1.54,13.0,0.08,1.37,13.0,0.09
749,2006,東和鋼鐵,65.4,-1.6,-2.39,26W23,06/05,56.2,-840.0,-0.15,54.9,457.0,0.08,53.7,426.0,0.08
750,2855,統一證,53.2,-5.9,-9.98,26W23,06/05,119.0,-1312.0,-0.11,117.0,975.0,0.08,115.0,-4516.0,-0.39
751,5493,三聯,94.1,1.0,1.07,26W23,06/05,1.52,-606.0,-3.84,1.44,12.0,0.08,1.1,12.0,0.11
752,4535,至興,27.05,-0.15,-0.55,26W23,06/05,5.64,45.0,0.08,5.43,45.0,0.08,5.26,45.0,0.09
753,6431,光麗-KY,18.05,-0.45,-2.43,26W23,06/05,6.58,48.0,0.07,6.36,52.0,0.08,6.36,52.0,0.08
754,2891C,中信金丙特,62.7,0.0,0.0,26W23,06/05,15.5,124.0,0.08,15.5,124.0,0.08,15.1,124.0,0.08
755,2646,星宇航空,20.05,-0.45,-2.2,26W23,06/05,193.0,986.0,0.05,192.0,1509.0,0.08,190.0,3225.0,0.17
756,6662,樂斯科,29.4,-0.1,-0.34,26W23,06/05,1.17,8.0,0.07,1.03,8.0,0.08,1.03,8.0,0.08
757,2393,億光,65.9,-0.1,-0.15,26W23,06/05,27.9,-521.0,-0.19,26.6,206.0,0.08,25.8,184.0,0.07
758,6196,帆宣,487.5,-16.5,-3.27,26W23,06/05,15.5,835.0,0.54,15.2,116.0,0.08,14.7,-809.0,-0.55
759,6821,聯寶,64.0,-4.0,-5.88,26W23,06/05,1.64,12.0,0.07,1.57,12.0,0.08,1.39,2.0,0.01
760,8089,康全電訊,20.95,-1.4,-6.26,26W23,06/05,2.57,38.0,0.15,2.5,19.0,0.08,2.5,19.0,0.08
761,5522,遠雄,74.2,-1.9,-2.5,26W23,06/05,69.1,1426.0,0.21,68.6,516.0,0.08,68.0,2278.0,0.34
762,2739,寒舍,35.8,-0.15,-0.42,26W23,06/05,6.53,-559.0,-0.85,6.39,48.0,0.08,6.21,0.0,0.0
763,009807,台新標普科技精選,16.15,-0.88,-5.17,26W23,06/05,0.76,664.0,9.6,0.69,5.2,0.08,0.49,-38.8,-0.78
764,1789,神隆,20.25,0.15,0.75,26W23,06/05,59.9,1076.0,0.18,59.2,441.0,0.07,59.1,441.0,0.07
765,2480,敦陽科,159.5,-2.0,-1.24,26W23,06/05,2.46,16.0,0.07,2.19,16.0,0.07,2.01,14.0,0.07
766,1519,華城,815.0,-36.0,-4.23,26W23,06/05,23.1,764.0,0.33,22.3,162.0,0.07,21.4,1324.0,0.62
767,3591,艾笛森,23.15,-1.1,-4.54,26W23,06/05,7.67,-562.0,-0.73,7.54,54.5,0.07,7.35,-943.0,-1.27
768,4157,太景*-KY,8.91,-0.21,-2.3,26W23,06/05,39.7,329.0,0.08,38.6,278.0,0.07,37.2,319.0,0.09
769,1442,名軒,26.65,-0.65,-2.38,26W23,06/05,30.5,431.0,0.14,29.4,212.0,0.07,28.4,2149.0,0.76
770,5469,瀚宇博,80.1,-3.9,-4.64,26W23,06/05,33.7,903.0,0.27,32.6,235.0,0.07,32.2,3917.0,1.23
771,2732,六角,65.8,0.8,1.23,26W23,06/05,2.49,17.8,0.07,2.49,17.8,0.07,2.49,17.8,0.07
772,4109,加捷生醫,12.0,-1.05,-8.05,26W23,06/05,4.64,33.0,0.07,4.38,31.0,0.07,4.29,23.0,0.05
773,2008,高興昌,29.05,-1.25,-4.13,26W23,06/05,17.4,122.0,0.07,17.4,122.0,0.07,17.3,122.0,0.07
774,00694B,富邦美債1-3,41.57,0.03,0.07,26W23,06/05,3.11,21.0,0.07,3.03,21.0,0.07,3.03,21.0,0.07
775,1760,寶齡富錦,60.8,-0.5,-0.82,26W23,06/05,3.22,21.0,0.07,3.08,21.0,0.07,2.91,85.0,0.29
776,5007,三星,56.0,-1.1,-1.93,26W23,06/05,25.4,157.0,0.06,24.9,170.0,0.07,24.9,1061.0,0.43
777,01004T,土銀富邦R2,10.44,-0.01,-0.1,26W23,06/05,67.4,1059.0,0.16,66.7,448.0,0.07,66.0,448.0,0.07
778,1903,士紙,47.8,-1.1,-2.25,26W23,06/05,20.4,135.0,0.07,20.2,135.0,0.07,19.4,80.8,0.04
779,4961,天鈺,158.0,-10.5,-6.23,26W23,06/05,4.68,28.4,0.06,4.33,28.4,0.07,3.96,-908.0,-2.24
780,8938,明安,52.7,-0.4,-0.75,26W23,06/05,8.16,50.0,0.06,7.8,50.0,0.06,6.81,-19.0,-0.03
781,3557,嘉威,23.2,-0.95,-3.93,26W23,06/05,4.87,29.0,0.06,4.55,29.0,0.06,4.47,29.0,0.06
782,5398,慕康生醫,17.4,-0.7,-3.87,26W23,06/05,2.52,16.0,0.06,2.52,16.0,0.06,2.17,-2.0,-0.01
783,8481,政伸,40.75,-0.6,-1.45,26W23,06/05,4.04,24.0,0.06,3.83,24.0,0.06,3.57,24.0,0.07
784,6910,德鴻,28.7,-1.3,-4.33,26W23,06/05,1.6,10.0,0.06,1.6,10.0,0.06,1.51,10.0,0.07
785,8940,新天地,16.35,-0.5,-2.97,26W23,06/05,4.65,28.0,0.06,4.51,28.0,0.06,4.24,30.0,0.07
786,3259,鑫創,16.35,-0.7,-4.11,26W23,06/05,4.91,30.0,0.06,4.85,30.0,0.06,4.58,9.0,0.02
787,2617,台航,29.15,-0.45,-1.52,26W23,06/05,24.9,841.0,0.34,24.5,151.0,0.06,24.0,1194.0,0.5
788,1465,偉全,12.4,-0.05,-0.4,26W23,06/05,7.05,42.0,0.06,6.84,42.0,0.06,6.46,42.0,0.07
789,1109,信大,14.6,-0.25,-1.68,26W23,06/05,26.2,186.0,0.07,25.5,154.0,0.06,24.9,156.0,0.06
790,6617,共信-KY,67.9,-0.3,-0.44,26W23,06/05,8.21,46.0,0.06,7.94,46.0,0.06,7.58,36.0,0.05
791,3252,海灣,17.6,-0.3,-1.68,26W23,06/05,3.73,20.0,0.05,3.53,20.0,0.06,3.44,20.0,0.06
792,3296,勝德,20.95,-0.85,-3.9,26W23,06/05,7.33,649.0,0.89,7.07,40.0,0.06,6.98,40.0,0.06
793,3226,龍鋒,48.2,-0.3,-0.62,26W23,06/05,4.94,27.0,0.05,4.81,27.0,0.06,4.51,27.0,0.06
794,3294,英濟,36.75,-1.55,-4.05,26W23,06/05,6.69,704.0,1.06,6.49,36.0,0.06,6.21,36.0,0.06
795,6535,順藥,111.0,-4.0,-3.48,26W23,06/05,10.3,55.0,0.05,9.92,55.0,0.06,9.56,55.0,0.06
796,3686,達能,16.45,-0.65,-3.8,26W23,06/05,1.41,7.0,0.05,1.27,7.0,0.06,1.27,7.0,0.06
797,6115,鎰勝,48.7,-0.7,-1.42,26W23,06/05,11.2,60.0,0.05,11.0,60.0,0.05,10.6,60.0,0.06
