"代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","外資連續買賣日數","外資連續買賣張數","外資連續買賣佔成交(%)","外資連續買賣佔發行量(%)","投信連續買賣日數","投信連續買賣張數","投信連續買賣佔成交(%)","投信連續買賣佔發行量(%)","自營商連續買賣日數","自營商連續買賣張數","自營商連續買賣佔成交(%)","自營商連續買賣佔發行量(%)","三大法人連續買賣日數","三大法人連續買賣張數","三大法人連續買賣佔成交(%)","三大法人連續買賣佔發行量(%)"
"6841","長佳智能","60.1","+0.5","+0.84","05/15","+2","+102","21.2","0.11","0","0","0","0","-1","0","-0.1","0","+2","+102","21.2","0.11"
"6890","來億-KY","165.5","+4","+2.48","05/15","+2","+166","20.4","0.07","0","0","0","0","+1","+12","2.48","0","+2","+173","21.3","0.07"
"6902","GOGOLOOK","111","+10","+9.9","05/15","+2","+25","8.61","0.07","0","0","0","0","+1","+1","0.58","0","+2","+26","8.96","0.07"
"6909","創控","52","-0.4","-0.76","05/15","+2","+206","10.5","0.31","0","0","0","0","+1","+1","0.15","0","+2","+206","10.5","0.31"
"6922","宸曜","189.5","+5.5","+2.99","05/15","+2","+87","13","0.32","0","0","0","0","+5","+128","12.4","0.47","+5","+235","22.8","0.87"
"7642","昶瑞機電","71","+1.3","+1.87","05/15","+2","+8","24.7","0.03","0","0","0","0","+1","0","0.07","0","+2","+8","24.7","0.03"
"7704","明遠精密","69.8","+1","+1.45","05/15","+2","+72","3.51","0.21","0","0","0","0","0","0","0","0","+2","+72","3.51","0.21"
"7821","神數","43.5","-0.1","-0.23","05/15","+2","+93","16.2","0.08","0","0","0","0","0","0","0","0","+2","+92","16","0.08"
"7823","奧義賽博-KY創","100","+1.5","+1.52","05/15","+2","+57","13.9","0.17","0","0","0","0","-5","-31","-5.79","-0.09","-1","-1","-0.56","0"
"7842","天能綠電","110","-0.5","-0.45","05/15","+2","+21","7.72","0.12","0","0","0","0","0","0","0","0","+2","+21","7.72","0.12"
"8016","矽創","274","-20.5","-6.96","05/15","+2","+2,668","23.1","2.22","-2","-278","-2.41","-0.23","-1","-106","-2.18","-0.09","+5","+3,358","18.6","2.8"
"8028","昇陽半導體","287.5","+26","+9.94","05/15","+2","+6,467","10.1","3.6","0","0","0","0","-1","-15","-0.04","-0.01","+2","+7,112","11.1","3.96"
"8038","長園科","40.65","-1.05","-2.52","05/15","+2","+77","13.3","0.12","0","0","0","0","+3","+4","0.42","0.01","+2","+80","13.8","0.13"
"8043","蜜望實","113","+10","+9.71","05/15","+2","+1,941","5.99","2.43","0","0","0","0","+1","+31","0.31","0.04","+4","+2,547","3.87","3.19"
"8070","長華*","45.15","-0.45","-0.99","05/15","+2","+46","0.83","0.01","0","0","0","0","-6","-281","-1.74","-0.04","-4","-807","-7.63","-0.11"
"8163","達方","33.85","+1.55","+4.8","05/15","+2","+1,925","9.97","0.69","0","0","0","0","+3","+841","4.14","0.3","+2","+2,751","14.3","0.98"
"8234","新漢","70.8","+2.7","+3.96","05/15","+2","+680","15.6","0.48","0","0","0","0","+1","+11","0.31","0.01","+2","+685","15.7","0.49"
"8277","商丞","6.58","-0.15","-2.23","05/15","+2","+75","16.8","0.08","0","0","0","0","+1","+1","0.47","0","+2","+76","16.9","0.08"
"8374","羅昇","103","+9","+9.57","05/15","+2","+702","7.31","0.63","0","0","0","0","+13","+268","0.96","0.24","+2","+870","9.05","0.77"
"8401","白紗科","23.95","-0.05","-0.21","05/15","+2","+13","11.5","0.02","0","0","0","0","0","0","0","0","+2","+13","11.5","0.02"
"8415","大國鋼","35.35","+0.55","+1.58","05/15","+2","+1,622","47.7","0.16","0","0","0","0","-8","-1,907","-27.1","-0.18","+2","+701","20.6","0.07"
"8472","夠麻吉","71.9","+0.9","+1.27","05/15","+2","+7","15.9","0.04","0","0","0","0","0","0","0","0","+2","+7","15.9","0.04"
"8905","裕國","29.7","+0.35","+1.19","05/15","+2","+9","23.4","0.01","0","0","0","0","0","0","0","0","+1","+4","35","0"
"8908","欣雄","40.25","+0.2","+0.5","05/15","+2","+42","8.96","0.01","0","0","0","0","0","0","0","0","+2","+42","8.96","0.01"
"910322","康師傅-DR","25.05","-0.05","-0.2","05/15","+2","+22","72.1","0.1","0","0","0","0","0","0","0","0","+2","+22","72.1","0.1"
"9105","泰金寶-DR","5.69","-0.08","-1.39","05/15","+2","+6,580","22.1","0.4","0","0","0","0","-1","-91","-0.55","-0.01","+2","+6,489","21.8","0.4"
"9933","中鼎","37.6","0","0","05/15","+2","+3,807","30.3","0.42","0","0","0","0","-4","-141","-0.64","-0.02","+2","+3,698","29.4","0.41"
"9951","皇田","52.5","-0.7","-1.32","05/15","+2","+25","7.04","0.03","0","0","0","0","-1","-4","-3.02","-0.01","+2","+21","5.91","0.03"
