"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日賣出佔成交","2日賣出佔成交","3日賣出佔成交","5日賣出佔成交","10日賣出佔成交","1個月賣出佔成交","3個月賣出佔成交","半年賣出佔成交","1年賣出佔成交","3年賣出佔成交","10年賣出佔成交","今年賣出佔成交"
"147","2912","統一超","226.5","+1","+0.44","05/14","0.57","0.24","0.95","1.76","1.65","6.25","13.1","9.71","8.25","4.74","2.82","11.2"
"148","3218","大學光","129","-1.5","-1.15","05/14","2.76","1.86","1.91","1.73","0.94","0.5","0.26","0.14","0.09","1.79","0.79","0.19"
"149","3406","玉晶光","560","+44","+8.53","05/14","0.77","1.21","1.55","1.73","2.07","11.8","8.29","6.05","3.92","2.28","0.68","7.45"
"150","2454","聯發科","3405","-90","-2.58","05/14","3.31","3.09","2.37","1.72","1.2","1.06","2.23","2.11","4.92","4","2.08","2.3"
"151","2883B","凱基金乙特","8.21","-0.01","-0.12","05/14","0","0","2.9","1.69","0.69","0.36","0.11","0.07","1.9","0.56","","0.08"
"152","6670","復盛應用","263","-2","-0.75","05/14","3.25","2.14","1.56","1.68","4.91","15","8.09","16.9","10.1","5.98","","8.66"
"153","2393","億光","65.7","-7.2","-9.88","05/14","0.36","0.44","0.79","1.67","2.94","4.53","4","15","15.5","7.92","3.3","4.66"
"154","3034","聯詠","493","+6.5","+1.34","05/14","1.45","1.56","1.87","1.65","1.82","5.01","8.48","11.1","15.2","8.95","4.02","9.6"
"155","8422","可寧衛*","26.7","-0.4","-1.48","05/14","0.3","0.56","0.71","1.65","1.73","3.46","1.16","0.16","0.16","0.16","0.15","1.29"
"156","3661","世芯-KY","4830","+50","+1.05","05/14","0.06","3.37","2.31","1.64","2.87","1.69","2.4","2.7","2.45","2.06","1.63","2.32"
"157","2882B","國泰金乙特","60.9","0","0","05/14","0","3.63","2.35","1.62","1.01","0.49","0.85","6.56","8.56","3.99","","3.1"
"158","5536","聖暉*","1010","+60","+6.32","05/14","0","0.79","1.14","1.59","3.75","4.28","3.07","4.89","4.97","5.36","3.26","5.36"
"159","1307","三芳","31.9","+0.05","+0.16","05/14","2.73","2.56","2.43","1.54","1.2","1.33","0.34","0.42","1.15","0.98","0.74","0.52"
"160","2324","仁寶","30.25","-1.05","-3.35","05/14","4.68","1.53","1.89","1.5","1.7","7.18","6.77","7.98","7.41","5.46","3.86","6.28"
"161","6257","矽格","210.5","-1.5","-0.71","05/14","1.13","1.31","2.08","1.46","1.35","3.98","2.49","3.99","4.97","4.27","2.18","2.67"
