"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日賣出佔成交","2日賣出佔成交","3日賣出佔成交","5日賣出佔成交","10日賣出佔成交","1個月賣出佔成交","3個月賣出佔成交","半年賣出佔成交","1年賣出佔成交","3年賣出佔成交","10年賣出佔成交","今年賣出佔成交"
"146","3413","京鼎","315.5","+6.5","+2.1","05/08","33.7","44.2","42.1","37.8","35.6","30.4","27.9","30.7","31","31.3","18.2","28.6"
"147","2457","飛宏","24.25","-1.3","-5.09","05/08","63.4","46.2","42.1","33.7","32.6","32.6","28.9","24.9","26.8","24.5","17","24"
"148","6469","大樹","76.4","-1.2","-1.55","05/08","55.9","40.7","42.1","28.6","30.8","32.3","43.2","37.5","34.7","32.5","26","39.6"
"149","2886","兆豐金","40.2","+0.55","+1.39","05/08","27.9","40.2","42.1","52.9","54.7","50.6","47.8","52.5","48.4","49.7","48.1","48.7"
"150","6720","久昌","163","+5","+3.16","05/08","26.3","36.8","42","32.9","34.3","32.7","27","22.6","22.2","","","23.6"
"151","2353","宏碁","27.8","-0.3","-1.07","05/08","47.5","45.9","42","37.9","35.4","37.6","37.2","48.7","48.1","42.6","35.8","38.7"
"152","2748","雲品","40.1","-0.45","-1.11","05/08","32.5","45.2","41.9","32.9","30.9","22.6","24.5","24.2","27","19.1","","23.6"
"153","3443","創意","5210","-240","-4.4","05/08","43.9","38.9","41.9","43.4","37","34.6","33.6","32.5","30.5","31.2","21.4","33.2"
"154","7769","鴻勁","5800","-35","-0.6","05/08","37.3","41.1","41.6","38.8","37","36.8","48.4","","","","","43.9"
"155","5521","工信","11.55","-0.45","-3.75","05/08","24.2","35.4","41.5","39.1","38.9","38.3","31.8","29.2","28.8","27.1","20.7","32.4"
"156","00913","兆豐台灣晶圓製造","43.54","-0.52","-1.18","05/08","52","36.8","41.4","31.1","28.9","16.1","8.91","7.01","5.89","5.54","","7.67"
"157","4746","台耀","54.3","-0.5","-0.91","05/08","48.5","41.6","41.4","36","32.7","36.8","35.3","35.8","35.2","28.6","18.8","35.2"
"158","1736","喬山","125","-5","-3.85","05/08","53.4","46","41.4","36.2","37.4","32.1","36.5","39.8","43.2","37.9","25.2","38.6"
"159","6204","艾華","73.4","-0.5","-0.68","05/08","40.2","40.4","41.3","30.5","25.2","27","29","25.2","23.3","19.1","13","26.8"
"160","6807","峰源-KY","35.4","-0.7","-1.94","05/08","31.3","25.1","41.2","32.7","21","22.4","25","24.1","24.1","20.6","","23"
"161","6245","立端","80.1","-2.4","-2.91","05/08","34.6","25","41.2","35.9","30","22.2","24.1","26.4","28","23.4","17.1","25.3"
"162","3533","嘉澤","2700","-150","-5.26","05/08","43.2","49.5","41.2","38","42.7","46.4","46.3","45.2","46.5","47.5","28.4","44"
"163","5478","智冠","96.3","+0.3","+0.31","05/08","48.1","39.1","41.2","38.5","41.3","32.4","26.9","38.1","37.2","25.9","18.5","27.8"
"164","3264","欣銓","224","-24.5","-9.86","05/08","47.5","40.3","41.1","36.4","38.7","36.9","34.3","32.4","29.5","26.8","21.6","34.5"
"165","1708","東鹼","37.2","-0.9","-2.36","05/08","35.6","40.7","41.1","39.4","31.1","28.9","28","26.7","28.9","26.6","17.3","27.4"
"166","1789","神隆","19.8","-0.15","-0.75","05/08","43.2","48.4","41.1","34.1","34.3","32","34.1","26.8","34.6","30.9","20.7","25.1"
"167","3005","神基","98.2","-0.9","-0.91","05/08","47.9","34.7","41","40.5","35.8","37.1","43.4","47.8","40.5","36.5","33.5","45.9"
"168","4938","和碩","84.4","+0.1","+0.12","05/08","39.7","42.2","40.8","45.3","50.5","50.4","45","46.9","51","48.8","48.8","43.2"
"169","2495","普安","36.8","-4.05","-9.91","05/08","44.3","46.1","40.8","37.4","36","27.2","26.8","23.6","24.6","25.5","22.5","24.9"
"170","2530","華建","21.5","+0.35","+1.65","05/08","42.9","38.5","40.8","35.1","31.9","31.9","36.9","40","39.1","37.2","23.1","39.6"
"171","1419","新紡","64.3","0","0","05/08","43.2","27.9","40.8","41.7","41.9","45.4","42.3","29.8","20.8","20.9","13.8","34.4"
