?? 三大法人持股變化排名,,,,
,,,,
按選定視窗之三大法人合計持股比重變化排序,,,,
,,,,
#,股票,市場,5日持股%,5日ΔChange
3,2762世界健身-KY,TWSE,87.37,87.37
4,6924榮惠-KY創,TWSE,77.66,77.66
5,6666羅麗芬-KY,TWSE,75.14,75.14
6,4148全宇生技-KY,TWSE,71.04,71.04
7,4807日成-KY,TWSE,66.79,66.79
8,4439冠星-KY,TWSE,61.48,61.48
9,4190佐登-KY,TWSE,61.48,61.48
10,8442威宏-KY,TWSE,57.96,57.96
11,6431光麗-KY,TWSE,56.92,56.92
12,6573虹揚-KY,TWSE,55,55
13,8411福貞-KY,TWSE,53.69,53.69
14,6887寶綠特-KY,TWSE,53.17,53.17
15,1735日勝化,TWSE,51.26,51.26
16,8466美吉吉-KY,TWSE,50.26,50.26
17,2248華勝-KY,TWSE,50.07,50.07
18,6671三能-KY,TWSE,49.87,49.87
19,2115六暉-KY,TWSE,44.1,44.1
20,6807峰源-KY,TWSE,43.64,43.64
21,2227裕日車,TWSE,40.22,40.22
22,2702華園,TWSE,39.32,39.32
23,2884玉山金,TWSE,33.69,33.69
24,1521大億,TWSE,32.92,32.92
25,6641基士德-KY,TWSE,29.84,29.84
26,4737華廣,TWSE,28.5,28.5
27,4764雙鍵,TWSE,26.6,26.6
28,2254巨鎧精密-創,TWSE,23.5,23.5
29,8103瀚荃,TWSE,23.31,23.31
30,2496卓越,TWSE,23.03,23.03
31,2207和泰車,TWSE,22.13,22.13
32,00689R國泰20年美債反1,TWSE,19.27,19.27
33,1467南緯,TWSE,19.09,19.09
34,3167大量,TWSE,24.14,18.19
35,2337旺宏,TWSE,31.77,17.97
36,2605新興,TWSE,51.16,17.49
37,2867三商壽,TWSE,16.86,16.86
38,1560中砂,TWSE,36.34,15.97
39,3006晶豪科,TWSE,26.49,15.5
40,00681R元大美債20反1,TWSE,15.48,15.48
41,6754匯僑設計,TWSE,15.45,15.45
42,2486一詮,TWSE,21.96,15.26
43,00702國泰標普低波高息,TWSE,17.56,15.11
44,8112至上,TWSE,26.57,14.95
45,00683L期元大美元指正2,TWSE,15.4,14.72
46,00736國泰新興市場,TWSE,16.39,14.61
47,3545敦泰,TWSE,13.57,13.57
48,00711B復華彭博新興債,TWSE,13.43,13.37
49,8996高力,TWSE,42.23,13.34
50,2481強茂,TWSE,27.58,13.06
