" "," ","#","股票代號/名稱","類別","20260430","0508","0515","0522","0529","0605"," ","走 勢","總增減"," ","上週持有%","今日收盤價","今日漲跌"," "
" "," ","63","4571鈞興-KY","電機","-0.01","0.82","-0.93","5.51","-0.61","-1.59"," ","10","3.19"," ","68.34","195.00","3.50"," "
" "," ","64","3041揚智","半導體","0.03","0.74","0.09","1.65","1.03","-0.38"," ","10","3.16"," ","25.27","24.65","-0.65"," "
" "," ","65","6141柏承","電子零組件","-0.03","-0.40","-0.88","4.36","5.21","-5.11"," ","30","3.15"," ","50.20","38.50","-0.90"," "
" "," ","66","1582信錦","電子零組件","-0.97","-0.23","1.81","8.59","-2.34","-3.82"," ","10","3.04"," ","36.27","103.50","-4.00"," "
" "," ","67","8438昶昕","綠能","0.41","-0.61","2.30","0.95","0.34","-0.37"," ","10","3.02"," ","83.82","83.70","-3.10"," "
" "," ","68","4155訊映","生技醫療業","0.00","0.57","0.31","1.09","0.52","0.50"," ","10","2.99"," ","43.49","15.45","0.35"," "
" "," ","69","6715嘉基","電子零組件","0.03","2.82","0.91","0.72","-0.92","-0.63"," ","31","2.93"," ","79.09","434.00","-21.00"," "
" "," ","70","3189景碩","半導體","-0.81","-1.46","2.07","1.69","0.77","0.65"," ","10","2.91"," ","73.46","712.00","20.00"," "
" "," ","71","2457飛宏","電子零組件","0.01","0.99","-0.29","0.40","0.29","1.51"," ","31","2.91"," ","31.45","30.15","-1.90"," "
" "," ","72","2351順德","半導體","-0.10","1.12","1.79","0.74","1.79","-2.63"," ","30","2.71"," ","73.74","200.50","-10.50"," "
" "," ","73","4555氣立","電機","-0.03","-1.24","0.82","1.38","2.59","-0.83"," ","30","2.69"," ","71.13","52.80","-0.70"," "
" "," ","74","3057喬鼎","電腦週邊","0.00","1.02","1.23","0.04","0.25","0.12"," ","30","2.66"," ","33.57","21.90","-1.65"," "
