"排名","代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
"737","3628","盈正","櫃","05/12","","67.4","0","0","139","9.38","67.4","67.7","68.4","67","2.08","16.2","1.93","","","","",""
"738","3171","炎洲流通","櫃","05/12","","67.2","-0.4","-0.59","124","8.24","67.6","66.9","67.9","64.5","5.03","15.6","2.89","","","","",""
"739","6796","晉弘","市","05/12","","67.2","+1.2","+1.82","97","6.49","66","67.9","68","65.7","3.48","336","3.45","","","","",""
"740","6637","醫影","櫃","05/12","","67.1","-3.8","-5.36","381","25.7","70.9","70","70","66.6","4.8","9.97","1.56","","","","",""
"741","2643","捷迅","櫃","05/12","","67","+0.1","+0.15","7","0.47","66.9","67","67","66.5","0.75","13","1.15","","","","",""
"742","2723","美食-KY","市","05/12","","67","-1","-1.47","222","15","68","68","68","66.8","1.76","","1.2","","","","",""
"743","3178","公準","櫃","05/12","","67","-0.2","-0.3","91","6.14","67.2","67","67.8","66.9","1.34","","2.54","","","","",""
"744","8131","福懋科","市","05/12","","67","-0.5","-0.74","6,375","422","67.5","68.3","68.3","64.5","5.63","34","2.35","","","","",""
"745","8111","立碁","櫃","05/12","","66.8","+0.6","+0.91","2,478","167","66.2","67.5","68.5","66.1","3.63","196","5.55","","","","",""
"746","6612","奈米醫材","櫃","05/12","","66.6","-1.2","-1.77","82","5.47","67.8","67.7","67.7","66.5","1.77","61.1","1.72","","","","",""
"747","2459","敦吉","市","05/12","","66.5","-0.2","-0.3","115","7.64","66.7","66.4","66.7","66.4","0.45","12.9","1.23","","","","",""
"748","3209","全科","市","05/12","","66.5","+6","+9.92","8,106","535","60.5","64.7","66.5","64.1","3.97","22","2.96","","","","",""
"749","5309","系統電","櫃","05/12","","66.5","-0.9","-1.34","16,972","1,149","67.4","68.5","69.4","66.3","4.6","246","3.5","","","","",""
"750","6150","撼訊","櫃","05/12","","66.5","-0.3","-0.45","1,177","78.7","66.8","66.2","68.5","65.7","4.19","25.3","2.02","","","","",""
"751","3624","光頡","櫃","05/12","","66.3","+3.3","+5.24","14,461","948","63","63.1","68.3","61.5","10.8","32","2.18","","","","",""
"752","2006","東和鋼鐵","市","05/12","","66.2","-1.5","-2.22","3,270","217","67.7","67.7","67.7","65.8","2.81","9.98","1.49","","","","",""
