"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日賣出佔成交","2日賣出佔成交","3日賣出佔成交","5日賣出佔成交","10日賣出佔成交","1個月賣出佔成交","3個月賣出佔成交","半年賣出佔成交","1年賣出佔成交","3年賣出佔成交","10年賣出佔成交","今年賣出佔成交"
"203","6671","三能-KY","29.2","-0.3","-1.02","05/14","45.6","38.9","44.5","36.2","32.8","29.1","17.1","15.5","10.4","8.35","","16.8"
"204","2528","皇普","22.25","-0.1","-0.45","05/14","49.4","38.2","44.4","38.1","33.7","26.1","38.4","42.2","42","33.8","24.2","41.7"
"205","1603","華電","32.05","-0.15","-0.47","05/14","29.4","36.5","44.4","37.3","34.6","36.8","46.4","34.6","30.3","24.6","20.2","34.6"
"206","8349","恒耀","41.5","-0.1","-0.24","05/14","48.5","50.4","44.4","43","40.7","34.6","20.7","14.8","8.6","2.4","0.35","17.8"
"207","9921","巨大","73.5","-2.2","-2.91","05/14","46","43.9","44.2","46","51.5","52.4","30.7","18.1","10","3.11","1.13","28.8"
"208","6807","峰源-KY","33.9","+0.5","+1.5","05/14","47.5","41.6","44.2","44","39.8","29.2","27.1","25.2","24.2","20.8","","24.7"
"209","6245","立端","81.5","-1.3","-1.57","05/14","38.5","52.4","44.1","37.9","34.8","24.7","25.2","26.6","28.6","23.6","17.2","26"
"210","4736","泰博","122","0","0","05/14","52.6","46.5","44.1","43.8","41.6","35.2","33","30.8","32","29","16.4","28.4"
"211","2106","建大","16.85","-0.2","-1.17","05/14","47.1","44.4","44.1","45.2","36.6","42.7","43.8","42.5","44.2","34.8","29.9","41.7"
"212","3293","鈊象","724","0","0","05/14","50.2","54","44.1","40.8","46.6","36.9","34","40.1","40.2","37.3","21.3","33.8"
"213","6121","新普","372.5","-7.5","-1.97","05/14","39","38.7","44.1","35.2","43","42.4","50.5","46.4","47","42.9","34.5","44.2"
"214","2357","華碩","679","+16","+2.41","05/14","38.5","41.8","44","37.5","41.2","44.9","49.5","59","53.1","49.2","54.5","53.6"
"215","6187","萬潤","1140","-85","-6.94","05/14","46.1","48.5","43.9","41.6","40.3","38.2","36.2","34.1","28.9","24.6","18.4","34.6"
"216","1104","環泥","27.9","-0.15","-0.53","05/14","64.6","49","43.7","49.7","46.3","42.6","37.8","36.5","27.2","32.5","29.6","37.2"
"217","1583","程泰","46.7","-0.55","-1.16","05/14","76.4","56.3","43.7","22.6","20.6","21.5","26.6","20.4","19.7","15.9","10.9","21.1"
"218","6728","上洋","111.5","-0.5","-0.45","05/14","13","46.9","43.6","31.5","20.1","16","13.8","14.7","21.3","14","","15.4"
"219","2023","燁輝","13.95","+0.05","+0.36","05/14","42.2","39","43.5","42.3","40.1","37.7","44.2","44.4","45.6","32.2","20.1","42.6"
"220","1726","永記","77.2","+1","+1.31","05/14","41.7","39.5","43.2","47.1","41.7","37","36.6","29.9","24.2","37.6","37.7","31.5"
"221","6667","信紘科","252","-0.5","-0.2","05/14","30.1","41.6","43.2","41.6","38.7","29.5","29","28.2","24.4","22.2","","30.7"
"222","5546","永固-KY","15.95","-0.25","-1.54","05/14","48","44.8","43.2","38.7","23.7","14.6","18","16.3","14.4","14.2","","17"
"223","6214","精誠","122","0","0","05/14","35.9","39.8","43.1","30.8","29.4","31.9","32.6","36.7","33.8","29.6","26","32.9"
"224","2867","三商壽","7.7","-0.03","-0.39","05/14","63.2","47.4","43.1","33.3","33.9","33.6","41.1","29.6","25.8","21.7","22","35.1"
"225","3218","大學光","129","-1.5","-1.15","05/14","53.7","45.9","43.1","38","35.4","32.3","31.8","36.2","38","38.2","13.4","31.7"
"226","6869","雲豹能源","82.4","-5.1","-5.83","05/14","50.2","43.6","43","39.1","34.5","30.3","16.1","8.07","5.79","0.51","","16"
"227","1515","力山","22.15","-0.45","-1.99","05/14","50.4","57.7","43","34.6","32","34.8","34.1","34.4","32.3","28.6","17.2","34.6"
"228","6944","兆聯實業","913","-3","-0.33","05/14","46.5","47.9","43","44.1","38","38.8","20.5","11.7","","","","19.7"
"229","9802","鈺齊-KY","77","-2.2","-2.78","05/14","27.1","28.9","43","35.6","39.4","36.1","21.4","16","5.43","1.9","0.43","25.9"
"230","5864","致和證","30.8","-1.1","-3.45","05/14","46.3","40.4","42.9","36.2","27.3","25.6","27.7","26.1","24.2","22.7","","26.4"
"231","1519","華城","870","-25","-2.79","05/14","45.8","49","42.9","39.6","37.1","37.5","35.6","31.6","28.3","25.8","21.5","32.7"
"232","6698","旭暉應材","30","-0.7","-2.28","05/14","42.6","39","42.9","38.1","32.8","27.4","32.1","29.8","25","21","","29.4"
"233","1710","東聯","11.95","-0.05","-0.42","05/14","36.7","48.9","42.7","40","34.8","32.2","30.3","31.2","33.1","32.4","22.7","30.6"
