"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔成交","2日買賣超佔成交","3日買賣超佔成交","5日買賣超佔成交","10日買賣超佔成交","1個月買賣超佔成交","3個月買賣超佔成交","半年買賣超佔成交","1年買賣超佔成交","3年買賣超佔成交","10年買賣超佔成交","今年買賣超佔成交"
"227","00684R","期元大美元指反1","15.18","-0.05","-0.33","06/02","+9.63","+9.93","+16.8","+23.6","+28.9","+50.1","+2.7","-3.66","+12.6","-6.77","","+15.6"
"228","00980D","主動聯博投等入息","20.38","+0.07","+0.34","06/02","+42.7","+51","+39.4","+23.6","+18.2","+6.7","+10.1","-4.7","","","","-2.18"
"229","00779B","凱基美債25+","28.29","+0.28","+1","06/02","+41.6","+40.2","+31.7","+23.5","+29.3","+38.3","+19.6","+12.7","+5.38","+1.71","","+14.8"
"230","1714","和桐","10","+0.19","+1.94","06/02","+32.7","+37.4","+37.6","+23.5","+10.8","+15.2","+7.76","+7.92","+6.95","+2.02","+0.56","+8.16"
"231","00799B","國泰A級醫療債","29.64","+0.18","+0.61","06/02","+57.2","+27.6","+27.5","+23.5","+26.6","+6.36","-7.66","-13.6","-19.4","-13.4","","-12.5"
"232","2527","宏璟","36.6","-0.15","-0.41","06/02","+3.03","+28.4","+14.6","+23.5","+17.3","-1.66","+4.39","+3.06","-0.14","+0.25","+2.53","+2.79"
"233","1527","鑽全","33.45","-0.05","-0.15","06/02","-5.42","+6.53","+19.5","+23.5","+10.6","+1.77","-0.51","+0.48","-1.3","-0.12","-2.5","-0.11"
"234","00731","復華富時高息低波","81.5","+1.65","+2.07","06/02","+22.1","+24.3","+25.1","+23.4","+24.9","+21.5","+15.5","+20.5","+18.7","-0.43","","+19.9"
"235","00967B","元大優息美債","9.09","+0.07","+0.78","06/02","+82.4","+80.5","+81","+23.4","+27","+24.8","+28.6","+27","+19.2","","","+31.6"
"236","020027","元大上櫃ESG成長N","11.34","-0.15","-1.31","06/02","+32.3","+30.9","+44.7","+23.2","+26.1","+9.57","+18.6","+32.3","+15.3","+15.1","","+21.5"
"237","6121","新普","402.5","+6.5","+1.64","06/02","+19.2","+22.2","+25.8","+23.2","+22.1","+0.93","+0.7","-6.19","-5","+0.48","+0.32","-7.59"
"238","6469","大樹","72.5","+1","+1.4","06/02","+23.1","+28.1","+34.5","+23.1","+13.8","-0.63","-4.46","-8.46","-4.56","-2.28","-0.61","-8.81"
"239","00966B","統一ESG投等債15+","14.1","+0.11","+0.79","06/02","+47.2","+52.7","+35.9","+23","+21.1","+26.5","+22.6","+23.6","+16.6","","","+26.7"
"240","3040","遠見","40.45","-1.2","-2.88","06/02","+51.2","+37.8","+33.5","+23","+22.4","+12.6","+6.01","-2.56","-0.01","+0.38","-0.03","-2.95"
"241","6464","台數科","78","0","0","06/02","+79.7","+44.7","+28.4","+23","+9.41","+3.56","+0.73","+1.74","-0.32","+1.05","-0.87","+3.71"
"242","1726","永記","78","+0.2","+0.26","06/02","+15","+14.1","+30.8","+23","-3.33","-12.1","-12.8","-6.82","-1.61","-2.24","+1.23","-6.68"
"243","1784","訊聯","65.5","-0.7","-1.06","06/02","+40.3","+36.2","+27.6","+22.9","+13.4","+3.42","-3.43","-0.37","-0.69","-0.25","0","-0.3"
"244","2017","官田鋼","9.05","+0.01","+0.11","06/02","-13.3","+26.4","+22.5","+22.8","+6.57","-0.62","-1.74","+0.63","+0.59","+0.73","-0.01","+0.29"
"245","00670L","富邦NASDAQ正2","221.4","-1.15","-0.52","06/02","+18.4","+12","+17.1","+22.8","+5.48","+15.9","+14.7","+2.51","+1.62","-1.94","","+4.2"
"246","4416","三圓","12.1","+0.65","+5.68","06/02","-13.8","+10.2","+14.8","+22.8","+7.88","+2.88","+2.09","+1.73","+2.15","+2.53","+1.96","+1.66"
"247","4502","健信","15.8","+0.1","+0.64","06/02","0","+4.88","+22.4","+22.5","+27","+17.5","+7.36","+3.44","+2.08","+3.61","+1.03","+3.72"
"248","6790","永豐實","39.65","+0.15","+0.38","06/02","+8.45","+23.1","+26.1","+22.4","-1.22","+0.54","+2.95","-1.04","-12.3","+1.34","","-1.59"
"249","1227","佳格","27.95","-0.25","-0.89","06/02","+57.2","+44.3","+37.2","+22.4","+12.6","-4.81","-2.13","-2.15","-5.78","-2.21","-5.88","-2.39"
"250","006205","富邦上証","41.1","+0.47","+1.16","06/02","+23.9","+21.8","+26.4","+22.4","+18.5","+24","+22.1","+19","+20","+10.6","+8.11","+17"
"251","2024","志聯","14.35","+0.25","+1.77","06/02","+32.6","+47.8","+23.7","+22.4","+11.2","+8.59","+6.1","+5.87","+0.14","+0.42","+0.03","+7.25"
"252","6024","群益期","58.5","+0.3","+0.52","06/02","+15.6","+25.8","+30.4","+22.4","-5.88","+4.43","+5.7","+6.55","+1.6","+1.04","+0.17","+7.59"
"253","3596","智易","191.5","-2","-1.03","06/02","+30.3","+34.3","+34","+22.3","+33","+5.39","-10.9","-14","-9.67","+0.8","+0.3","-13.4"
"254","1459","聯發","11.6","+0.05","+0.43","06/02","+15.7","+17.8","+21.3","+22.2","+9.15","+7.1","+2.09","+0.76","-0.32","+0.1","-0.18","+2.17"
"255","5312","寶島科","95.1","+1.2","+1.28","06/02","+20.9","+20.5","+18.6","+22.2","+4.42","-7.02","-6.01","-6.87","-6.89","-0.89","-4.83","-6.67"
"256","3230","錦明","30.7","0","0","06/02","+4.47","+11.9","+16","+22.2","+16.2","+6.96","-0.36","-0.35","-0.15","-0.02","-0.08","-0.58"
"257","00983B","大華優利美公債20","15.66","+0.13","+0.84","06/02","+54.1","+44.5","+43.8","+22.2","+29.8","+39.6","-3.66","-11.3","-1.47","","","-13.3"
"258","6834","天二科技","73","-4","-5.19","06/02","+25.3","+20.9","+22.4","+22","+7.66","+3.22","+4.01","+3.25","+2.5","+1.05","","+3.12"
"259","00950B","凱基A級公司債","14.09","+0.1","+0.71","06/02","+64.7","+31.6","+39.3","+22","+15.6","+16.4","+34.5","+41.7","+37.5","","","+41"
"260","1584","精剛","19.85","0","0","06/02","+29.1","+44.7","+38.7","+21.9","+17.7","+9.89","+10","+11","+3.21","+0.02","-0.01","+9.79"
"261","2743","山富","69.2","0","0","06/02","-2.75","+22.9","+25.3","+21.9","+15.1","+5.67","+1.62","+1.07","-0.87","-0.54","","+0.86"
"262","2701","萬企","10.25","-0.05","-0.49","06/02","+22","+44.6","+38.3","+21.9","+9.41","+2.56","+0.91","+2.47","+1.38","+0.03","+0.04","+3.99"
"263","2707","晶華","174.5","+1","+0.58","06/02","+39.3","+49","+29.7","+21.9","+10.5","-3.78","-17","-17.7","-7.6","-3.87","-0.77","-16.6"
"264","6470","宇智","49.55","+0.6","+1.23","06/02","+14.1","+22.6","+8.29","+21.7","+24.6","+22.5","+0.94","+0.23","-1.99","+0.29","0","+0.28"
"265","00763U","期街口道瓊銅","35.27","+0.73","+2.11","06/02","+27.7","+45.6","+39","+21.6","+19.2","+22.7","+33.8","-2.78","-5.13","-3.86","","+3.51"
"266","3234","光環","130","+11.5","+9.7","06/02","+41.2","+33.2","+27","+21.6","+19","+9.88","+1.92","+1.24","+1","+0.55","+0.13","+1.57"
"267","5546","永固-KY","17.05","+0.25","+1.49","06/02","+36.2","+20.7","+21.6","+21.6","+17.6","+16.3","+4.78","+4.45","+1.46","+1.42","","+4.4"
