"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股超過600張(萬張)","超過600張增減(張)","超過600張增減(%)","持股超過800張(萬張)","超過800張增減(張)","超過800張增減(%)","持股超過1千張(萬張)","超過1千張增減(張)","超過1千張增減(%)"
"212","2323","中環","10.95","-0.95","-7.98","26W18","04/30","44.7","-889","-0.2","42.7","-313","-0.07","40.9","-2,195","-0.53"
"213","3022","威強電","79","+1.6","+2.07","26W18","04/30","9.63","-155","-0.16","9.5","-47.2","-0.05","9.12","-50.2","-0.06"
"214","6170","統振","52.9","-0.3","-0.56","26W18","04/30","5.1","+178","+0.35","5.02","+123","+0.25","4.74","+1,061","+2.29"
"215","2458","義隆","156.5","-2","-1.26","26W18","04/30","16.4","-2,817","-1.69","16","-674","-0.42","15.1","-4,323","-2.79"
"216","00882","中信中國高股息","15.66","-0.08","-0.51","26W18","04/30","44.1","+2,925","+0.67","38.8","+842","+0.22","35","+2,757","+0.79"
"217","00738U","期元大道瓊白銀","54.5","-4.05","-6.92","26W18","04/30","4.59","-8,126","-15","4.3","-5,111","-10.6","4.12","-4,280","-9.41"
"218","1503","士電","230","-11.5","-4.76","26W18","04/30","38.5","-94.5","-0.02","38.1","+675","+0.18","37.7","-267","-0.07"
"219","00985B","群益ESG投等債0-5","10.15","+0.02","+0.2","26W18","04/30","19.5","+4,092","+2.14","18.2","+3,255","+1.82","17.1","+5,192","+3.13"
"220","00970B","新光BBB投等債20+","9.4","-0.03","-0.32","26W18","04/30","24.1","+618","+0.26","23.4","+600","+0.26","22.6","+600","+0.27"
"221","8996","高力","1210","+85","+7.56","26W18","04/30","4.2","-1,710","-3.91","3.85","-1,034","-2.62","3.4","-210","-0.61"
"222","2065","世豐","33.7","-0.6","-1.75","26W18","04/30","2.92","-98","-0.33","2.78","-98","-0.35","2.58","-98","-0.38"
"223","6670","復盛應用","270","-6","-2.17","26W18","04/30","9.83","-977","-0.98","9.18","-215","-0.23","8.73","-232","-0.26"
"224","2498","宏達電","42.6","-3.3","-7.19","26W18","04/30","31.9","-3,152","-0.98","30.3","-3,771","-1.23","29.4","-4,737","-1.58"
"225","00669R","國泰美國道瓊反1","5.41","+0.07","+1.31","26W18","04/30","8.98","+797","+0.9","8.22","+797","+0.98","7.76","+797","+1.04"
"226","3081","聯亞","2495","-160","-6.03","26W18","04/30","4.01","+2,044","+5.37","3.46","+1,941","+5.94","3.12","+1,098","+3.64"
"227","3162","精確","82","-1.2","-1.44","26W18","04/30","9.22","-5,376","-5.51","8.77","-7,730","-8.1","8.69","-6,651","-7.11"
"228","8076","伍豐","27.25","-0.95","-3.37","26W18","04/30","9.02","+40.4","+0.04","8.54","+34.4","+0.04","7.82","-958","-1.21"
"229","5481","新華","19.2","+0.5","+2.67","26W18","04/30","4.17","-574","-1.36","3.89","+49","+0.13","3.62","+49","+0.14"
"230","3207","耀勝","66.6","-3.1","-4.45","26W18","04/30","2.23","-1,402","-5.92","1.63","-830","-4.84","1.44","-5.75","-0.04"
"231","2357","華碩","844","-56","-6.22","26W18","04/30","50.6","-3,150","-0.62","48.4","-4,523","-0.93","46","-3,544","-0.77"
