"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔發行張數","2日買賣超佔發行張數","3日買賣超佔發行張數","5日買賣超佔發行張數","10日買賣超佔發行張數","1個月買賣超佔發行張數","3個月買賣超佔發行張數","半年買賣超佔發行張數","1年買賣超佔發行張數","3年買賣超佔發行張數","10年買賣超佔發行張數","今年買賣超佔發行張數"
"175","2327","國巨*","816","-84","-9.33","07/13","+0.14","-0.08","+0.09","+0.5","+0.9","+0.01","-2.21","+2.53","-0.28","-0.3","-5.79","+4.41"
"176","3059","華晶科","45.95","-0.55","-1.18","07/13","+0.29","+0.3","+0.37","+0.5","+1.01","-0.65","-3.42","-8.34","-7.06","-5.93","-8.68","-8.57"
"177","3564","其陽","52.4","-1.4","-2.6","07/13","+0.01","-0.07","+0.13","+0.5","+0.5","+0.49","+0.93","+0.45","+2.57","+0.36","+0.64","+0.35"
"178","5258","虹堡","54.6","+1.8","+3.41","07/13","+0.21","+0.38","+0.4","+0.5","+0.81","+0.95","-1.83","-0.63","-0.06","-0.68","","-0.78"
"179","8114","振樺電","199.5","-4.5","-2.21","07/13","+0.19","+0.21","+0.08","+0.49","+0.8","+0.65","-0.21","-5.21","-1.65","-1.15","-1.67","-6.93"
"180","3090","日電貿","258","-28.5","-9.95","07/13","+0.23","+0.13","+0.26","+0.49","+0.66","-1.02","+1.67","+4.48","+1.32","+3.75","+7.38","+4.72"
"181","4908","前鼎","159","-5","-3.05","07/13","+0.29","+0.57","+0.54","+0.49","+1.15","-1.7","-0.85","+2.9","+0.03","-0.3","+1.85","+2.21"
"182","009815","大華美國MAG7+","11.32","+0.07","+0.62","07/13","+0.27","+0.41","+0.42","+0.49","+0.46","+0.84","+9.49","","","","",""
"183","2867","三商壽","8.83","-0.03","-0.34","07/13","+0.04","+0.09","+0.3","+0.48","+0.44","+0.82","+3.6","+7.15","+14","+14.7","+13.1","+7.49"
"184","2360","致茂","1850","+30","+1.65","07/13","+0.03","+0.21","+0.5","+0.48","+0.48","+1.44","+0.95","-0.29","-4.65","-8.45","+10.1","+0.75"
"185","3592","瑞鼎","255.5","-17","-6.24","07/13","-0.44","-0.18","-0.22","+0.48","-1.03","-1.71","-4.72","-5.07","+0.23","-0.77","","-4.32"
"186","3535","晶彩科","100","-4.5","-4.31","07/13","+0.5","+0.24","+0.5","+0.48","+0.55","-3.12","-4.17","-7.73","-4.25","-4.11","-6.73","-11.4"
"187","3213","茂訊","130.5","-2.5","-1.88","07/13","+0.14","+0.47","+0.55","+0.48","+3.99","+2.21","+10.1","+9.73","+8.15","+4.92","+8.31","+9.56"
"188","4127","天良","72","-2","-2.7","07/13","+0.09","+0.04","+0.12","+0.47","+2.27","+2.89","+3.28","+2.91","+2.59","+2.76","+3.45","+2.97"
"189","00663L","國泰臺灣加權正2","105.65","-0.25","-0.24","07/13","-0.3","-0.04","+0.13","+0.47","+0.82","+1.54","+4.82","+15.4","+19.9","+21.2","+39.5","+16.2"
