"代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","外資連續買賣日數","外資連續買賣張數","外資連續買賣佔成交(%)","外資連續買賣佔發行量(%)","投信連續買賣日數","投信連續買賣張數","投信連續買賣佔成交(%)","投信連續買賣佔發行量(%)","自營商連續買賣日數","自營商連續買賣張數","自營商連續買賣佔成交(%)","自營商連續買賣佔發行量(%)","三大法人連續買賣日數","三大法人連續買賣張數","三大法人連續買賣佔成交(%)","三大法人連續買賣佔發行量(%)"
"2542","興富發","41.65","+1.65","+4.12","05/11","+4","+16,655","35.4","0.77","+3","+42","0.11","0","+1","+88","0.5","0","+4","+16,758","35.6","0.77"
"3211","順達","403","+21.5","+5.64","05/11","+1","+2,205","15.3","1.43","+3","+513","1.16","0.33","+1","+168","1.16","0.11","+1","+2,539","17.6","1.65"
"4958","臻鼎-KY","412","+11","+2.74","05/11","+1","+2,147","5.18","0.22","+3","+855","0.64","0.09","+1","+384","0.93","0.04","+1","+2,692","6.49","0.28"
"00935","野村臺灣新科技50","55.65","+1.45","+2.68","05/11","+3","+1,453","3.43","0.26","+2","+436","1.52","0.08","-3","-8,125","-19.2","-1.46","-3","-6,236","-14.7","-1.12"
"2059","川湖","5520","+200","+3.76","05/11","+2","+497","15.2","0.52","+2","+259","7.91","0.27","+1","+6","0.32","0.01","+2","+748","22.9","0.78"
"2313","華通","242","-11.5","-4.54","05/11","-1","-16,501","-20.3","-1.38","+2","+1,028","0.61","0.09","+2","+99","0.06","0.01","-1","-16,295","-20","-1.37"
"2360","致茂","2360","+130","+5.83","05/11","-1","-65","-1.96","-0.02","+2","+179","2.43","0.04","-2","-91","-1.24","-0.02","+2","+271","3.68","0.06"
"2454","聯發科","3880","+250","+6.89","05/11","-3","-1,752","-6.57","-0.11","+2","+204","1.12","0.01","-1","-175","-2.01","-0.01","-3","-1,480","-5.55","-0.09"
"2492","華新科","171.5","+15.5","+9.94","05/11","+1","+7,374","24.3","1.52","+2","+2","0","0","+1","+385","1.27","0.08","+1","+7,761","25.6","1.6"
"2812","台中銀","19.75","0","0","05/11","-20","-107,739","-34.2","-1.79","+2","+30","0.1","0","-1","-17","-0.12","0","-20","-108,355","-34.4","-1.8"
"2834","臺企銀","16.15","-0.1","-0.62","05/11","-7","-86,009","-35.2","-0.89","+2","+64","0.08","0","-1","-123","-0.34","0","-7","-85,816","-35.2","-0.88"
"2845","遠東銀","12.2","0","0","05/11","-14","-39,154","-31.5","-0.8","+2","+17","0.09","0","-1","-12","-0.1","0","-14","-32,462","-26.1","-0.67"
"2915","潤泰全","43.65","+0.4","+0.92","05/11","+1","+480","43.1","0.04","+2","+9","0.3","0","+1","+2","0.18","0","+1","+489","43.9","0.04"
"3017","奇鋐","2555","+110","+4.5","05/11","-5","-3,277","-7.56","-0.84","+2","+839","6.91","0.22","+3","+259","1.11","0.07","+1","+414","6.68","0.11"
"3105","穩懋","526","+33.5","+6.8","05/11","+3","+7,243","8.05","1.71","+2","+277","0.55","0.07","+1","+45","0.18","0.01","+1","+4,069","16.1","0.96"
"3526","凡甲","388","-7","-1.77","05/11","-1","-286","-27.5","-0.43","+2","+197","4.49","0.3","-2","-77","-1.76","-0.12","-1","-262","-25.3","-0.4"
"3665","貿聯-KY","2905","+155","+5.64","05/11","+10","+5,085","17.2","2.61","+2","+366","7.82","0.19","-2","-24","-0.51","-0.01","+8","+3,572","14.9","1.83"
"3702","大聯大","114","+0.5","+0.44","05/11","-2","-8,642","-14.3","-0.51","+2","+5,744","9.51","0.34","-11","-6,329","-4.2","-0.38","-2","-6,112","-10.1","-0.36"
"4915","致伸","71.7","-0.8","-1.1","05/11","-7","-12,348","-49.2","-2.62","+2","+480","4.02","0.1","-5","-18","-0.08","0","-5","-10,766","-50.8","-2.28"
"6278","台表科","215.5","+14.5","+7.21","05/11","-7","-13,722","-9.18","-4.69","+2","+4,155","5.94","1.42","+1","+133","0.34","0.05","-7","-10,531","-7.04","-3.6"
"6640","均華","1405","+10","+0.72","05/11","-1","-30","-9.32","-0.11","+2","+10","1.83","0.04","+2","+7","1.32","0.03","-1","-19","-5.79","-0.07"
"6670","復盛應用","262.5","+8.5","+3.35","05/11","+1","+188","39.9","0.14","+2","+88","9.05","0.06","+2","+16","1.63","0.01","+1","+231","49","0.17"
