排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 發行 張數,2日 買賣超 佔 發行 張數,3日 買賣超 佔 發行 張數,5日 買賣超 佔 發行 張數,10日 買賣超 佔 發行 張數,1個月 買賣超 佔 發行 張數,3個月 買賣超 佔 發行 張數,半年 買賣超 佔 發行 張數,1年 買賣超 佔 發行 張數,3年 買賣超 佔 發行 張數,10年 買賣超 佔 發行 張數,今年 買賣超 佔 發行 張數
57,3711,日月光投控,682.0,-1.0,-0.15,07/16,0.03,0.05,0.06,0.17,0.29,-0.58,-0.6,-0.53,-2.5,-1.28,,-0.43
58,7769,鴻勁,6695.0,-25.0,-0.37,07/16,0.01,0.04,0.07,0.16,0.19,-0.16,0.77,0.7,,,,1.0
59,2441,超豐,139.0,2.5,1.83,07/16,0.02,0.01,0.08,0.15,0.37,-2.04,-3.23,-5.99,-1.81,1.09,-4.55,-5.31
60,6526,達發,619.0,-24.0,-3.73,07/16,0.04,0.06,0.11,0.14,0.25,0.44,1.05,1.34,0.8,,,1.25
61,2356,英業達,60.7,-0.4,-0.65,07/16,-0.11,-0.12,0.0,0.14,0.81,1.21,3.48,2.84,1.97,-0.97,2.13,3.06
62,2337,旺宏,136.5,-12.0,-8.08,07/16,0.0,0.14,0.14,0.14,0.16,-0.53,-2.61,-2.52,1.52,0.87,5.21,-0.91
63,6664,群翊,390.0,-4.5,-1.14,07/16,0.0,0.0,0.13,0.13,0.13,0.08,0.12,-0.03,0.07,0.23,,-0.03
64,4536,拓凱,163.5,0.5,0.31,07/16,0.0,0.13,0.13,0.13,0.13,0.13,-0.33,-0.74,-0.81,0.96,0.79,-0.74
65,2542,興富發,43.35,-0.1,-0.23,07/16,0.02,0.04,0.1,0.13,0.31,0.8,3.97,3.56,4.39,1.02,0.64,3.47
66,8271,宇瞻,187.5,6.0,3.31,07/16,0.0,0.0,0.0,0.13,0.49,0.52,0.41,0.47,0.39,0.4,0.16,0.44
67,2206,三陽工業,64.2,0.3,0.47,07/16,0.03,0.06,0.07,0.13,0.21,0.16,0.05,-0.54,-1.77,2.26,2.35,-0.75
68,5388,中磊,86.6,-2.8,-3.13,07/16,0.0,0.0,0.12,0.12,-0.12,-0.63,-1.72,-1.43,-4.78,-1.92,-1.57,-2.36
69,5876,上海商銀,44.95,0.35,0.78,07/16,0.02,0.07,0.11,0.12,0.18,1.45,2.47,1.9,-1.07,6.24,,1.8
70,6613,朋億*,365.0,-3.5,-0.95,07/16,0.0,0.0,0.12,0.12,0.12,0.05,-0.48,-0.58,-0.83,0.07,,-0.62
71,6435,大中,308.5,-16.0,-4.93,07/16,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,-0.06,0.11
72,3034,聯詠,471.5,-0.5,-0.11,07/16,-0.12,-0.14,-0.08,0.11,0.44,-0.04,1.09,-2.49,-8.31,11.3,13.6,-3.45
73,5871,中租-KY,120.5,1.5,1.26,07/16,0.04,0.09,0.1,0.11,-0.09,-0.2,4.0,3.2,-2.65,6.5,6.94,2.0
