排名,代號,名稱,市 場,股價 日期,K 線,成交,漲跌 價,漲跌 幅,成交 張數,成交額 (百萬),昨收,開盤,最高,最低,振幅 (%),PER,PBR,1個月 走勢圖,3個月 走勢圖,1年 走勢圖,3年 走勢圖,10年 走勢圖
213,6953,家碩,櫃,06/02,,247.5,0.5,0.2,75,18.4,247.0,247.5,248.5,240.5,3.24,32.1,4.88,,,,,
214,2474,可成,市,06/02,,245.5,22.0,9.84,21180,5200.0,223.5,245.5,245.5,245.5,0.0,24.2,0.97,,,,,
215,6811,宏碁資訊,櫃,06/02,,245.0,9.0,3.81,1166,286.0,236.0,240.0,257.0,233.0,10.2,16.2,4.77,,,,,
216,006208,富邦台50,市,06/02,,244.55,0.65,0.27,3255,794.0,243.9,244.8,245.65,241.45,1.72,,0.9997,,,,,
217,0053,元大電子,市,06/02,,243.35,-1.4,-0.57,42,10.3,244.75,245.0,246.85,241.7,2.1,,0.9987,,,,,
218,6533,晶心科,市,06/02,,241.0,20.0,9.05,2862,679.0,221.0,225.0,243.0,223.5,8.82,,2.81,,,,,
219,6719,力智,市,06/02,,240.5,-3.0,-1.23,2386,568.0,243.5,244.5,245.0,232.0,5.34,33.4,1.77,,,,,
220,3135,凌航,市,06/02,,240.0,-10.5,-4.19,7241,1780.0,250.5,253.0,256.5,235.0,8.58,15.1,6.61,,,,,
221,4576,大銀微系統,市,06/02,,238.0,-25.0,-9.51,5511,1350.0,263.0,264.0,265.0,237.0,10.6,94.4,6.89,,,,,
222,2727,王品,市,06/02,,237.5,1.5,0.64,443,105.0,236.0,236.0,238.5,234.5,1.69,14.3,5.13,,,,,
223,4542,科嶠,櫃,06/02,,236.5,-25.5,-9.73,1261,310.0,262.0,262.0,262.0,236.0,9.92,194.0,9.48,,,,,
224,3227,原相,櫃,06/02,,235.0,2.0,0.86,2907,677.0,233.0,233.0,236.0,229.5,2.79,20.9,3.11,,,,,
225,7810,捷創科技,櫃,06/02,,234.5,-9.5,-3.89,197,46.5,244.0,247.0,247.0,231.5,6.35,38.1,4.83,,,,,
226,1623,大東電,市,06/02,,234.0,-6.0,-2.5,249,58.4,240.0,240.0,240.0,232.0,3.33,16.6,3.86,,,,,
227,2912,統一超,市,06/02,,233.0,5.5,2.42,13702,3147.0,227.5,225.5,233.5,220.0,5.93,21.3,5.21,,,,,
228,3455,由田,櫃,06/02,,232.5,-11.5,-4.71,1914,449.0,244.0,248.0,248.5,229.5,7.79,131.0,6.02,,,,,
229,4908,前鼎,櫃,06/02,,232.0,4.5,1.98,3785,907.0,227.5,239.0,249.5,230.5,8.35,117.0,10.18,,,,,
230,6173,信昌電,櫃,06/02,,231.5,-5.5,-2.32,1829,403.0,237.0,225.0,231.5,214.5,7.17,62.1,4.45,,,,,
231,2603,長榮,市,06/02,,231.0,7.0,3.12,35902,8174.0,224.0,225.0,231.0,220.5,4.69,10.1,0.86,,,,,
232,4931,新盛力,櫃,06/02,,231.0,-7.5,-3.14,7792,1804.0,238.5,235.0,239.5,226.0,5.66,72.2,11.4,,,,,
233,2301,光寶科,市,06/02,,227.5,-7.0,-2.99,47110,10687.0,234.5,225.0,230.0,223.0,2.99,33.5,5.86,,,,,
234,006204,永豐臺灣加權,市,06/02,,227.2,-1.1,-0.48,137,31.2,228.3,227.7,227.8,227.1,0.31,,0.9952,,,,,
235,1477,聚陽,市,06/02,,226.0,3.5,1.57,2459,549.0,222.5,222.5,226.0,220.5,2.47,16.3,4.29,,,,,
236,6829,千附精密,櫃,06/02,,225.0,-20.5,-8.35,3161,726.0,245.5,249.0,250.0,221.0,11.8,54.0,6.53,,,,,
237,8069,元太,櫃,06/02,,224.0,-1.0,-0.44,6955,1535.0,225.0,223.5,227.0,216.0,4.89,23.3,4.01,,,,,
238,5292,華懋,市,06/02,,223.5,-6.0,-2.61,171,38.4,229.5,229.5,229.5,221.0,3.7,22.1,5.21,,,,,
239,8227,巨有科技,櫃,06/02,,223.0,4.0,1.83,2446,545.0,219.0,220.0,229.0,214.0,6.85,88.5,7.57,,,,,
240,1503,士電,市,06/02,,222.0,1.5,0.68,6460,1413.0,220.5,220.5,222.5,214.0,3.85,33.0,3.05,,,,,
241,3130,一零四,市,06/02,,221.5,0.0,0.0,32,6.99,221.5,220.5,221.5,220.5,0.45,14.7,4.03,,,,,
242,3581,博磊,櫃,06/02,,221.5,-22.5,-9.22,1630,373.0,244.0,240.0,250.0,220.0,12.3,165.0,12.48,,,,,
243,6146,耕興,櫃,06/02,,221.5,-6.0,-2.64,764,170.0,227.5,227.5,227.5,220.5,3.08,20.3,3.67,,,,,
244,00670L,富邦NASDAQ正2,市,06/02,,221.4,-1.15,-0.52,945,208.0,222.55,219.8,221.4,219.0,1.08,,0.9964,,,,,
245,3147,大綜,櫃,06/02,,220.5,20.0,9.98,2252,494.0,200.5,215.5,220.5,215.0,2.74,24.7,6.01,,,,,
246,6568,宏觀,櫃,06/02,,220.5,-18.0,-7.55,986,219.0,238.5,238.5,238.5,215.0,9.85,54.3,4.44,,,,,
247,2247,汎德永業,市,06/02,,220.0,2.5,1.15,61,13.3,217.5,216.0,220.0,216.0,1.84,13.9,1.43,,,,,
248,3090,日電貿,市,06/02,,220.0,-13.5,-5.78,2465,542.0,233.5,233.0,233.0,215.0,7.71,44.9,3.59,,,,,
249,6672,騰輝電子-KY,市,06/02,,215.5,-4.5,-2.05,4396,945.0,220.0,220.0,221.0,211.5,4.32,39.0,4.15,,,,,
