排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
136,1434,福懋,16.7,-0.7,-4.02,06/26,-9.12,-10.1,-22.8,-22.7,-28.4,-32.8,5.39,-1.35,-51.6,-4.29
137,006208,富邦台50,238.7,-9.4,-3.79,06/26,0.0,0.0,0.4,-22.7,-33.9,-41.1,-47.9,-22.5,-74.5,-20.0
138,3438,類比科,70.0,-3.6,-4.89,06/26,0.0,1.99,-5.0,-22.6,-30.0,-1.72,-10.6,21.9,36.1,-5.7
139,6166,凌華,142.0,-5.0,-3.4,06/26,-2.96,-9.03,-3.17,-22.5,-27.7,1.84,-27.3,-26.2,-20.9,-27.1
140,2734,易飛網,15.3,-0.25,-1.61,06/26,0.0,0.0,-22.4,-22.4,-22.4,-22.4,-27.7,-35.2,-38.7,-35.2
141,2114,鑫永銓,88.5,-1.1,-1.23,06/26,-8.55,-7.89,-24.9,-22.4,-5.17,87.7,163.0,344.0,145.0,344.0
142,2405,輔信,17.05,-1.05,-5.8,06/26,-3.75,-3.65,-13.0,-22.1,-30.4,-10.9,-16.1,39.3,-15.6,41.6
143,6170,統振,51.8,-0.9,-1.71,06/26,0.0,-1.2,-21.9,-21.9,-20.0,-19.9,-26.6,35.2,1.64,35.2
144,3645,達邁,87.1,-4.5,-4.91,06/26,-6.1,-10.7,-12.9,-21.9,-33.5,-29.2,-34.8,-37.4,-48.7,-37.9
145,2399,映泰,48.5,-3.8,-7.27,06/26,-4.9,0.35,-14.6,-21.5,-22.2,-27.7,28.4,-27.9,70.9,-30.3
146,2816,旺旺保,33.05,-0.5,-1.49,06/26,-11.3,-11.3,-11.3,-21.5,-24.5,-27.3,32.4,4.66,-43.1,3.72
147,8042,金山電,180.5,-20.0,-9.98,06/26,0.0,0.45,-13.6,-21.3,-32.7,-14.4,-79.2,-87.6,-64.2,-87.9
148,3577,泓格,118.0,-3.5,-2.88,06/26,-0.62,4.2,-21.3,-21.3,-17.8,-39.3,-27.0,-55.8,69.1,-55.2
149,3591,艾笛森,26.45,-0.8,-2.94,06/26,-14.3,-10.7,-21.5,-21.1,-20.7,-23.9,-21.0,33.2,-28.7,32.7
150,2906,高林,14.2,1.25,9.65,06/26,0.3,-3.18,-3.18,-21.0,-21.3,-21.1,-20.3,-13.3,-30.4,-13.4
151,2423,固緯,73.5,-4.7,-6.01,06/26,-0.25,-2.88,-2.65,-20.9,-19.2,-20.6,-26.0,-20.3,-52.6,-20.3
152,2103,台橡,20.25,-1.2,-5.59,06/26,-3.13,-3.9,-11.8,-20.9,-25.2,-34.3,-16.2,39.7,44.4,32.6
153,2838,聯邦銀,22.45,-0.35,-1.54,06/26,0.39,-6.76,-22.2,-20.7,-15.1,-21.0,12.5,-20.3,61.2,-21.0
