排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 成交,2日 買賣超 佔 成交,3日 買賣超 佔 成交,5日 買賣超 佔 成交,10日 買賣超 佔 成交,1個月 買賣超 佔 成交,3個月 買賣超 佔 成交,半年 買賣超 佔 成交,1年 買賣超 佔 成交,3年 買賣超 佔 成交,10年 買賣超 佔 成交,今年 買賣超 佔 成交
121,2897,王道銀行,10.55,0.05,0.48,07/16,0.0,0.18,0.92,0.95,3.12,2.86,0.1,0.04,-0.11,0.07,,0.04
122,3260,威剛,400.5,-7.5,-1.84,07/16,0.45,-0.33,0.55,0.95,2.82,-0.47,-1.9,-1.45,-0.2,-0.03,0.08,-1.39
123,1590,亞德客-KY,1350.0,-15.0,-1.1,07/16,0.13,0.28,1.36,0.93,0.75,2.45,1.66,1.0,0.46,-0.07,-0.11,0.96
124,5904,寶雅,623.0,-29.0,-4.45,07/16,-2.52,-1.5,1.31,0.89,-1.11,0.69,1.19,0.97,0.13,0.25,0.01,1.35
125,6739,竹陞科技,1215.0,110.0,9.95,07/16,0.0,0.39,0.25,0.87,0.24,0.18,-1.69,-0.08,0.07,,,-0.11
126,8021,尖點,505.0,-27.0,-5.08,07/16,1.75,1.48,1.24,0.86,-1.98,-0.11,-0.74,-0.21,-0.06,-0.05,-0.04,0.08
127,3491,昇達科,1310.0,115.0,9.62,07/16,0.07,0.07,0.54,0.82,0.32,-1.15,-0.69,-0.68,-0.36,0.19,0.03,-0.5
128,8039,台虹,199.5,18.0,9.92,07/16,0.0,1.72,0.96,0.78,0.45,0.33,-0.01,-0.03,0.0,0.0,0.0,-0.03
129,2337,旺宏,136.5,-12.0,-8.08,07/16,0.02,1.47,1.08,0.75,0.47,-0.52,-0.62,-0.29,0.1,0.05,0.1,-0.09
130,8150,南茂,122.5,8.5,7.46,07/16,-0.11,-0.09,-0.07,0.68,1.24,0.67,0.9,0.62,0.42,0.34,0.15,0.55
131,6435,大中,308.5,-16.0,-4.93,07/16,6.29,2.7,1.29,0.62,0.16,0.1,0.04,0.03,0.02,0.01,0.0,0.03
132,5439,高技,289.0,-7.0,-2.36,07/16,6.67,3.63,1.47,0.61,0.18,-3.44,-1.19,-0.55,0.24,0.02,0.07,-0.22
133,6282,康舒,53.0,-3.2,-5.69,07/16,0.0,0.0,0.12,0.6,1.35,0.6,0.05,0.05,0.04,0.02,0.02,0.06
134,6213,聯茂,325.0,-10.0,-2.99,07/16,-0.23,0.05,0.17,0.57,1.57,1.55,0.43,0.38,0.16,0.12,0.06,0.31
135,2646,星宇航空,21.55,0.25,1.17,07/16,-0.06,0.04,0.5,0.57,1.93,1.26,0.45,0.33,0.17,,,0.31
136,6182,合晶,166.0,-13.5,-7.52,07/16,-0.03,-0.3,-0.63,0.55,0.76,1.32,0.92,0.77,0.57,0.23,0.07,0.72
137,1907,永豐餘,28.4,-0.8,-2.74,07/16,-0.22,0.01,0.81,0.54,2.14,2.34,0.82,0.4,0.73,-5.53,0.02,0.43
138,6683,雍智科技,1350.0,-120.0,-8.16,07/16,0.09,0.3,0.52,0.49,-0.27,0.43,-1.51,0.73,0.41,0.14,,0.67
139,2501,國建,22.9,0.45,2.0,07/16,0.0,0.69,0.56,0.44,1.23,1.03,0.12,-0.31,0.13,0.03,0.02,-0.32
140,5475,德宏,175.5,-2.5,-1.4,07/16,3.19,1.33,0.67,0.43,0.49,0.28,-0.31,0.81,0.32,0.23,0.08,0.74
141,2412,中華電,136.0,3.0,2.26,07/16,-1.41,-3.61,-0.05,0.43,6.94,8.58,7.12,4.41,2.55,2.18,0.75,4.15
142,1229,聯華,41.45,0.95,2.35,07/16,-0.2,-0.05,0.32,0.42,1.0,0.89,0.31,0.22,0.11,0.03,0.01,0.21
143,3413,京鼎,382.0,34.0,9.77,07/16,0.97,0.65,0.51,0.42,3.95,2.01,-0.23,-0.2,-0.74,0.14,0.04,-0.25
144,8926,台汽電,67.0,-0.7,-1.03,07/16,-0.06,2.24,0.99,0.4,0.19,6.07,2.32,2.03,1.62,0.75,0.34,2.0
145,2204,中華,57.9,0.3,0.52,07/16,-0.21,-0.33,0.54,0.38,2.18,7.77,3.01,0.37,-0.26,-0.73,0.17,0.09
146,3596,智易,189.0,-2.0,-1.05,07/16,0.0,0.06,0.34,0.36,0.68,11.9,4.69,1.91,1.05,-0.59,-0.07,1.87
