"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股100張以下(%)","100張以下增減","持股200張以下(%)","200張以下增減","持股400張以下(%)","400張以下增減","持股600張以下(%)","600張以下增減"
"1486","4438","廣越","59.9","-0.4","-0.66","26W32","08/07","20.7","+0.12","26","0","33.7","+0.15","39.3","+0.15"
"1487","2348A","海悅甲特","38.3","0","0","26W32","08/07","22.9","+0.04","29.8","+0.66","34.2","-0.02","34.2","-0.02"
"1488","5547","久舜","19.85","+0.05","+0.25","26W32","08/07","18.7","+0.24","26","-0.03","34.2","0","36","0"
"1489","2231","為升","92.9","-2.1","-2.21","26W32","08/07","27","-0.4","30.1","-0.18","33.5","-0.13","37.4","-0.08"
"1490","6669","緯穎","7200","+385","+5.65","26W32","08/07","19.4","-0.12","26.1","-0.18","34.8","-0.68","40.9","-0.33"
"1491","1717","長興","77.7","+1.9","+2.51","26W32","08/07","28.9","-0.38","32.2","-0.44","35.4","-0.54","38","-0.46"
"1492","2820","華票","16.65","+0.05","+0.3","26W32","08/07","25.3","+0.06","29.9","+0.15","34.1","+0.26","36","+0.3"
"1493","3679","新至陞","106.5","-3","-2.74","26W32","08/07","23.2","-0.09","28.7","0","34.1","0","39.2","0"
"1494","3380","明泰","28.15","+0.3","+1.08","26W32","08/07","27.9","-0.1","31.4","0","34.1","-0.22","35.5","+0.08"
"1495","2542","興富發","47","-0.75","-1.57","26W32","08/07","28.2","-0.04","32.7","-0.06","35.5","-0.1","36.9","-0.27"
"1496","6496","科懋","24.6","0","0","26W32","08/07","29.8","0","31.3","0","34","0","34","0"
"1497","6661","威健生技","16.4","-0.85","-4.93","26W32","08/07","21.9","0","26.9","0","34.1","0","38.3","0"
"1498","5016","松和","24.8","-0.25","-1","26W32","08/07","23.7","-0.04","26.5","-0.04","34","0","37.2","0"
"1499","4402","郡都開發","14.5","-0.35","-2.36","26W32","08/07","23.3","-0.27","29.6","-0.55","34","-0.25","38.6","-0.25"
"1500","1446","宏和","13.65","+0.05","+0.37","26W32","08/07","24.3","+0.11","30","+0.01","34.5","+0.05","36.6","0"
