排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 週別,更新 日期,持股 100張 以下 (%),100張 以下 增減,持股 200張 以下 (%),200張 以下 增減,持股 400張 以下 (%),400張 以下 增減,持股 600張 以下 (%),600張 以下 增減
141,0052,富邦科技,62.7,1.1,1.79,26W36,09/04,73.3,0.16,77.7,0.18,80.1,0.17,81.1,0.28
142,4951,精拓科,80.0,1.8,2.3,26W36,09/04,62.0,-0.73,69.0,0.15,80.0,0.16,82.8,0.14
143,3047,訊舟,13.65,0.25,1.87,26W36,09/04,70.0,0.33,75.6,0.09,80.0,-0.2,82.5,-0.23
144,009827,玉山未來全球算力,10.2,0.27,2.72,26W36,09/04,60.9,,70.7,,80.0,,84.0,
145,009816,凱基台灣TOP50,15.9,0.28,1.79,26W36,09/04,62.7,-0.26,73.0,-0.3,79.8,-0.34,83.0,-0.24
146,00993A,主動安聯台灣,13.34,0.26,1.99,26W36,09/04,66.1,1.52,73.8,1.5,79.8,1.7,83.7,1.85
147,00635U,期元大S&P黃金,46.21,0.45,0.98,26W36,09/04,67.9,9.23,74.7,10.4,79.8,11.2,80.9,10.9
148,00949,復華日本龍頭,22.01,0.19,0.87,26W36,09/04,70.2,-0.22,77.1,-0.27,79.7,-0.26,83.0,-0.91
149,00735,國泰臺韓科技,104.05,3.45,3.43,26W36,09/04,71.2,1.4,76.2,1.35,79.7,1.36,83.4,2.65
150,00402A,主動安聯美國科技,9.51,0.16,1.71,26W36,09/04,65.9,0.05,74.6,-0.02,79.7,-0.02,83.8,-0.3
151,00875,國泰網路資安,53.35,1.15,2.2,26W36,09/04,72.9,-3.19,76.8,-4.35,79.7,-2.97,87.5,0.71
152,00406A,主動中信台灣收益,9.57,0.11,1.16,26W36,09/04,52.8,1.05,67.9,1.57,79.7,2.14,85.4,2.28
153,1591,駿吉-KY,35.75,0.35,0.99,26W36,09/04,60.7,-0.05,70.5,-0.05,79.6,-0.04,87.5,-0.04
154,3060,銘異,26.5,0.8,3.11,26W36,09/04,64.0,0.81,71.5,0.13,79.4,0.89,82.3,2.09
155,00964,中信亞太高股息,15.04,0.17,1.14,26W36,09/04,61.6,2.84,73.7,4.39,79.4,5.17,82.6,3.78
156,00830,國泰費城半導體,80.95,1.55,1.95,26W36,09/04,71.4,0.4,76.0,0.45,79.4,0.35,80.5,0.26
157,3323,加百裕,28.9,0.35,1.23,26W36,09/04,71.7,-0.07,76.4,-0.67,79.4,0.11,80.3,0.1
158,00996A,主動兆豐台灣豐收,13.94,0.34,2.5,26W36,09/04,68.7,1.74,75.7,1.86,79.4,1.81,82.3,1.54
159,6243,迅杰,39.4,0.55,1.42,26W36,09/04,73.9,0.96,77.8,0.58,79.3,-0.02,82.3,0.0
160,6533,晶心科,264.0,0.0,0.0,26W36,09/04,64.7,-0.53,71.5,-0.96,79.2,0.06,82.0,-0.01
161,009814,富邦標普500,11.43,0.12,1.06,26W36,09/04,66.0,-0.78,74.1,-0.66,79.2,-1.11,81.9,-1.16
162,00898,國泰基因免疫革命,11.02,0.05,0.46,26W36,09/04,65.8,-0.84,73.9,-0.79,79.1,-0.46,83.4,-0.28
163,006206,元大上證50,38.13,0.39,1.03,26W36,09/04,65.5,-0.59,72.9,-0.59,79.1,-0.59,79.1,-0.59
164,00675L,富邦臺灣加權正2,322.05,12.05,3.89,26W36,09/04,72.1,-0.18,76.9,-0.51,79.1,-0.78,80.1,-1.13
165,8277,商丞,8.0,0.01,0.13,26W36,09/04,62.9,-0.73,70.9,-0.84,79.0,-0.55,82.2,-0.54
166,00636,國泰中國A50,27.75,0.37,1.35,26W36,09/04,60.8,0.09,73.4,0.29,78.9,0.37,84.4,-0.18
167,009815,大華美國MAG7+,11.62,0.22,1.93,26W36,09/04,64.5,0.1,73.0,0.01,78.9,0.09,81.8,0.11
168,8038,長園科,31.9,1.05,3.4,26W36,09/04,69.6,-0.29,75.8,-0.01,78.8,-0.06,81.1,-0.03
169,00947,台新臺灣IC設計,37.43,0.74,2.02,26W36,09/04,69.9,1.29,75.0,1.46,78.8,1.76,79.6,1.45
170,6127,九豪,49.05,2.2,4.7,26W36,09/04,70.9,2.21,74.3,2.96,78.5,1.93,80.2,1.95
171,00913,兆豐台灣晶圓製造,47.6,0.88,1.88,26W36,09/04,71.1,-1.24,75.0,-0.78,78.5,-2.02,79.5,-1.96
