" "," ","#","股票代號/名稱","類別","20260211","0226","0306","0313","0320","0327"," ","走 勢","總增減"," ","上週持有%","今日收盤價","今日漲跌"," "
" "," ","67","4919新唐","半導體","0.37","1.22","-0.67","0.59","2.78","-1.77"," ","30","2.52"," ","63.77","94.90","-7.60"," "
" "," ","68","3717聯嘉投控","汽車","0.07","0.10","0.47","0.39","0.82","0.66"," ","30","2.51"," ","45.46","21.65","-0.85"," "
" "," ","69","6215和椿","其他電子","-0.02","0.44","1.06","0.53","0.77","-0.32"," ","30","2.46"," ","33.95","99.30","-1.70"," "
" "," ","70","3596智易","通信網路","0.79","0.39","0.64","0.97","0.39","-0.73"," ","10","2.45"," ","73.04","157.50","-10.50"," "
" "," ","71","2236百達-KY","汽車","0.56","0.12","0.39","0.70","0.53","0.13"," ","10","2.43"," ","77.04","111.50","-2.50"," "
" "," ","72","2409友達","光電","1.67","-0.04","0.40","2.83","-1.65","-0.79"," ","31","2.42"," ","48.89","14.30","-0.10"," "
" "," ","73","3010華立","電子通路","0.30","0.42","-0.11","0.99","0.56","0.24"," ","10","2.40"," ","65.72","120.50","-2.50"," "
" "," ","74","6805富世達","電子零組件","0.04","-0.67","2.09","0.37","1.70","-1.16"," ","30","2.37"," ","62.82","1830.00","-75.00"," "
" "," ","75","3006晶豪科","半導體","0.14","-2.35","-0.23","1.37","6.37","-2.94"," ","30","2.36"," ","56.53","166.50","-5.50"," "
" "," ","76","2340台亞","半導體","-0.25","0.11","0.48","0.32","1.62","0.03"," ","30","2.31"," ","38.87","25.35","-1.45"," "
" "," ","77","2316楠梓電","電子零組件","0.33","1.28","-0.88","-1.27","3.70","-0.88"," ","30","2.28"," ","61.77","101.50","-3.00"," "
" "," ","78","3356奇偶","光電","-0.18","-0.07","-0.97","0.32","1.79","1.38"," ","30","2.27"," ","28.96","48.35","-1.35"," "
" "," ","79","3040遠見","其他","0.67","0.01","0.18","0.22","0.18","0.99"," ","31","2.25"," ","70.45","53.50","0.00"," "
" "," ","80","6405悅城","光電","0.56","0.84","0.45","0.27","0.35","-0.24"," ","30","2.23"," ","54.06","31.55","0.90"," "
" "," ","81","2630亞航","航運","0.28","1.26","0.27","0.24","0.17","0.01"," ","10","2.23"," ","66.31","49.50","1.45"," "
" "," ","82","2603長榮","航運","-0.03","0.62","0.54","0.55","1.11","-0.58"," ","30","2.21"," ","67.80","203.50","2.50"," "
" "," ","83","6206飛捷","電腦週邊","0.80","-0.09","0.17","0.39","0.37","0.57"," ","31","2.21"," ","49.08","99.50","-2.00"," "
" "," ","84","1466聚隆","紡織","1.46","0.04","1.99","-0.56","-0.91","0.15"," ","31","2.17"," ","71.83","16.60","-0.50"," "
" "," ","85","3530晶相光","半導體","0.53","-0.52","0.52","0.54","0.65","0.44"," ","30","2.16"," ","58.30","57.30","-1.30"," "
" "," ","86","6024群益期","金融","0.01","0.03","0.59","0.73","0.85","-0.06"," ","30","2.15"," ","67.65","55.20","0.40"," "
" "," ","87","3034聯詠","半導體","0.34","0.61","0.32","0.14","0.08","0.62"," ","31","2.11"," ","67.96","391.00","-8.00"," "
