" "," ","#","個股代號/名稱","類別","前二月","前一月","本  月","走 勢","總增減"," ","前二月","前一月","本  月","走 勢","總增減","今日收盤價","今日漲跌"," "
" "," ","","1452宏益","紡織","8.21","8.21","8.21","32","0.00"," ","10,892","10,892","10,892","32","0","11.20","0.00"," "
" "," ","","1453大將","營建","19.67","19.67","19.67","32","0.00"," ","22,275","22,275","22,275","32","0","12.30","-0.05"," "
" "," ","","1454台富","紡織","29.89","29.89","29.89","32","0.00"," ","38,816","38,816","38,816","32","0","12.85","-0.10"," "
" "," ","","1455集盛","紡織","16.4","16.4","16.4","32","0.00"," ","87,234","87,234","87,234","32","0","8.92","0.04"," "
" "," ","","1456怡華","營建","47.63","47.63","47.63","32","0.00"," ","44,644","44,644","44,644","32","0","14.30","-0.10"," "
" "," ","","1457宜進","紡織","9.41","9.41","9.41","32","0.00"," ","29,826","29,826","29,826","32","0","15.00","-0.15"," "
" "," ","","1459聯發","紡織","17.23","17.34","17.47","50","0.24"," ","61,826","62,217","62,656","50","830","11.65","-0.15"," "
" "," ","","1460宏遠","紡織","26.89","26.89","26.89","32","0.00"," ","186,791","186,791","186,791","32","0","7.18","0.01"," "
" "," ","","1463強盛新","紡織","15.21","15.21","15.42","41","0.21"," ","26,369","26,369","26,719","41","350","17.95","0.00"," "
" "," ","","1464得力","紡織","9.38","9.38","9.38","32","0.00"," ","39,929","39,929","39,929","32","0","10.50","0.15"," "
" "," ","","1465偉全","紡織","20.86","20.86","20.86","32","0.00"," ","21,620","21,620","21,620","32","0","12.15","-0.05"," "
" "," ","","1466聚隆","紡織","23.96","23.96","23.96","32","0.00"," ","26,635","26,635","26,635","32","0","16.60","-0.50"," "
" "," ","","1467南緯","紡織","34.2","34.21","34.21","40","0.01"," ","79,919","79,928","79,928","40","9","7.10","0.07"," "
" "," ","","1468昶和","紡織","30.29","30.29","30.29","32","0.00"," ","48,602","48,602","48,602","32","0","11.70","-0.10"," "
" "," ","","1470大統新創","紡織","13.75","13.75","13.75","32","0.00"," ","11,795","11,795","11,795","32","0","21.70","-0.50"," "
" "," ","","1471首利","電子零組件","12.74","12.74","12.74","32","0.00"," ","19,173","19,173","19,173","32","0","12.50","-0.65"," "
" "," ","","1472三洋實業","營建","32.97","32.97","32.97","32","0.00"," ","17,308","17,308","17,308","32","0","95.70","-1.10"," "
" "," ","","1473台南","紡織","21.8","21.8","21.8","32","0.00"," ","31,867","31,867","31,867","32","0","23.45","-0.45"," "
" "," ","","1474弘裕","紡織","18.67","18.67","18.67","32","0.00"," ","24,254","24,254","24,254","32","0","9.95","-0.05"," "
" "," ","","1475業旺","紡織","47.84","47.84","47.84","32","0.00"," ","31,588","31,588","31,588","32","0","28.25","-0.05"," "
" "," ","","1476儒鴻","紡織","11.09","11.09","11.09","32","0.00"," ","30,430","30,430","30,430","32","0","334.00","-9.50"," "
" "," ","","1477聚陽","紡織","7.41","7.42","7.42","40","0.01"," ","18,286","18,306","18,306","40","20","235.50","-11.50"," "
" "," ","","1503士電","電機","26.69","26.69","26.69","32","0.00"," ","139,061","139,061","139,061","32","0","184.50","-4.50"," "
" "," ","","1504東元","電機","5.56","5.56","5.56","32","0.00"," ","132,366","132,366","132,366","32","0","62.70","-1.10"," "
" "," ","","1506正道","電機","30.36","30.36","30.36","32","0.00"," ","91,200","91,200","91,200","32","0","11.30","-0.05"," "
" "," ","","1512瑞利","汽車","13.88","13.88","13.88","32","0.00"," ","13,634","13,634","13,634","32","0","7.44","-0.05"," "
" "," ","","1513中興電","電機","10.57","10.57","10.57","32","0.00"," ","53,212","53,212","53,212","32","0","149.00","-3.00"," "
" "," ","","1514亞力","電機","13","13","13","32","0.00"," ","35,519","35,519","35,507","20","-12","105.00","-4.00"," "
" "," ","","1515力山","電機","16.45","16.45","16.45","32","0.00"," ","29,855","29,855","29,855","32","0","24.00","-0.30"," "
