統一代號,股票名稱,產業別,B0_股價日期,B0_成交,B0_漲跌幅,B0_成交張數,B0_成交額(百萬),B0_PER,B0_5日均量,B0_5日均額(百萬),B0_量價狀態,B0_金額日變化率(%),B0_爆發倍數(X),今日上榜,△,法人持股,外資持股比,最新動態,5日ΔChange,20日ΔChange,60日ΔChange,120日ΔChange,B2_外資成交動態,B2_投信成交動態,B2_外資發行動態,B2_投信發行動態,B3_連買狀態,軋空評估,套牢評估,B4_融資減幅_當日,B4_融資減幅_5日,B4_融資減張_當日,B4_融資減張_5日,B4_融資減張_當日估算(萬),B4_借券減幅_當日,B4_借券減幅_5日,B4_借券減張_當日,B4_借券減張_5日,B4_借券減張_當日估算(萬),B4_融券增幅_當日,B4_融券增幅_5日,B4_融券增張_當日,B4_融券增張_5日,B4_融券增張_當日估算(萬),B4_融資增幅_當日,B4_融資增幅_5日,B4_借券增幅_當日,B4_借券增幅_5日,B4_融資增張_當日,B4_融資增張_5日,B4_融資增張_當日估算(萬),B4_借券增張_當日,B4_借券增張_5日,B4_借券增張_當日估算(萬),B4_借券實際減額_當日,B4_借券實際減額_5日,B4_借券實際增額_當日,B4_借券實際增額_5日,B5_1000張_週動態,B5_1000張_最新週,B5_1000張_6周,B5_800張_週動態,B5_800張_最新週,B5_800張_6周,B5_600張_週動態,B5_600張_最新週,B5_600張_6周,B5_400張_週動態,B5_400張_最新週,B5_400張_6周,B5_共振狀態,B6_總額(億),B6_成交均價,B6_收盤價,B6_防守狀態,B7_董監持股%,B7_董監質押%,B7_持股近月增減%,B7_持股動態,B7_持股近半年增減%,B7_質押近月增減%,B7_質押動態,B8_日連買,B8_週連買,B8_囤貨張數
8112,至上,電子通路業,09/17,82.8,0.36,5189.0,431.0,5.98,4939.0,412.0,⏸️ 平量滯漲 (拋壓增大，高位見頂),6.419753086419755,1.05,,0.0,,14.90,🔄 持平,,,,,,🔄 持平 (0.0%),,🔄 今日量縮持平,🏦 投信週連買(3)-🌱 週線發動,,,,,,,,,,,,,,,,,,,,3.72,7.73,98.0,187.0,811.4,1006.0,2011.0,8329.7,,,8361.0,16755.0,🚨 劇減,-1.98,-3.0300000000000002,🚨 劇減,-2.42,-3.29,🚨 劇減,-2.06,-0.8800000000000003,🚨 劇減,-2.26,-1.1999999999999993,,0.53,83,83.1,🛡️ 防守成功,4.29,22.7,0.05,↗️ 微增,0.05,-0.3,↘️ 微減,3,4,1881.0
8114,振樺電,電腦及週邊設備業,09/17,178.5,0.85,348.0,62.0,8.22,339.0,60.26,⏸️ 平量滯漲 (拋壓增大，高位見頂),10.912343470482998,1.03,🟢60日,0.11000000000000298,16.12499646453292,13.90,🪜 階梯吸籌 | 📈 上升,,,3.1982334133095165,,🔥 強延續 (27.7%),,🔥 持續加碼 (0.13%),,🌐 外資日連買(2)-🆕 試單觀察,,,,,,,,,,,,,,,,,,,,,,,,,,,,-962.0,-597.0,,,📉 小減,-0.93,-1.08,🚨 劇減,-2.06,-2.28,↘️ 微減,-0.17,-0.37,↘️ 微減,-0.16,-1.2800000000000002,,,,,,2.19,0,0.02,↗️ 微增,0.03,0.0,➖ 持平,18,4,715.0
8131,福懋科,半導體業,09/17,59.1,0.34,977.0,58.0,17.1,1233.0,73.12,⏸️ 平量滯漲 (拋壓增大，高位見頂),33.33333333333333,0.79,,0.0,,3.10,🔄 持平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.28,10.7,,,,143.0,1092.0,845.1,,,849.0,6456.0,📉 小減,-0.56,-0.7999999999999999,↘️ 微減,-0.35,-0.5699999999999998,📉 小減,-0.51,-0.3899999999999998,↘️ 微減,-0.25,-0.2799999999999999,,,,,,62.7,0,0.0,🔄 持平,0.0,0.0,➖ 持平,1,4,851.0
8150,南茂,半導體業,09/17,86.7,-0.46,15264.0,1350.0,26.9,13676.0,1188.2,⏸️ 平量滯漲 (拋壓增大，高位見頂),85.69463548830811,1.14,🟡20日,0.18999999999999773,38.01899358258965,37.40,🪜 階梯吸籌 | ⚠️ 趨緩,,1.7425177934329454,,,,🔄 持平 (0.0%),💤 籌碼沉澱中,🔄 今日量縮持平,🌐 外資日連買(2)-🆕 試單觀察 | 🏦 投信週連買(4)-🌱 週線發動,,,,,-362.0,-820.0,-3138.5,,,133.0,-557.0,1153.1,,,,,,,,,,,,,,,,1176.0,-4828.0,,,🔥 大增,1.49,-3.7,📈 小增,0.7,-3.4700000000000006,📈 小增,0.7,-3.27,↗️ 微增,0.34,-3.04,雙引擎,,,,,12.0,0,0.0,🔄 持平,0.0,0.0,➖ 持平,2,4,6973.0
8163,達方,電腦及週邊設備業,09/17,29.8,0.51,350.0,10.4,50.5,451.0,13.32,⏸️ 平量滯漲 (拋壓增大，高位見頂),-26.241134751773043,0.78,🔵120日,0.0,9.007312143152456,9.10,🔄 持平,,,,2.177850002007678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,📉 小減,-0.55,-0.56,📉 小減,-0.52,-0.5800000000000001,↘️ 微減,-0.26,-0.5399999999999999,↘️ 微減,-0.27,-1.06,,,,,,22.4,0,0.0,🔄 持平,0.0,0.0,➖ 持平,5,4,667.0
8201,無敵,其他電子業,09/17,11.65,-0.85,16.0,0.19,,15.0,0.18,⏸️ 平量滯漲 (拋壓增大，高位見頂),89.99999999999999,1.06,,,,0.80,,,,,,,,,,,,⚠️ 初危,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🔄 持平,0.0,0.0,🔄 持平,-0.0,0.0,🔄 持平,-0.0,0.0,↗️ 微增,0.1,0.29000000000000004,,,,,,37.5,0,0.0,🔄 持平,0.0,0.0,➖ 持平,2,4,94.0
8210,勤誠,電腦及週邊設備業,09/17,891.0,0.91,882.0,790.0,23.2,778.0,693.6,⏸️ 平量滯漲 (拋壓增大，高位見頂),56.74603174603175,1.14,,0.0,,8.80,🔄 持平,,,,,,,💤 籌碼沉澱中,,,,,,,,,,,,32.0,-116.0,2851.2,9.09,20.0,,,,,,,,16.0,115.0,1425.6,,,,2864.0,-10252.0,,,⚠️ 大減,-1.34,-5.69,📉 小減,-0.55,-4.27,⚠️ 大減,-1.15,-4.17,📉 小減,-0.83,-4.26,,,,,,11.9,0,0.0,🔄 持平,-0.1,0.0,➖ 持平,2,4,1356.0
8213,志超,電子零組件業,09/17,32.55,0.15,173.0,5.67,16.6,303.0,9.76,⚖️ 溫和震盪整理,-40.25289778714436,0.58,,0.0,,21.00,🔄 持平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,↘️ 微減,-0.05,-0.43000000000000005,↘️ 微減,-0.39,-0.10999999999999993,↗️ 微增,0.14,0.72,↘️ 微減,-0.05,0.46,,,,,,4.58,0,0.0,🔄 持平,0.0,0.0,➖ 持平,5,4,942.0
8215,明基材,光電業,09/17,27.0,4.45,3835.0,102.0,,1709.0,44.34,🚀 放量大漲 (量價齊升，持續看漲),22.009569377990434,2.3,,0.0,,1.50,🔄 持平,,,,,🔄 持平 (0%),⚠️ 趨緩 (0.26%),,🔄 今日量縮持平,🏦 投信週連買(3)-🌱 週線發動,,,,,,,,,,,,,32.3,36.7,10.0,11.0,27.0,5.88,11.1,,,196.0,352.0,529.2,,,,,,,,↗️ 微增,0.13,0.94,↘️ 微減,-0.15,0.6300000000000001,↗️ 微增,0.08,0.44,↗️ 微增,0.07,0.47000000000000003,雙引擎 | 長短線,,,,,38.8,0,0.0,🔄 持平,0.0,0.0,➖ 持平,10,4,794.0
8222,寶一,電機機械,09/17,35.0,1.01,194.0,6.78,25.9,270.0,9.39,⏸️ 平量滯漲 (拋壓增大，高位見頂),-1.1661807580174988,0.72,,0.0,,2.10,🔄 持平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🔄 持平,0.0,0.0,🔄 持平,-0.0,0.0,⚠️ 大減,-1.11,-0.8700000000000002,↘️ 微減,-0.21,-0.49,,,,,,12.8,0,0.0,🔄 持平,0.3,0.0,➖ 持平,2,3,245.0
8249,菱光,電子零組件業,09/17,38.4,1.19,154.0,5.92,15.1,157.0,5.95,⏸️ 平量滯漲 (拋壓增大，高位見頂),12.761904761904752,0.99,,0.0,,1.70,🔄 持平,,,,,🔄 持平 (0%),,,,🌐 外資日連買(4)-🆕 試單觀察,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🔄 持平,0.0,-0.03,📈 小增,0.65,0.62,↗️ 微增,0.18,0.23,↘️ 微減,-0.46,-0.38000000000000006,,,,,,31.2,0,0.0,🔄 持平,0.0,0.0,➖ 持平,3,4,302.0
8261,富鼎,半導體業,09/17,169.0,-2.59,2090.0,359.0,25.3,2235.0,376.2,🥀 平量價縮 (下跌中繼，弱反彈信號),-26.4344262295082,0.95,🔴5日,-0.08999999999999986,6.067500251286203,5.80,📉 下降,0.8399999999999999,,,,🔄 持平 (0%),,🚨 轉賣反轉 (-0.06%),,,,,,,0.0,-291.0,0.0,,,-44.0,-282.0,-743.6,,,,,,,,,,,,,,,,-756.0,-4789.0,,,↘️ 微減,-0.37,-5.8100000000000005,↘️ 微減,-0.37,-8.09,📉 小減,-0.99,-10.65,↘️ 微減,-0.22,-10.61,,,,,,32.1,0,0.0,🔄 持平,0.0,0.0,➖ 持平,7,3,830.0
8271,宇瞻,半導體業,09/17,204.0,-2.86,2162.0,449.0,5.04,1560.0,321.6,🥀 平量價縮 (下跌中繼，弱反彈信號),-2.813852813852813,1.4,,0.0,,9.10,🔄 持平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.0,268.0,3284.4,,,3345.0,5553.0,↘️ 微減,-0.23,-0.09000000000000075,↘️ 微減,-0.11,0.6700000000000008,📉 小減,-0.67,0.16999999999999993,📉 小減,-0.78,-0.5799999999999992,,,,,,16.8,0,-0.4,🚨 減/大減,-1.1,0.0,➖ 持平,1,4,377.0
8341,日友,綠能環保,09/17,74.5,0.54,103.0,7.7,14.2,150.0,11.2,⚖️ 溫和震盪整理,10.79136690647482,0.69,,,,5.30,,,,,,,,,,,,,0.91,-9.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,↘️ 微減,-0.01,0.10999999999999999,↘️ 微減,-0.01,0.10999999999999999,↘️ 微減,-0.01,0.11000000000000004,↘️ 微減,-0.01,0.2,,,,,,39.3,89.4,0.0,🔄 持平,0.0,0.0,➖ 持平,6,3,357.0
